,when,did,washington,reach,fort,le,boeuf,?
on,0.37706470489501953,0.2670976221561432,0.24410521984100342,0.24619881808757782,0.2436540275812149,0.15119008719921112,0.22684483230113983,0.2714994251728058
december,0.28435230255126953,0.2542226016521454,0.20687207579612732,0.19520382583141327,0.22765189409255981,0.1698591262102127,0.19438740611076355,0.2480352818965912
12,0.24838608503341675,0.11160892248153687,-0.0173639003187418,0.11432673782110214,0.11429421603679657,0.19576285779476166,0.28424525260925293,0.10021790862083435
",",0.36674630641937256,0.3015086054801941,0.25230398774147034,0.2441277652978897,0.2651418149471283,0.1742672175168991,0.3908786475658417,0.31091248989105225
washington,0.17040149867534637,0.19649098813533783,1.0,0.12746654450893402,0.2704917788505554,0.10206575691699982,0.14579744637012482,0.157786026597023
and,0.4716290831565857,0.34479495882987976,0.2120160311460495,0.25625354051589966,0.2106139063835144,0.15070271492004395,0.3085000514984131,0.20544172823429108
his,0.37120407819747925,0.3546801507472992,0.22056064009666443,0.17150633037090302,0.1942109912633896,0.2092517465353012,0.21882307529449463,0.18075084686279297
men,0.18404603004455566,0.284831702709198,0.14595283567905426,0.21853020787239075,0.2003217190504074,0.1542951762676239,0.15429118275642395,0.1408759206533432
reached,0.22692134976387024,0.24863581359386444,0.13042385876178741,0.6885289549827576,0.20528791844844818,0.11150210350751877,0.12660793960094452,0.1518019139766693
fort,0.17408059537410736,0.17500312626361847,0.2704917788505554,0.12283961474895477,0.9999999403953552,0.19138836860656738,0.2646666467189789,0.15686731040477753
le,0.17375950515270233,0.14918053150177002,0.10206575691699982,0.06662705540657043,0.19138836860656738,0.9999998807907104,0.45429807901382446,0.11964468657970428
boeuf,0.1757896989583969,0.13289082050323486,0.14579744637012482,0.09528561681509018,0.2646666467189789,0.45429807901382446,1.0000001192092896,0.18657101690769196
.,0.475719153881073,0.35288307070732117,0.285391241312027,0.2684406638145447,0.2578873038291931,0.17469188570976257,0.3415955901145935,0.4130953550338745
