,what,company,has,been,hosted,at,the,theatre,royal,for,over,25,years,?
it,0.45803478360176086,0.3082790970802307,0.41962623596191406,0.35515493154525757,0.23161670565605164,0.36473900079727173,0.6251175999641418,0.19067174196243286,0.11707678437232971,0.32171204686164856,0.3669605255126953,0.08811458945274353,0.21688692271709442,0.25732165575027466
has,0.20338068902492523,0.16623350977897644,1.0,0.6162750124931335,0.28831419348716736,0.2743658423423767,0.4177538752555847,0.16653573513031006,0.14755471050739288,0.450642853975296,0.370955228805542,0.025317298248410225,0.25622743368148804,0.15994466841220856
hosted,0.10146842896938324,0.18395355343818665,0.28831419348716736,0.3335927128791809,1.0,0.2963753044605255,0.2576315402984619,0.24704982340335846,0.14207351207733154,0.2607939839363098,0.22686344385147095,0.016583649441599846,0.148066908121109,0.09810540825128555
a,0.3320399522781372,0.22037413716316223,0.4670248031616211,0.3315402865409851,0.14970986545085907,0.3095070421695709,0.5829201340675354,0.2103080451488495,0.19676944613456726,0.44038116931915283,0.32199642062187195,0.12003126740455627,0.23773819208145142,0.23916715383529663
season,0.12117787450551987,0.14845497906208038,0.19025994837284088,0.1832963228225708,0.25616440176963806,0.18120098114013672,0.2507155239582062,0.18883289396762848,0.13237372040748596,0.24490800499916077,0.16469134390354156,0.14148758351802826,0.25098100304603577,0.16793298721313477
of,0.33290785551071167,0.20467796921730042,0.3909035325050354,0.31685134768486023,0.18176968395709991,0.42558613419532776,0.733189046382904,0.19807180762290955,0.3112924098968506,0.4185989499092102,0.36136594414711,0.13541533052921295,0.2904134690761566,0.1826142966747284
performances,0.173678919672966,0.1685277223587036,0.20639149844646454,0.234264075756073,0.3060336410999298,0.25437068939208984,0.28274261951446533,0.4685443341732025,0.2186681628227234,0.35712283849716187,0.19528940320014954,0.09429961442947388,0.23236803710460663,0.15137696266174316
from,0.2737620174884796,0.1728876233100891,0.2621968984603882,0.27624839544296265,0.19441521167755127,0.3447161316871643,0.40150508284568787,0.14344142377376556,0.1648888736963272,0.314039945602417,0.37539660930633545,0.10107950866222382,0.31063511967658997,0.19969791173934937
the,0.42745697498321533,0.26591673493385315,0.4177538752555847,0.3563927710056305,0.2576315402984619,0.457212895154953,1.0,0.25594043731689453,0.2997032403945923,0.4739971458911896,0.39856547117233276,0.1671934723854065,0.2912273406982422,0.22068053483963013
royal,0.16189028322696686,0.21854713559150696,0.14755471050739288,0.17399176955223083,0.14207351207733154,0.23294612765312195,0.2997032403945923,0.33194202184677124,0.9999999403953552,0.20729990303516388,0.16043901443481445,0.10895086824893951,0.19404472410678864,0.11453001946210861
shakespeare,0.23672284185886383,0.22797341644763947,0.14736919105052948,0.20098190009593964,0.10205644369125366,0.12768015265464783,0.19480109214782715,0.4055212140083313,0.2536020874977112,0.2296476513147354,0.08220995217561722,0.03161055967211723,0.14616718888282776,0.19043835997581482
company,0.2333769053220749,1.0,0.16623350977897644,0.1287740170955658,0.18395355343818665,0.17487694323062897,0.26591673493385315,0.30242133140563965,0.21854713559150696,0.25874319672584534,0.2113076150417328,0.22662386298179626,0.1121395006775856,0.12195809185504913
for,0.3017193675041199,0.25874319672584534,0.450642853975296,0.39068686962127686,0.2607939839363098,0.34237727522850037,0.4739971458911896,0.23226462304592133,0.20729990303516388,0.9999999403953552,0.3419422209262848,0.16109365224838257,0.2878222167491913,0.264628142118454
over,0.28007611632347107,0.2113076150417328,0.370955228805542,0.36951375007629395,0.22686344385147095,0.34008997678756714,0.39856547117233276,0.10904526710510254,0.16043901443481445,0.3419422209262848,1.0,0.15422852337360382,0.3751278817653656,0.25742942094802856
25,0.12916474044322968,0.22662386298179626,0.025317298248410225,0.13842393457889557,0.016583649441599846,0.12480004131793976,0.1671934723854065,0.027943573892116547,0.10895086824893951,0.16109365224838257,0.15422852337360382,1.0,0.09386838227510452,0.09614268690347672
years,0.1981470286846161,0.1121395006775856,0.25622743368148804,0.36026424169540405,0.148066908121109,0.2851444482803345,0.2912273406982422,0.10508443415164948,0.19404472410678864,0.2878222167491913,0.3751278817653656,0.09386838227510452,1.0,0.1914375126361847
",",0.3087472915649414,0.2697763442993164,0.3734780251979828,0.34873589873313904,0.27969205379486084,0.38314947485923767,0.4933079481124878,0.29216358065605164,0.24590183794498444,0.4464869201183319,0.3301127254962921,0.08225981146097183,0.2589467465877533,0.31091248989105225
