,which,plateau,is,the,left,part,of,warsaw,on,?
the,0.6521818041801453,0.29697924852371216,0.5823672413825989,1.0,0.33113980293273926,0.527681291103363,0.733189046382904,0.23137180507183075,0.5107308030128479,0.22068053483963013
left,0.22905652225017548,0.08360831439495087,0.15889094769954681,0.33113980293273926,1.0,0.2185138314962387,0.2218635529279709,0.14178718626499176,0.30747801065444946,0.13251960277557373
one,0.510688066482544,0.15340381860733032,0.4544198513031006,0.5514441132545471,0.24530725181102753,0.38682618737220764,0.4999135136604309,0.13329707086086273,0.3601475656032562,0.2673267424106598
is,0.4457404911518097,0.2576557397842407,1.0,0.5823672413825989,0.15889094769954681,0.4582172930240631,0.4854315221309662,0.09741193056106567,0.3635730445384979,0.22961433231830597
situated,0.269835889339447,0.39183762669563293,0.36439594626426697,0.3139766454696655,0.1556466966867447,0.37449735403060913,0.2818121910095215,0.1673065572977066,0.2183733433485031,0.039639271795749664
both,0.5140923857688904,0.13773144781589508,0.31409940123558044,0.4931981563568115,0.22862473130226135,0.28555434942245483,0.3565710783004761,0.17773346602916718,0.3685423731803894,0.19455738365650177
on,0.4245251417160034,0.22522330284118652,0.3635730445384979,0.5107308030128479,0.30747801065444946,0.3598494827747345,0.3966929316520691,0.19170401990413666,0.9999999403953552,0.2714994251728058
the,0.6521818041801453,0.29697924852371216,0.5823672413825989,1.0,0.33113980293273926,0.527681291103363,0.733189046382904,0.23137180507183075,0.5107308030128479,0.22068053483963013
moraine,0.3077622354030609,0.4210492670536041,0.29355308413505554,0.32980746030807495,0.20749826729297638,0.2492261528968811,0.3049020767211914,0.18700984120368958,0.2732248306274414,0.15512530505657196
plateau,0.2355175018310547,1.0000001192092896,0.2576557397842407,0.29697924852371216,0.08360831439495087,0.32460644841194153,0.2899112105369568,0.17617198824882507,0.22522330284118652,0.10432148724794388
(,0.2589828372001648,0.15212178230285645,0.35393038392066956,0.33289089798927307,0.23056362569332123,0.2208257019519806,0.35032153129577637,0.1835584193468094,0.28656116127967834,0.40561532974243164
10,0.15415236353874207,0.19885294139385223,0.1865890771150589,0.2880653440952301,0.06207846850156784,0.2110254168510437,0.2777891755104065,0.0775613933801651,0.12170017510652542,0.022911956533789635
to,0.5345056653022766,0.1365785449743271,0.42745086550712585,0.535392165184021,0.2724500000476837,0.2875264883041382,0.41548454761505127,0.1953994333744049,0.41031414270401,0.29463258385658264
25,0.13574433326721191,0.005891409236937761,-0.0007095441687852144,0.1671934723854065,0.09622278809547424,0.10651285946369171,0.13541533052921295,0.1559276431798935,0.17010806500911713,0.09614268690347672
