,what,was,the,number,of,solo,tackles,that,von,miller,had,in,super,bowl,50,?
the,0.42745697498321533,0.48711544275283813,1.0,0.35145696997642517,0.733189046382904,0.1489274650812149,0.19076409935951233,0.5473989248275757,0.21817399561405182,0.21601076424121857,0.3875846862792969,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
broncos,0.1787765771150589,0.23574475944042206,0.25985947251319885,0.11545195430517197,0.19310332834720612,0.23199978470802307,0.4817456007003784,0.15371358394622803,0.13884557783603668,0.2454533576965332,0.19590453803539276,0.20316283404827118,0.36141330003738403,0.4351775348186493,0.055216576904058456,0.18377114832401276
took,0.1316593885421753,0.48213186860084534,0.31657639145851135,0.1016484871506691,0.2766268849372864,0.12865619361400604,0.13909001648426056,0.2222771942615509,0.19189657270908356,0.1602330207824707,0.48230260610580444,0.2818296551704407,0.111402727663517,0.11772479861974716,0.11199640482664108,0.14109265804290771
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.1875157356262207,0.32280945777893066,0.1368689239025116,0.13173635303974152,0.365763783454895,0.15605303645133972,0.2173931747674942,0.22327841818332672,0.2605783939361572,0.09755856543779373,0.13908697664737701,0.02188069000840187,0.19793890416622162
early,0.2454567849636078,0.4148794412612915,0.34442198276519775,0.23155848681926727,0.30937549471855164,0.24361799657344818,0.16069118678569794,0.29580917954444885,0.1350841224193573,0.24130643904209137,0.38330185413360596,0.34672921895980835,0.10942362248897552,0.14853668212890625,0.015778101980686188,0.15272949635982513
lead,0.19642074406147003,0.1970783770084381,0.21995973587036133,0.20306311547756195,0.19835850596427917,0.24769596755504608,0.228637233376503,0.21979129314422607,0.1266060620546341,0.13451245427131653,0.18650950491428375,0.2055644989013672,0.13247919082641602,0.1691603809595108,-0.011630125343799591,0.14552436769008636
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.19488763809204102,0.18025051057338715,0.435920387506485,0.20116294920444489,0.19489489495754242,0.385026752948761,1.0,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.19262047111988068,0.14718765020370483,0.1858709752559662,0.23457856476306915,0.18258553743362427,0.09019782394170761,0.1263037472963333,0.17216899991035461,0.18576006591320038,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.14966735243797302,0.2243070751428604,0.19199752807617188,0.34894615411758423,0.10987387597560883,0.05615047365427017,0.12768206000328064,0.1661457121372223,0.17236235737800598,0.4848237931728363,1.0,0.005446359980851412,0.21118052303791046
50,-0.04124141484498978,-0.0011744623770937324,0.03602437674999237,0.011617548763751984,0.006577443331480026,0.12169281393289566,0.08310284465551376,-0.014119508676230907,0.05839231237769127,0.0038371188566088676,0.09219186753034592,0.021892361342906952,0.0833745002746582,0.005446359980851412,0.9999999403953552,0.030512850731611252
