,how,much,time,was,left,in,the,game,when,denver,took,the,score,to,24-10,?
then,0.36093711853027344,0.29331350326538086,0.3735695481300354,0.27044644951820374,0.3093996047973633,0.36253848671913147,0.4297412931919098,0.2141346037387848,0.6026323437690735,0.16408474743366241,0.25839924812316895,0.4297412931919098,0.13396427035331726,0.5203860402107239,0.09636892378330231,0.2884598970413208
anderson,0.16928687691688538,0.17402686178684235,0.23424507677555084,0.22858858108520508,0.10272940993309021,0.21521469950675964,0.22428388893604279,0.14335447549819946,0.18287739157676697,0.3069041669368744,0.15615664422512054,0.22428388893604279,0.29427799582481384,0.18594300746917725,0.13042165338993073,0.1857001930475235
scored,0.13042418658733368,0.11895580589771271,0.20970748364925385,0.28883489966392517,0.1987689584493637,0.22821880877017975,0.22936925292015076,0.3692169785499573,0.211138516664505,0.19558008015155792,0.2240556925535202,0.22936925292015076,0.6127967834472656,0.164485901594162,0.22200219333171844,0.14548702538013458
on,0.32655060291290283,0.2834896147251129,0.30044233798980713,0.3909217119216919,0.30747801065444946,0.46853652596473694,0.5107308030128479,0.22967135906219482,0.37706470489501953,0.1561855524778366,0.22459004819393158,0.5107308030128479,0.1815592646598816,0.41031414270401,0.1261017918586731,0.2714994251728058
a,0.29312583804130554,0.2958075702190399,0.3292340338230133,0.4508470594882965,0.19688890874385834,0.539380669593811,0.5829201340675354,0.23211604356765747,0.44397395849227905,0.179859921336174,0.18697012960910797,0.5829201340675354,0.19997252523899078,0.45503583550453186,0.10611336678266525,0.23916715383529663
2-yard,0.2222648710012436,0.13326247036457062,0.22894319891929626,0.27245187759399414,0.19495642185211182,0.25500354170799255,0.2685171961784363,0.2189984768629074,0.2561311423778534,0.21618293225765228,0.2043730765581131,0.2685171961784363,0.21362537145614624,0.20982879400253296,-0.01096447091549635,0.09816810488700867
touchdown,0.1383858025074005,0.07904750108718872,0.22822794318199158,0.19985096156597137,0.1656091958284378,0.14772959053516388,0.1805710643529892,0.3819936513900757,0.22582276165485382,0.35540616512298584,0.0892660915851593,0.1805710643529892,0.3739069998264313,0.20744045078754425,0.12009354680776596,0.12741123139858246
run,0.2245650738477707,0.18537400662899017,0.25891321897506714,0.18548552691936493,0.08801885694265366,0.26368704438209534,0.27883726358413696,0.2461656928062439,0.2548166811466217,0.16576136648654938,0.20963113009929657,0.27883726358413696,0.21920634806156158,0.2691870927810669,0.1401214599609375,0.17904110252857208
and,0.33647966384887695,0.38395699858665466,0.3025408685207367,0.3740963041782379,0.2571277916431427,0.4954058527946472,0.5171257257461548,0.25192898511886597,0.4716290831565857,0.20625516772270203,0.25750628113746643,0.5171257257461548,0.16766662895679474,0.48971283435821533,0.17880310118198395,0.20544172823429108
manning,0.2318497896194458,0.20351333916187286,0.29736652970314026,0.2607507109642029,0.14772450923919678,0.22345924377441406,0.27058160305023193,0.3214661478996277,0.23698855936527252,0.36400365829467773,0.18411393463611603,0.27058160305023193,0.2406400740146637,0.24857525527477264,0.1353873610496521,0.15856626629829407
