,what,was,newcastle,named,as,the,most,type,of,city,in,the,uk,?
in,0.30808621644973755,0.45514053106307983,0.19270820915699005,0.28130269050598145,0.3887844979763031,0.6662389636039734,0.41416558623313904,0.20604541897773743,0.5696388483047485,0.3911624252796173,1.0,0.6662389636039734,0.2261405885219574,0.20430970191955566
a,0.3320399522781372,0.4508470594882965,0.21405641734600067,0.3292267918586731,0.39550232887268066,0.5829201340675354,0.3508910834789276,0.3813284635543823,0.5052502155303955,0.2349124401807785,0.539380669593811,0.5829201340675354,0.19665123522281647,0.23916715383529663
report,0.2868559956550598,0.19926786422729492,0.1847516894340515,0.09897638857364655,0.26206639409065247,0.2556745111942291,0.15862242877483368,0.21565985679626465,0.22992923855781555,0.1328946352005005,0.204250767827034,0.2556745111942291,0.21698768436908722,0.3138936758041382
",",0.3087472915649414,0.45456063747406006,0.251589834690094,0.2530003488063812,0.48816442489624023,0.4933079481124878,0.3636029064655304,0.1804078221321106,0.4946078956127167,0.35839709639549255,0.5201468467712402,0.4933079481124878,0.2632971405982971,0.31091248989105225
published,0.20457668602466583,0.2896443009376526,0.13851383328437805,0.2434355914592743,0.16957594454288483,0.22017472982406616,0.16557666659355164,0.11892051249742508,0.23023100197315216,0.12981028854846954,0.26697060465812683,0.22017472982406616,0.21855378150939941,0.16280238330364227
in,0.30808621644973755,0.45514053106307983,0.19270820915699005,0.28130269050598145,0.3887844979763031,0.6662389636039734,0.41416558623313904,0.20604541897773743,0.5696388483047485,0.3911624252796173,1.0,0.6662389636039734,0.2261405885219574,0.20430970191955566
early,0.2454567849636078,0.4148794412612915,0.17478711903095245,0.165121927857399,0.2809016704559326,0.34442198276519775,0.3838981091976166,0.24463579058647156,0.30937549471855164,0.1715371310710907,0.34672921895980835,0.34442198276519775,0.11496954411268234,0.15272949635982513
february,0.1913013905286789,0.446986585855484,0.2465735673904419,0.16491860151290894,0.2597405016422272,0.26483774185180664,0.17015329003334045,0.05446082353591919,0.20366249978542328,0.23219485580921173,0.2990526556968689,0.26483774185180664,0.1074548289179802,0.29594847559928894
2007,-0.15549811720848083,-0.29168957471847534,-0.20566880702972412,-0.14196349680423737,-0.13822752237319946,-0.23657195270061493,-0.13878364861011505,0.15559127926826477,-0.21244128048419952,-0.30139315128326416,-0.2201838344335556,-0.23657195270061493,-0.1339239478111267,-0.1664225310087204
by,0.2455483376979828,0.4752357602119446,0.1767825335264206,0.30212631821632385,0.3815547823905945,0.4408751428127289,0.270847886800766,0.15232881903648376,0.3646814823150635,0.21020644903182983,0.370934396982193,0.4408751428127289,0.1589900702238083,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.2253497689962387,0.3521348536014557,0.48381632566452026,1.0,0.47635307908058167,0.21819381415843964,0.733189046382904,0.35769423842430115,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
ear,0.1741301566362381,0.12988972663879395,0.14556370675563812,0.009997584857046604,0.1287367045879364,0.21599555015563965,0.15998990833759308,0.17641988396644592,0.1519506573677063,0.09638505429029465,0.18923775851726532,0.21599555015563965,0.20830316841602325,0.1579822301864624
institute,0.17608846724033356,0.25862374901771545,0.11156526952981949,0.15517038106918335,0.23080535233020782,0.24399729073047638,0.1454678326845169,0.09295424818992615,0.2977932393550873,0.2342575490474701,0.2517135441303253,0.24399729073047638,0.16468247771263123,0.115291528403759
