,what,types,of,schools,are,most,ergänzungsschulen,?
most,0.3219912350177765,0.3340487778186798,0.4178851246833801,0.19526082277297974,0.48698675632476807,1.0,0.27214711904525757,0.2107497900724411
of,0.33290785551071167,0.2447618544101715,1.0,0.265506386756897,0.39081433415412903,0.4178851246833801,0.29503199458122253,0.1826142966747284
these,0.4164220690727234,0.5351104736328125,0.42684608697891235,0.3167678117752075,0.7107698917388916,0.4825916290283203,0.2820175290107727,0.2571668326854706
schools,0.1820785105228424,0.24229037761688232,0.265506386756897,1.0,0.30816179513931274,0.19526082277297974,0.27628400921821594,0.18349280953407288
are,0.29724663496017456,0.4691450595855713,0.39081433415412903,0.30816179513931274,1.0,0.48698675632476807,0.26853707432746887,0.24591213464736938
vocational,0.25595757365226746,0.21293793618679047,0.343596488237381,0.40647512674331665,0.23707064986228943,0.18334361910820007,0.3639512062072754,0.1961013227701187
schools,0.1820785105228424,0.24229037761688232,0.265506386756897,1.0,0.30816179513931274,0.19526082277297974,0.27628400921821594,0.18349280953407288
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.2752705216407776,0.3452940285205841,0.35404038429260254,0.3771330416202545,0.4130953550338745
,what,types,of,schools,are,most,ergänzungsschulen,?
ergänzungsschulen,0.2493663877248764,0.23491457104682922,0.29503199458122253,0.27628400921821594,0.26853707432746887,0.27214711904525757,1.0,0.2810702323913574
are,0.29724663496017456,0.4691450595855713,0.39081433415412903,0.30816179513931274,1.0,0.48698675632476807,0.26853707432746887,0.24591213464736938
secondary,0.20388361811637878,0.17128875851631165,0.219074085354805,0.4608161151409149,0.24611520767211914,0.1875225156545639,0.2528528869152069,0.18118004500865936
or,0.33867141604423523,0.41673311591148376,0.3792596757411957,0.23524631559848785,0.5374364256858826,0.30746427178382874,0.31182238459587097,0.32389625906944275
post-secondary,0.2607934772968292,0.21075326204299927,0.28319117426872253,0.43335530161857605,0.27049946784973145,0.2092740833759308,0.307748407125473,0.24135255813598633
(,0.2411840260028839,0.12465982884168625,0.35032153129577637,0.15322564542293549,0.23263892531394958,0.20654040575027466,0.33049020171165466,0.40561532974243164
