,what,techniques,can,be,used,to,determine,paleotopography,?
these,0.4164220690727234,0.28974059224128723,0.4833051562309265,0.4507283866405487,0.43212080001831055,0.46852558851242065,0.325628399848938,0.2914082109928131,0.2571668326854706
methods,0.23519274592399597,0.6474516987800598,0.34947484731674194,0.2813016474246979,0.445491760969162,0.2978132367134094,0.34049472212791443,0.3426891267299652,0.19441695511341095
can,0.34502777457237244,0.27718308568000793,1.0,0.5791122913360596,0.48128408193588257,0.4979398250579834,0.3785102665424347,0.15790455043315887,0.3226337134838104
also,0.42747777700424194,0.26045098900794983,0.4861826002597809,0.48342031240463257,0.45273035764694214,0.5348826050758362,0.31762921810150146,0.204288512468338,0.21848613023757935
be,0.3929833769798279,0.23545865714550018,0.5791122913360596,1.0,0.3731876611709595,0.4972836375236511,0.43451228737831116,0.17367389798164368,0.3324260413646698
used,0.27546408772468567,0.4199719727039337,0.48128408193588257,0.3731876611709595,0.9999998807907104,0.40058770775794983,0.31329089403152466,0.2586343288421631,0.22430120408535004
to,0.455847829580307,0.2575913667678833,0.4979398250579834,0.4972836375236511,0.40058770775794983,1.0,0.4076496958732605,0.22482262551784515,0.29463258385658264
determine,0.39403316378593445,0.3086296617984772,0.3785102665424347,0.43451228737831116,0.31329089403152466,0.4076496958732605,1.0,0.22643817961215973,0.2943372130393982
ages,0.2546566128730774,0.18689720332622528,0.23417308926582336,0.19088900089263916,0.24568749964237213,0.18168984353542328,0.13287056982517242,0.2618587911128998,0.16701677441596985
of,0.33290785551071167,0.2114233523607254,0.2603091299533844,0.33904364705085754,0.3075267970561981,0.41548454761505127,0.3512130081653595,0.3090348541736603,0.1826142966747284
pluton,0.18447676301002502,0.2109433114528656,0.23202933371067047,0.22857491672039032,0.23860280215740204,0.23917248845100403,0.2041861116886139,0.2572426497936249,0.1939929872751236
emplacement,0.19236531853675842,0.35519325733184814,0.24979670345783234,0.26110777258872986,0.29533323645591736,0.2834361493587494,0.28595271706581116,0.2653447389602661,0.09688700735569
.,0.3567904531955719,0.15641993284225464,0.35783761739730835,0.4383580684661865,0.33111312985420227,0.4645031690597534,0.323413223028183,0.23378776013851166,0.4130953550338745
