,what,is,another,name,for,the,tabula,rogeriana,?
one,0.376489520072937,0.4544198513031006,0.5444791913032532,0.27018114924430847,0.384836345911026,0.5514441132545471,0.18987111747264862,0.12492051720619202,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.24075818061828613,0.4185989499092102,0.733189046382904,0.1310339868068695,0.17414875328540802,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,1.0,0.1973499059677124,0.1675933301448822,0.22068053483963013
great,0.2562883198261261,0.1345067322254181,0.28538423776626587,0.16152743995189667,0.19302397966384888,0.2822027802467346,0.07119563966989517,0.1068011075258255,0.13135133683681488
geographical,0.2645968794822693,0.20783355832099915,0.2140493094921112,0.20058459043502808,0.24166621267795563,0.3164447844028473,0.28051793575286865,0.07121778279542923,0.1692802608013153
treatises,0.2481054812669754,0.26840946078300476,0.2247740924358368,0.13621920347213745,0.2399766892194748,0.262864351272583,0.2085282802581787,0.20522448420524597,0.1296008825302124
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.24075818061828613,0.4185989499092102,0.733189046382904,0.1310339868068695,0.17414875328540802,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,1.0,0.1973499059677124,0.1675933301448822,0.22068053483963013
middle,0.18312302231788635,0.21621397137641907,0.14908163249492645,0.19938592612743378,0.17248252034187317,0.3405749201774597,0.07439298927783966,0.18327870965003967,0.13139553368091583
ages,0.2546566128730774,0.18691010773181915,0.131706103682518,0.08267727494239807,0.20738261938095093,0.28271523118019104,0.11544585227966309,0.1522904485464096,0.16701677441596985
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.22822228074073792,0.2578403055667877,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,1.0,0.1973499059677124,0.1675933301448822,0.22068053483963013
``,0.008517155423760414,0.058766357600688934,0.06123349070549011,0.1001104861497879,0.01270448137074709,0.029072100296616554,0.030498163774609566,0.050730299204587936,0.0685480609536171
tabula,0.23456574976444244,0.20565545558929443,0.15029817819595337,0.2183879166841507,0.10135900974273682,0.1973499059677124,1.0,0.25485149025917053,0.17105387151241302
rogeriana,0.14626790583133698,0.19832062721252441,0.15392185747623444,0.16362495720386505,0.19342857599258423,0.1675933301448822,0.25485149025917053,1.0,0.16975578665733337
'',0.08143015950918198,0.0793738141655922,0.0015353172784671187,0.003883055876940489,-0.04479556903243065,0.041273195296525955,0.05495042726397514,0.0019411522662267089,0.018684765323996544
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.22822228074073792,0.2578403055667877,0.31091248989105225
was,0.22111038863658905,0.5810302495956421,0.34961897134780884,0.2646567225456238,0.3863949179649353,0.48711544275283813,0.11058797687292099,0.21389588713645935,0.18412111699581146
written,0.25412634015083313,0.2634589672088623,0.21167421340942383,0.19621209800243378,0.25893163681030273,0.2582438886165619,0.27863237261772156,0.15419957041740417,0.21451954543590546
by,0.2455483376979828,0.3899846076965332,0.36873918771743774,0.25480157136917114,0.3248702883720398,0.4408751428127289,0.17935091257095337,0.15535199642181396,0.17966607213020325
