,germany,does,n't,have,an,imperialistic,past,until,when,?
not,0.21895603835582733,0.6355478763580322,-0.11552248895168304,0.5619372129440308,0.3722182512283325,0.2661393880844116,0.3014146387577057,0.3178916871547699,0.4799930453300476,0.41942933201789856
a,0.2606942057609558,0.38201746344566345,0.013574101030826569,0.338716596364975,0.44552403688430786,0.21167249977588654,0.24050787091255188,0.2314814180135727,0.44397395849227905,0.23916715383529663
maritime,0.15765048563480377,0.13513830304145813,0.0395657904446125,0.1808592528104782,0.16357435286045074,0.20613406598567963,0.21794244647026062,0.13544169068336487,0.17808403074741364,0.043661050498485565
power,0.19560644030570984,0.18690091371536255,-0.08744122087955475,0.20906804502010345,0.1744573563337326,0.22515352070331573,0.16129182279109955,0.1498769372701645,0.28225177526474,0.15304024517536163
",",0.2898865044116974,0.28617382049560547,0.11016341298818588,0.3541618287563324,0.3581022024154663,0.21712644398212433,0.25483980774879456,0.2947838604450226,0.36674630641937256,0.31091248989105225
and,0.29381805658340454,0.3461615741252899,-0.0602874718606472,0.4711785912513733,0.2838519215583801,0.19888095557689667,0.2684100568294525,0.3372601866722107,0.4716290831565857,0.20544172823429108
not,0.21895603835582733,0.6355478763580322,-0.11552248895168304,0.5619372129440308,0.3722182512283325,0.2661393880844116,0.3014146387577057,0.3178916871547699,0.4799930453300476,0.41942933201789856
a,0.2606942057609558,0.38201746344566345,0.013574101030826569,0.338716596364975,0.44552403688430786,0.21167249977588654,0.24050787091255188,0.2314814180135727,0.44397395849227905,0.23916715383529663
nation-state,0.3403010070323944,0.1663941890001297,0.14387072622776031,0.18662786483764648,0.21502633392810822,0.28893306851387024,0.1445133090019226,0.2955090403556824,0.2167210578918457,0.31132620573043823
",",0.2898865044116974,0.28617382049560547,0.11016341298818588,0.3541618287563324,0.3581022024154663,0.21712644398212433,0.25483980774879456,0.2947838604450226,0.36674630641937256,0.31091248989105225
as,0.17682115733623505,0.31202155351638794,-0.08284513652324677,0.37788212299346924,0.37218472361564636,0.24923013150691986,0.20821920037269592,0.3237951695919037,0.4437963366508484,0.27043893933296204
it,0.27234339714050293,0.34188351035118103,-0.08058576285839081,0.40974161028862,0.39472338557243347,0.19746330380439758,0.29026392102241516,0.31202051043510437,0.4775012135505676,0.25732165575027466
would,0.18950334191322327,0.5055691003799438,-0.17245030403137207,0.484149694442749,0.2650099992752075,0.2999859154224396,0.2546672224998474,0.31353649497032166,0.4219970703125,0.37178951501846313
eventually,0.20120690762996674,0.2876618802547455,-0.14549797773361206,0.35098060965538025,0.1522912085056305,0.3023513853549957,0.22192488610744476,0.42523398995399475,0.5233907699584961,0.13642115890979767
become,0.1660987138748169,0.20048442482948303,-0.06673219799995422,0.3924923539161682,0.24844235181808472,0.22260428965091705,0.24966119229793549,0.266606867313385,0.4120000898838043,0.19511328637599945
",",0.2898865044116974,0.28617382049560547,0.11016341298818588,0.3541618287563324,0.3581022024154663,0.21712644398212433,0.25483980774879456,0.2947838604450226,0.36674630641937256,0.31091248989105225
germany,1.0,0.1539989709854126,0.0072199637070298195,0.17833954095840454,0.10986391454935074,0.23457708954811096,0.1700056791305542,0.1979057788848877,0.20363320410251617,0.1388660967350006
’,-0.05749946087598801,0.08878262341022491,0.06880166381597519,-0.019281985238194466,0.0343826562166214,-0.09009329229593277,-0.05545831099152565,0.012485907413065434,0.0063735563308000565,0.045561522245407104
s,0.21432480216026306,0.2770960330963135,-0.020887618884444237,0.2919692397117615,0.24642474949359894,0.2968822121620178,0.20573382079601288,0.3068510591983795,0.3388965129852295,0.25130221247673035
participation,0.1478133201599121,0.21687792241573334,0.029752718284726143,0.26874661445617676,0.26697641611099243,0.28279343247413635,0.2748713195323944,0.16396258771419525,0.1918935924768448,0.22573938965797424
in,0.3642844259738922,0.214483380317688,-0.0012929976219311357,0.36843645572662354,0.2605783939361572,0.18513795733451843,0.24275542795658112,0.38338494300842285,0.4431333839893341,0.20430970191955566
western,0.2313946634531021,0.12355383485555649,0.011484399437904358,0.21198882162570953,0.13090655207633972,0.22793854773044586,0.208396777510643,0.20052000880241394,0.2197389006614685,0.17439141869544983
imperialism,0.266067773103714,0.11998406797647476,0.10368083417415619,0.1434110701084137,0.14707738161087036,0.8656792044639587,0.2041480392217636,0.16326197981834412,0.18709999322891235,0.14998586475849152
was,0.2618768811225891,0.19302551448345184,0.06924254447221756,0.2863433063030243,0.3694365322589874,0.2233572006225586,0.17324605584144592,0.43126991391181946,0.37326499819755554,0.18412111699581146
negligible,0.17409273982048035,0.3105117380619049,0.05823831632733345,0.2582758069038391,0.18838293850421906,0.20961995422840118,0.24307368695735931,0.1157132238149643,0.18769283592700958,0.20296873152256012
until,0.1979057788848877,0.20083993673324585,0.016179027035832405,0.2526663839817047,0.2086891084909439,0.13025407493114471,0.23258201777935028,1.0,0.494509756565094,0.20304496586322784
the,0.3181285262107849,0.35928019881248474,-0.11449059844017029,0.40389683842658997,0.4207492768764496,0.2731722891330719,0.2747827172279358,0.37191009521484375,0.5091903209686279,0.22068053483963013
late,0.19659972190856934,0.10720925778150558,0.09385697543621063,0.23282340168952942,0.1167203038930893,0.19909222424030304,0.19427505135536194,0.4057881236076355,0.29498016834259033,0.11339222639799118
19th,0.07754367589950562,0.1368671953678131,-0.06632903218269348,0.14598701894283295,0.21951642632484436,0.028967060148715973,0.16494415700435638,0.20270279049873352,0.20566971600055695,0.004712673369795084
century,0.20095540583133698,0.09090649336576462,0.06888299435377121,0.22878795862197876,0.185816690325737,0.2753470540046692,0.23407229781150818,0.3046443462371826,0.22992412745952606,0.1026201918721199
.,0.28498756885528564,0.3022993505001068,0.01884327083826065,0.41614407300949097,0.3581749200820923,0.23863494396209717,0.2363625168800354,0.36876651644706726,0.475719153881073,0.4130953550338745
