,why,should,one,not,go,to,jail,?
to,0.4100138247013092,0.44452130794525146,0.4025384783744812,0.5149973034858704,0.384844571352005,1.0,0.22650986909866333,0.29463258385658264
accept,0.3296501040458679,0.3086223304271698,0.2572542130947113,0.3977087140083313,0.2837646007537842,0.3143050968647003,0.20673702657222748,0.2590680420398712
jail,0.135487899184227,0.17062515020370483,0.21050457656383514,0.1941397488117218,0.2595185935497284,0.22650986909866333,0.9999999403953552,0.16329234838485718
penitently,0.2830672562122345,0.3016485869884491,0.20720262825489044,0.31874606013298035,0.21422478556632996,0.36562830209732056,0.44794216752052307,0.2697957456111908
as,0.3103298544883728,0.414644330739975,0.3954789340496063,0.5105602741241455,0.22090423107147217,0.42092081904411316,0.16920879483222961,0.27043893933296204
an,0.22638356685638428,0.2285177856683731,0.2829729914665222,0.3722182512283325,0.11282923072576523,0.3138085603713989,0.08346106857061386,0.19793890416622162
accession,0.1449529528617859,0.20611248910427094,0.1578456312417984,0.15526795387268066,0.27249836921691895,0.2667621970176697,0.15122510492801666,0.16196151077747345
to,0.4100138247013092,0.44452130794525146,0.4025384783744812,0.5149973034858704,0.384844571352005,1.0,0.22650986909866333,0.29463258385658264
'the,0.18544545769691467,0.17547784745693207,0.3122589588165283,0.1475926637649536,0.1930588185787201,0.21861030161380768,0.17727383971214294,0.16737021505832672
rules,0.21376381814479828,0.321759968996048,0.20126588642597198,0.33311018347740173,0.2595232129096985,0.24270765483379364,0.16871389746665955,0.22111085057258606
',0.27400460839271545,0.23232795298099518,0.36029258370399475,0.3723772168159485,0.23319031298160553,0.34544456005096436,0.1188979521393776,0.330942302942276
is,0.26410171389579773,0.33635082840919495,0.4544198513031006,0.3776007890701294,0.19626101851463318,0.42745086550712585,0.1632465124130249,0.22961433231830597
to,0.4100138247013092,0.44452130794525146,0.4025384783744812,0.5149973034858704,0.384844571352005,1.0,0.22650986909866333,0.29463258385658264
switch,0.20977044105529785,0.23191723227500916,0.27475985884666443,0.20775896310806274,0.2505463659763336,0.25462213158607483,0.167372465133667,0.21329930424690247
suddenly,0.32029488682746887,0.20248018205165863,0.24578142166137695,0.3208853006362915,0.33742040395736694,0.28617748618125916,0.20311595499515533,0.15163323283195496
to,0.4100138247013092,0.44452130794525146,0.4025384783744812,0.5149973034858704,0.384844571352005,1.0,0.22650986909866333,0.29463258385658264
a,0.2667238116264343,0.2715131938457489,0.4910551905632019,0.3791346549987793,0.24019409716129303,0.45503583550453186,0.20816455781459808,0.23916715383529663
spirit,0.20021681487560272,0.19171662628650665,0.20370915532112122,0.21703514456748962,0.19090090692043304,0.24216829240322113,0.13250946998596191,0.18818747997283936
of,0.28464117646217346,0.23792634904384613,0.4999135136604309,0.3307090103626251,0.21881330013275146,0.41548454761505127,0.1333254873752594,0.1826142966747284
subservience,0.3936832547187805,0.48198044300079346,0.3606579899787903,0.4213537573814392,0.18316850066184998,0.29968002438545227,0.14359888434410095,0.32067832350730896
",",0.2827242314815521,0.2706286907196045,0.3696635365486145,0.3769696354866028,0.3043581247329712,0.44245919585227966,0.2607647180557251,0.31091248989105225
