,what,is,the,force,between,nucleons,?
however,0.4480680823326111,0.33769986033439636,0.49814513325691223,0.23566965758800507,0.33343490958213806,0.26375827193260193,0.2152075469493866
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22091743350028992,0.27714940905570984,0.1951894611120224,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2451154738664627,0.29385313391685486,0.2160288393497467,0.23916715383529663
residual,0.3065241575241089,0.29662397503852844,0.31698381900787354,0.26364007592201233,0.24545778334140778,0.4289005398750305,0.18462780117988586
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.27094775438308716,0.3737983703613281,0.24422210454940796,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2800885736942291,0.39067012071609497,0.22645236551761627,0.22068053483963013
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,1.0000001192092896,0.21681782603263855,0.34046030044555664,0.1650998443365097
is,0.28837618231773376,1.0,0.5823672413825989,0.22036980092525482,0.26809602975845337,0.21799913048744202,0.22961433231830597
observed,0.26469987630844116,0.20653970539569855,0.26280322670936584,0.16900372505187988,0.26175013184547424,0.26162001490592957,0.12128034234046936
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.21681782603263855,0.9999999403953552,0.24401551485061646,0.12887074053287506
hadrons,0.19423933327198029,0.21536102890968323,0.2985852360725403,0.4336163401603699,0.2383386343717575,0.6837737560272217,0.13424447178840637
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.17529799044132233,0.23924681544303894,0.15855377912521362,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.2800885736942291,0.39067012071609497,0.22645236551761627,0.22068053483963013
best,0.3036847710609436,0.30476391315460205,0.3134109377861023,0.09501837939023972,0.12729310989379883,0.1281777322292328,0.2799045741558075
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.07868015766143799,0.19939005374908447,0.21101032197475433,0.18314571678638458
example,0.3456268310546875,0.36737263202667236,0.3755223751068115,0.23485584557056427,0.23803876340389252,0.24359096586704254,0.30374911427497864
being,0.3760843276977539,0.4445112943649292,0.419739305973053,0.16882982850074768,0.21762578189373016,0.19402718544006348,0.26743772625923157
the,0.42745697498321533,0.5823672413825989,1.0,0.2800885736942291,0.39067012071609497,0.22645236551761627,0.22068053483963013
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,1.0000001192092896,0.21681782603263855,0.34046030044555664,0.1650998443365097
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.26810982823371887,0.299440860748291,0.26854419708251953,0.32716336846351624
acts,0.24949195981025696,0.253656268119812,0.2568269371986389,0.2649233341217041,0.21470610797405243,0.3041100800037384,0.07075770199298859
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.21681782603263855,0.9999999403953552,0.24401551485061646,0.12887074053287506
nucleons,0.24151207506656647,0.21799913048744202,0.22645236551761627,0.34046030044555664,0.24401551485061646,1.0000001192092896,0.17332112789154053
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21744468808174133,0.41100412607192993,0.22119656205177307,0.20430970191955566
atomic,0.24257957935333252,0.1635025292634964,0.20241498947143555,0.22851772606372833,0.1831418126821518,0.5229014754295349,0.16654692590236664
nuclei,0.19931645691394806,0.2258600890636444,0.1860578954219818,0.2593700885772705,0.20039904117584229,0.8567900061607361,0.14270271360874176
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.19671578705310822,0.2502231299877167,0.13208943605422974,0.42300865054130554
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.19216643273830414,0.22009976208209991,0.2593427300453186,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.2800885736942291,0.39067012071609497,0.22645236551761627,0.22068053483963013
nuclear,0.23862333595752716,0.20016400516033173,0.23911187052726746,0.30179211497306824,0.19125010073184967,0.6404083967208862,0.1865687519311905
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,1.0000001192092896,0.21681782603263855,0.34046030044555664,0.1650998443365097
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2783275842666626,0.30295518040657043,0.20596295595169067,0.4130953550338745
