,which,timeline,is,further,expanded,in,the,fourth,scale,?
since,0.3523256182670593,0.16752281785011292,0.3567592203617096,0.24975340068340302,0.29060009121894836,0.4325680434703827,0.4054957628250122,0.24696339666843414,0.1798076182603836,0.2876587212085724
the,0.6521818041801453,0.314031720161438,0.5823672413825989,0.32531118392944336,0.3258892893791199,0.6662389636039734,1.0,0.40804702043533325,0.1833842247724533,0.22068053483963013
quaternary,0.36353158950805664,0.25394558906555176,0.26575103402137756,0.3063555955886841,0.24272623658180237,0.27525514364242554,0.3165678381919861,0.24970895051956177,0.27455970644950867,0.1462450623512268
is,0.4457404911518097,0.1609574407339096,1.0,0.13372796773910522,0.16450905799865723,0.5394441485404968,0.5823672413825989,0.31589972972869873,0.18123696744441986,0.22961433231830597
a,0.56894451379776,0.19334779679775238,0.658733606338501,0.1668005734682083,0.20242644846439362,0.539380669593811,0.5829201340675354,0.3032437562942505,0.2199064940214157,0.23916715383529663
very,0.46625974774360657,0.1650806963443756,0.3671363294124603,0.18874190747737885,0.215043842792511,0.3209688663482666,0.34171217679977417,0.1491130143404007,0.2391502410173416,0.20864155888557434
short,0.3371328115463257,0.24208281934261322,0.2397661656141281,0.18320788443088531,0.2882865369319916,0.26193615794181824,0.29603123664855957,0.16394513845443726,0.1254839301109314,0.16194626688957214
period,0.31679004430770874,0.32283324003219604,0.1838376820087433,0.21965782344341278,0.2156084179878235,0.23051127791404724,0.3125074505805969,0.14984750747680664,0.26067477464675903,0.18706195056438446
with,0.46403205394744873,0.19095121324062347,0.3250955045223236,0.20288193225860596,0.21968890726566315,0.4080928862094879,0.4223487675189972,0.2221207469701767,0.18137779831886292,0.2433311939239502
short,0.3371328115463257,0.24208281934261322,0.2397661656141281,0.18320788443088531,0.2882865369319916,0.26193615794181824,0.29603123664855957,0.16394513845443726,0.1254839301109314,0.16194626688957214
epochs,0.3412918746471405,0.2883914113044739,0.20013898611068726,0.2700314521789551,0.25058984756469727,0.29209423065185547,0.30829018354415894,0.2142380177974701,0.24954020977020264,0.20177578926086426
",",0.3658004403114319,0.20203238725662231,0.4691906273365021,0.2694096863269806,0.3043839633464813,0.5201468467712402,0.4933079481124878,0.271299809217453,0.16146816313266754,0.31091248989105225
it,0.616637647151947,0.14733552932739258,0.6328473687171936,0.27744895219802856,0.30578672885894775,0.5130809545516968,0.6251175999641418,0.2663476765155792,0.16769419610500336,0.25732165575027466
is,0.4457404911518097,0.1609574407339096,1.0,0.13372796773910522,0.16450905799865723,0.5394441485404968,0.5823672413825989,0.31589972972869873,0.18123696744441986,0.22961433231830597
further,0.33739811182022095,0.18396607041358948,0.13372796773910522,1.0,0.3213132917881012,0.233941450715065,0.32531118392944336,0.19416598975658417,0.17251457273960114,0.20960763096809387
expanded,0.2827520966529846,0.2796653211116791,0.16450905799865723,0.3213132917881012,1.0000001192092896,0.27289336919784546,0.3258892893791199,0.13866353034973145,0.11450953036546707,0.2124357968568802
in,0.4840516746044159,0.2768777012825012,0.5394441485404968,0.233941450715065,0.27289336919784546,1.0,0.6662389636039734,0.29149749875068665,0.2105615884065628,0.20430970191955566
the,0.6521818041801453,0.314031720161438,0.5823672413825989,0.32531118392944336,0.3258892893791199,0.6662389636039734,1.0,0.40804702043533325,0.1833842247724533,0.22068053483963013
fourth,0.2565274238586426,0.16637563705444336,0.31589972972869873,0.19416598975658417,0.13866353034973145,0.29149749875068665,0.40804702043533325,1.0,0.1473594754934311,0.13791213929653168
scale,0.27186259627342224,0.22875644266605377,0.18123696744441986,0.17251457273960114,0.11450953036546707,0.2105615884065628,0.1833842247724533,0.1473594754934311,1.0000001192092896,0.21142835915088654
.,0.45942068099975586,0.2291359007358551,0.4569662809371948,0.25690746307373047,0.2730693221092224,0.5591574311256409,0.5934505462646484,0.27895694971084595,0.23170605301856995,0.4130953550338745
