,what,park,covers,an,area,of,76,ha,.,?
the,0.42745697498321533,0.24748283624649048,0.326327383518219,0.4207492768764496,0.37834644317626953,0.733189046382904,-0.4725710153579712,0.1501408815383911,0.5934505462646484,0.22068053483963013
łazienki,0.19364987313747406,0.19037052989006042,0.13677258789539337,0.17368078231811523,0.15287697315216064,0.24644936621189117,0.207488015294075,0.25831958651542664,0.2626149654388428,0.23331467807292938
park,0.13500720262527466,1.0,0.2745613753795624,0.14409798383712769,0.3099735677242279,0.24561640620231628,-0.20052874088287354,0.2840757966041565,0.22825266420841217,0.13508929312229156
covers,0.19826510548591614,0.2745613753795624,0.9999998807907104,0.2669692635536194,0.4924522638320923,0.3789252042770386,-0.2529902756214142,0.1568087339401245,0.2694735527038574,0.1432708352804184
the,0.42745697498321533,0.24748283624649048,0.326327383518219,0.4207492768764496,0.37834644317626953,0.733189046382904,-0.4725710153579712,0.1501408815383911,0.5934505462646484,0.22068053483963013
area,0.21965408325195312,0.3099735677242279,0.4924522638320923,0.23076042532920837,1.0,0.3409860134124756,-0.2961295247077942,0.23642610013484955,0.2760866582393646,0.12640461325645447
of,0.33290785551071167,0.24561640620231628,0.3789252042770386,0.32280945777893066,0.3409860134124756,1.0,-0.38797125220298767,0.13442294299602509,0.5352458953857422,0.1826142966747284
76,-0.28225886821746826,-0.20052874088287354,-0.2529902756214142,-0.17705968022346497,-0.2961295247077942,-0.38797125220298767,1.0000001192092896,0.03601757436990738,-0.3766680359840393,-0.08607837557792664
ha,0.15493328869342804,0.2840757966041565,0.1568087339401245,0.20186297595500946,0.23642610013484955,0.13442294299602509,0.03601757436990738,1.0,0.18072837591171265,0.24374480545520782
.,0.3567904531955719,0.22825266420841217,0.2694735527038574,0.3581749200820923,0.2760866582393646,0.5352458953857422,-0.3766680359840393,0.18072837591171265,1.0000001192092896,0.4130953550338745
