,what,is,harvard,'s,total,financial,aid,reserves,?
as,0.31749409437179565,0.43216490745544434,0.19990062713623047,-0.05775856226682663,0.13046351075172424,0.23751989006996155,0.1832205206155777,0.2768539488315582,0.27043893933296204
of,0.33290785551071167,0.4854315221309662,0.25842633843421936,-0.03817026689648628,0.29045331478118896,0.30178552865982056,0.20153990387916565,0.2623094618320465,0.1826142966747284
2012,0.2266836017370224,0.4531058669090271,0.10629113018512726,-0.022972648963332176,0.2982551157474518,0.18659436702728271,0.11342348158359528,0.29169079661369324,0.18042556941509247
[,0.010752761736512184,-0.06921151280403137,0.040985751897096634,0.01083834283053875,0.13478738069534302,0.16450364887714386,0.1711719036102295,0.05366826802492142,0.011015460826456547
update,0.3247421383857727,0.1550508290529251,0.14321881532669067,-0.11348000913858414,0.18911099433898926,0.1842571198940277,0.13876496255397797,0.15250664949417114,0.38474005460739136
],-0.03775298595428467,-0.02998926118016243,0.027987128123641014,-0.10493394732475281,-0.027687668800354004,-0.0768972635269165,-0.0041810497641563416,-0.015138889662921429,-0.0022520492784678936
",",0.3087472915649414,0.4691906273365021,0.2719281017780304,-0.0016132977325469255,0.25815486907958984,0.25465908646583557,0.1953202486038208,0.21863000094890594,0.31091248989105225
harvard,0.2177114188671112,0.15387701988220215,1.0,-0.06887804716825485,0.1318056881427765,0.19461186230182648,0.11811136454343796,0.08011297881603241,0.11685016006231308
university,0.20256435871124268,0.20346471667289734,0.6089406609535217,-0.007441582623869181,0.18448065221309662,0.22760559618473053,0.11583327502012253,0.22191740572452545,0.11887256056070328
had,0.23849567770957947,0.2932159900665283,0.15990322828292847,-0.004401352722197771,0.24812166392803192,0.2231896072626114,0.14559978246688843,0.18674546480178833,0.20728366076946259
a,0.3320399522781372,0.658733606338501,0.24754071235656738,0.04866964742541313,0.20922091603279114,0.2513774335384369,0.2427884340286255,0.21874254941940308,0.23916715383529663
total,0.19850242137908936,0.18159881234169006,0.1318056881427765,0.1334245651960373,0.9999999403953552,0.13687103986740112,0.14767736196517944,0.23978450894355774,0.14396025240421295
financial,0.1900392472743988,0.1937110424041748,0.19461186230182648,0.06992136687040329,0.13687103986740112,1.0,0.33156654238700867,0.21091865003108978,0.06444920599460602
aid,0.1778782606124878,0.10512593388557434,0.11811136454343796,0.07831104844808578,0.14767736196517944,0.33156654238700867,0.9999998807907104,0.10355830937623978,0.08358026295900345
reserve,0.12638241052627563,0.1928393840789795,0.15033882856369019,-0.05650542676448822,0.18211597204208374,0.2014545500278473,0.13263264298439026,0.8517060875892639,0.0967758372426033
of,0.33290785551071167,0.4854315221309662,0.25842633843421936,-0.03817026689648628,0.29045331478118896,0.30178552865982056,0.20153990387916565,0.2623094618320465,0.1826142966747284
$,0.24858909845352173,0.14577937126159668,0.19535687565803528,0.03734852001070976,0.3233705759048462,0.2532128691673279,0.23399698734283447,0.16848008334636688,0.2786129117012024
159,0.05909724533557892,0.0776730626821518,-0.11969049274921417,0.0057585877366364,0.06745629012584686,0.011844363063573837,-0.05684777721762657,0.07208798080682755,0.0324317142367363
million,0.22197039425373077,0.19962359964847565,0.13634052872657776,0.05079329386353493,0.401465505361557,0.18212322890758514,0.1940792202949524,0.2156839221715927,0.23092924058437347
for,0.3017193675041199,0.43268078565597534,0.14800849556922913,-0.07241261005401611,0.18924455344676971,0.311439573764801,0.28007441759109497,0.29156917333602905,0.264628142118454
students,0.2380729615688324,0.2124544233083725,0.33647945523262024,0.03619067743420601,0.16213786602020264,0.2152647078037262,0.221961110830307,0.19974616169929504,0.18017297983169556
",",0.3087472915649414,0.4691906273365021,0.2719281017780304,-0.0016132977325469255,0.25815486907958984,0.25465908646583557,0.1953202486038208,0.21863000094890594,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.2453373372554779,0.06895173341035843,0.2520328164100647,0.26681631803512573,0.2158033847808838,0.2686191499233246,0.20544172823429108
a,0.3320399522781372,0.658733606338501,0.24754071235656738,0.04866964742541313,0.20922091603279114,0.2513774335384369,0.2427884340286255,0.21874254941940308,0.23916715383529663
pell,0.062008995562791824,0.19396208226680756,0.19882814586162567,0.11343631148338318,0.2374657243490219,0.2157631367444992,0.23977123200893402,0.12257689982652664,0.11566035449504852
grant,0.18171831965446472,0.1720685213804245,0.10271694511175156,-0.03694717586040497,0.1271987110376358,0.23453648388385773,0.22695106267929077,0.21424216032028198,0.15586599707603455
reserve,0.12638241052627563,0.1928393840789795,0.15033882856369019,-0.05650542676448822,0.18211597204208374,0.2014545500278473,0.13263264298439026,0.8517060875892639,0.0967758372426033
of,0.33290785551071167,0.4854315221309662,0.25842633843421936,-0.03817026689648628,0.29045331478118896,0.30178552865982056,0.20153990387916565,0.2623094618320465,0.1826142966747284
$,0.24858909845352173,0.14577937126159668,0.19535687565803528,0.03734852001070976,0.3233705759048462,0.2532128691673279,0.23399698734283447,0.16848008334636688,0.2786129117012024
4.093,-0.0940409004688263,0.09809119999408722,0.015751520171761513,0.055171407759189606,-0.006291534751653671,-0.04343608021736145,-0.003419617423787713,0.1802048236131668,-0.025222962722182274
million,0.22197039425373077,0.19962359964847565,0.13634052872657776,0.05079329386353493,0.401465505361557,0.18212322890758514,0.1940792202949524,0.2156839221715927,0.23092924058437347
available,0.22032985091209412,0.20822511613368988,0.15366332232952118,0.03610558435320854,0.18474172055721283,0.22125805914402008,0.23969674110412598,0.19599181413650513,0.2501629889011383
for,0.3017193675041199,0.43268078565597534,0.14800849556922913,-0.07241261005401611,0.18924455344676971,0.311439573764801,0.28007441759109497,0.29156917333602905,0.264628142118454
disbursement,0.31071364879608154,0.2379017323255539,0.260647714138031,0.004639066755771637,0.22295749187469482,0.3270419239997864,0.27904513478279114,0.2609640955924988,0.21268603205680847
.,0.3567904531955719,0.4569662809371948,0.254516065120697,-0.003708066651597619,0.2295650690793991,0.22828321158885956,0.21699096262454987,0.17756770551204681,0.4130953550338745
