,the,motto,of,the,muslim,brotherhood,specifies,what,as,being,their,constitution,?
under,0.3348022699356079,0.14141884446144104,0.32766106724739075,0.3348022699356079,0.16324983537197113,0.1416875571012497,0.19305767118930817,0.20154598355293274,0.29018887877464294,0.2311614751815796,0.24656233191490173,0.2106701284646988,0.18233340978622437
the,1.0,0.21481263637542725,0.733189046382904,1.0,0.28099653124809265,0.2368839830160141,0.3288472592830658,0.42745697498321533,0.48381632566452026,0.419739305973053,0.516537070274353,0.3381718397140503,0.22068053483963013
motto,0.21481263637542725,1.0,0.1939888596534729,0.21481263637542725,0.15399612486362457,0.32593420147895813,0.17172928154468536,0.158603236079216,0.1434398591518402,0.12919539213180542,0.14575129747390747,0.24790643155574799,0.14667513966560364
``,0.029072100296616554,0.018374016508460045,0.06780257821083069,0.029072100296616554,0.1470780074596405,-0.030100610107183456,0.21155807375907898,0.008517155423760414,0.03910288214683533,0.0027407517191022635,0.05465886741876602,0.13461661338806152,0.0685480609536171
the,1.0,0.21481263637542725,0.733189046382904,1.0,0.28099653124809265,0.2368839830160141,0.3288472592830658,0.42745697498321533,0.48381632566452026,0.419739305973053,0.516537070274353,0.3381718397140503,0.22068053483963013
qur'an,0.24992629885673523,0.19256669282913208,0.19401024281978607,0.24992629885673523,0.6041481494903564,0.4077068865299225,0.2253856360912323,0.2516917884349823,0.2508261501789093,0.24101823568344116,0.192768394947052,0.24270892143249512,0.16824866831302643
is,0.5823672413825989,0.1784680336713791,0.4854315221309662,0.5823672413825989,0.18165594339370728,0.16092538833618164,0.3186280131340027,0.28837618231773376,0.43216490745544434,0.4445112943649292,0.2101074606180191,0.20281566679477692,0.22961433231830597
our,0.34956011176109314,0.2522491216659546,0.28844836354255676,0.34956011176109314,0.16982200741767883,0.21692703664302826,0.198855921626091,0.3871900141239166,0.2448216825723648,0.23687545955181122,0.429790198802948,0.17684049904346466,0.2894428074359894
constitution,0.3381718397140503,0.24790643155574799,0.3222753703594208,0.3381718397140503,0.278154194355011,0.19282612204551697,0.24751165509223938,0.26995089650154114,0.21920880675315857,0.19946110248565674,0.17005963623523712,1.0000001192092896,0.23706454038619995
",",0.4933079481124878,0.13194499909877777,0.4946078956127167,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.21931898593902588,0.3087472915649414,0.48816442489624023,0.34499165415763855,0.3045167922973633,0.2582484483718872,0.31091248989105225
'',0.041273195296525955,-0.04278593137860298,0.13035868108272552,0.041273195296525955,0.042625799775123596,-0.033341601490974426,0.07832291722297668,0.08143015950918198,0.006628023460507393,-0.015289289876818657,0.011550518684089184,0.013045001775026321,0.018684765323996544
it,0.6251175999641418,0.18023552000522614,0.38761502504348755,0.6251175999641418,0.1743740737438202,0.11445514112710953,0.18578335642814636,0.45803478360176086,0.4461488723754883,0.3926103413105011,0.3067983090877533,0.2979527413845062,0.25732165575027466
sought,0.2821049392223358,0.11957381665706635,0.33104926347732544,0.2821049392223358,0.2828839421272278,0.2945111095905304,0.17033442854881287,0.2695325016975403,0.27242714166641235,0.25204235315322876,0.33269545435905457,0.30313003063201904,0.1753331869840622
islamic,0.27231070399284363,0.148285374045372,0.25656506419181824,0.27231070399284363,0.6897084712982178,0.3888373076915741,0.21204866468906403,0.2204568088054657,0.20407888293266296,0.1907387375831604,0.1885700672864914,0.3327208459377289,0.1692383587360382
revival,0.30452626943588257,0.21334075927734375,0.2109367549419403,0.30452626943588257,0.2100362926721573,0.29963207244873047,0.0713195651769638,0.17674529552459717,0.18455035984516144,0.20302700996398926,0.1897466629743576,0.18835563957691193,0.09967152029275894
through,0.44071322679519653,0.14273323118686676,0.3647414743900299,0.44071322679519653,0.1442151963710785,0.1612984538078308,0.13617978990077972,0.23167094588279724,0.24602261185646057,0.23615305125713348,0.3113696575164795,0.20274746417999268,0.16913433372974396
preaching,0.2620480954647064,0.2527860999107361,0.2585231065750122,0.2620480954647064,0.3714357018470764,0.2994871139526367,0.1355629563331604,0.296420693397522,0.2475459724664688,0.3077261447906494,0.28918200731277466,0.17388585209846497,0.20984579622745514
and,0.5171257257461548,0.18231543898582458,0.5116966962814331,0.5171257257461548,0.255716472864151,0.26239755749702454,0.18073636293411255,0.31309178471565247,0.49487000703811646,0.4286794066429138,0.45114588737487793,0.23295778036117554,0.20544172823429108
also,0.6021018624305725,0.126319020986557,0.4924938678741455,0.6021018624305725,0.21779091656208038,0.2235211282968521,0.1709437221288681,0.42747777700424194,0.5774298906326294,0.45938754081726074,0.4181114733219147,0.1957554668188095,0.21848613023757935
by,0.4408751428127289,0.07025237381458282,0.3646814823150635,0.4408751428127289,0.18139012157917023,0.25664007663726807,0.1572519987821579,0.2455483376979828,0.3815547823905945,0.4690866470336914,0.3242124021053314,0.1736798882484436,0.17966607213020325
providing,0.29839932918548584,0.1416824907064438,0.24403119087219238,0.29839932918548584,0.16536299884319305,0.23995248973369598,0.324420690536499,0.21766136586666107,0.33823713660240173,0.37496012449264526,0.2947905361652374,0.14058271050453186,0.1936793476343155
basic,0.27259987592697144,0.19885432720184326,0.2817785441875458,0.27259987592697144,0.1462218016386032,0.16483090817928314,0.3358219563961029,0.3564627468585968,0.2511442303657532,0.18088684976100922,0.25211238861083984,0.23342235386371613,0.26534420251846313
community,0.2601400911808014,0.2537537217140198,0.2367410808801651,0.2601400911808014,0.3200112581253052,0.27812597155570984,0.17040155827999115,0.29032719135284424,0.22733435034751892,0.23870867490768433,0.1684875339269638,0.20125894248485565,0.2380419820547104
services,0.2381475418806076,0.2214694619178772,0.23787347972393036,0.2381475418806076,0.16040943562984467,0.15387468039989471,0.22896721959114075,0.16048473119735718,0.2673030495643616,0.23460045456886292,0.2087407410144806,0.16267748177051544,0.1328447163105011
including,0.3738902807235718,0.01030347216874361,0.44195112586021423,0.3738902807235718,0.18590712547302246,0.16241610050201416,0.15295764803886414,0.18328791856765747,0.3863891661167145,0.2191343605518341,0.2695971727371216,0.16681413352489471,0.1633303165435791
schools,0.22905772924423218,0.25736773014068604,0.265506386756897,0.22905772924423218,0.23423659801483154,0.23066765069961548,0.10551504790782928,0.1820785105228424,0.21233005821704865,0.17241530120372772,0.22621867060661316,0.262220561504364,0.18349280953407288
",",0.4933079481124878,0.13194499909877777,0.4946078956127167,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.21931898593902588,0.3087472915649414,0.48816442489624023,0.34499165415763855,0.3045167922973633,0.2582484483718872,0.31091248989105225
mosques,0.23127438127994537,0.16508394479751587,0.24868664145469666,0.23127438127994537,0.5587860345840454,0.24966032803058624,0.18264968693256378,0.23176151514053345,0.22924192249774933,0.22304877638816833,0.18539799749851227,0.217936173081398,0.20485180616378784
",",0.4933079481124878,0.13194499909877777,0.4946078956127167,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.21931898593902588,0.3087472915649414,0.48816442489624023,0.34499165415763855,0.3045167922973633,0.2582484483718872,0.31091248989105225
and,0.5171257257461548,0.18231543898582458,0.5116966962814331,0.5171257257461548,0.255716472864151,0.26239755749702454,0.18073636293411255,0.31309178471565247,0.49487000703811646,0.4286794066429138,0.45114588737487793,0.23295778036117554,0.20544172823429108
workshops,0.2560482621192932,0.1594027578830719,0.18194252252578735,0.2560482621192932,0.16980469226837158,0.22372578084468842,0.17296527326107025,0.2052963674068451,0.18254844844341278,0.22125044465065002,0.2482271045446396,0.08238755166530609,0.12714558839797974
.,0.5934505462646484,0.18405002355575562,0.5352458953857422,0.5934505462646484,0.27078697085380554,0.15035925805568695,0.23105934262275696,0.3567904531955719,0.515582263469696,0.35574623942375183,0.34427863359451294,0.2279142290353775,0.4130953550338745
