,what,are,three,examples,of,complexity,classes,associated,with,definitions,established,by,probabilistic,turing,machines,?
other,0.341873437166214,0.5932393670082092,0.35207873582839966,0.4480701982975006,0.38583824038505554,0.25132685899734497,0.2835449278354645,0.3474738299846649,0.44086363911628723,0.38248226046562195,0.2182442545890808,0.3321913778781891,0.22787703573703766,0.2517542541027069,0.3011923134326935,0.24682199954986572
important,0.31164905428886414,0.33294984698295593,0.21339088678359985,0.3066469132900238,0.43301743268966675,0.25560009479522705,0.2101818472146988,0.268383264541626,0.2211170494556427,0.21285046637058258,0.2451576143503189,0.1897295117378235,0.2495180368423462,0.24033088982105255,0.23173458874225616,0.17812499403953552
complexity,0.33747240900993347,0.27680158615112305,0.20467406511306763,0.3772682845592499,0.23338180780410767,1.0,0.29931116104125977,0.25809261202812195,0.2387731969356537,0.47425541281700134,0.13040971755981445,0.17643122375011444,0.4460052251815796,0.41919052600860596,0.3310573697090149,0.23062916100025177
classes,0.20746955275535583,0.2913099527359009,0.23294511437416077,0.32780721783638,0.19099700450897217,0.29931116104125977,1.0000001192092896,0.16556590795516968,0.19796571135520935,0.24072235822677612,0.09644053131341934,0.1743253618478775,0.2366912066936493,0.17569570243358612,0.273708313703537,0.14397528767585754
include,0.1535889357328415,0.5140694975852966,0.20405615866184235,0.554942786693573,0.37431180477142334,0.18483740091323853,0.19221808016300201,0.2688739001750946,0.3391835689544678,0.31047171354293823,0.11971444636583328,0.24257268011569977,0.18250282108783722,0.15604978799819946,0.20490291714668274,0.14925788342952728
bpp,0.13434776663780212,0.15940234065055847,0.10903403908014297,0.1464790552854538,0.08372394740581512,0.29234030842781067,0.18848758935928345,0.19569751620292664,0.15041351318359375,0.25230199098587036,0.17418697476387024,0.14729830622673035,0.21646399796009064,0.14076921343803406,0.22281423211097717,0.22042737901210785
",",0.3087472915649414,0.4062570035457611,0.3347506821155548,0.2687304615974426,0.4946078956127167,0.27822354435920715,0.26848307251930237,0.27184680104255676,0.4120737314224243,0.2748112082481384,0.22739723324775696,0.3680937886238098,0.1886555552482605,0.2807261645793915,0.25857728719711304,0.31091248989105225
zpp,0.10799464583396912,0.1125505343079567,0.18381918966770172,0.042918719351291656,0.14227162301540375,0.2229839712381363,0.1275579184293747,0.10304339230060577,0.14116300642490387,0.15651537477970123,0.188590407371521,0.21782423555850983,0.20323973894119263,0.21430617570877075,0.1690916270017624,0.23891094326972961
and,0.31309178471565247,0.48576638102531433,0.3826501965522766,0.35639533400535583,0.5116966962814331,0.2520415782928467,0.2892279624938965,0.30157923698425293,0.5477725267410278,0.25120699405670166,0.2369968742132187,0.4289871156215668,0.1855754405260086,0.22459711134433746,0.2919604778289795,0.20544172823429108
rp,0.2636401355266571,0.13450632989406586,0.08752232044935226,0.1334688514471054,0.1248948872089386,0.22844357788562775,0.0821826159954071,0.04800312966108322,0.13429546356201172,0.20977246761322021,0.09119820594787598,0.15989214181900024,0.08401577919721603,0.19305098056793213,0.18921242654323578,0.28526240587234497
",",0.3087472915649414,0.4062570035457611,0.3347506821155548,0.2687304615974426,0.4946078956127167,0.27822354435920715,0.26848307251930237,0.27184680104255676,0.4120737314224243,0.2748112082481384,0.22739723324775696,0.3680937886238098,0.1886555552482605,0.2807261645793915,0.25857728719711304,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.40919098258018494,0.38271647691726685,0.5011631846427917,0.2941568195819855,0.2896202504634857,0.3083685338497162,0.46403205394744873,0.35068097710609436,0.26644110679626465,0.40543368458747864,0.36450162529945374,0.2775655686855316,0.34661024808883667,0.25814583897590637
are,0.29724663496017456,1.0,0.38895705342292786,0.5214043259620667,0.39081433415412903,0.27680158615112305,0.2913099527359009,0.28055059909820557,0.38996943831443787,0.3480089008808136,0.13481727242469788,0.37842893600463867,0.2588419020175934,0.17666763067245483,0.3025093972682953,0.24591213464736938
defined,0.25343453884124756,0.2598877251148224,0.1854511797428131,0.3056606650352478,0.2659633457660675,0.32216620445251465,0.2014472633600235,0.3484164774417877,0.23112677037715912,0.576927125453949,0.29635512828826904,0.23525729775428772,0.3569490611553192,0.19055604934692383,0.1453070044517517,0.22494901716709137
using,0.27984681725502014,0.3385874032974243,0.17423652112483978,0.37008148431777954,0.24298200011253357,0.2878689169883728,0.20710119605064392,0.17376847565174103,0.3917884826660156,0.2746617794036865,0.1401502937078476,0.349493145942688,0.3011559545993805,0.2872474789619446,0.39130058884620667,0.2804589569568634
probabilistic,0.36312082409858704,0.2588419020175934,0.19759446382522583,0.3141886293888092,0.27044472098350525,0.4460052251815796,0.2366912066936493,0.202032208442688,0.22888845205307007,0.3781616687774658,0.11107224225997925,0.1744280308485031,1.0,0.32914790511131287,0.2866758108139038,0.2061566412448883
