,how,much,of,the,greenhouse,effect,is,due,to,carbon,dioxide,?
they,0.43247655034065247,0.39154937863349915,0.3426007330417633,0.49925389885902405,0.2410549521446228,0.22173674404621124,0.330102801322937,0.17798446118831635,0.5452046394348145,0.25004661083221436,0.24155974388122559,0.2753053903579712
calculate,0.4267236590385437,0.2668704688549042,0.25099822878837585,0.2715446352958679,0.27644649147987366,0.2742540240287781,0.217797189950943,0.18896180391311646,0.28528669476509094,0.30565398931503296,0.3521926701068878,0.25905343890190125
with,0.3525622487068176,0.2808258831501007,0.41827285289764404,0.4223487675189972,0.16035045683383942,0.2349119931459427,0.3250955045223236,0.22345976531505585,0.4239959120750427,0.1690169721841812,0.16934548318386078,0.2433311939239502
confidence,0.3354218006134033,0.2681947946548462,0.23971544206142426,0.20392413437366486,0.2051709145307541,0.31183508038520813,0.11934750527143478,0.23239652812480927,0.27366042137145996,0.20468609035015106,0.17929217219352722,0.20145918428897858
that,0.557814359664917,0.4869440197944641,0.41498205065727234,0.5473989248275757,0.28950396180152893,0.3663281202316284,0.3995479643344879,0.2827286720275879,0.5436353087425232,0.28395435214042664,0.2615143954753876,0.32716336846351624
co2,0.15510983765125275,0.184421107172966,0.20196707546710968,0.2283933311700821,0.17833212018013,0.08535313606262207,0.19324472546577454,0.056877944618463516,0.1988881677389145,0.20804579555988312,0.13667048513889313,0.0799083262681961
has,0.26820555329322815,0.31650421023368835,0.3909035325050354,0.4177538752555847,0.26726123690605164,0.1701475977897644,0.5668748617172241,0.19837327301502228,0.3619994819164276,0.19985580444335938,0.2135627120733261,0.15994466841220856
been,0.26456597447395325,0.34950098395347595,0.31685134768486023,0.3563927710056305,0.25967687368392944,0.1896531581878662,0.39566612243652344,0.24634958803653717,0.34945759177207947,0.16991065442562103,0.17647914588451385,0.24354910850524902
responsible,0.212467223405838,0.18740221858024597,0.37070101499557495,0.3305104374885559,0.18671585619449615,0.23689503967761993,0.24123810231685638,0.23343366384506226,0.19470079243183136,0.20209933817386627,0.2083948701620102,0.11367333680391312
for,0.3308170735836029,0.2994346022605896,0.4185989499092102,0.4739971458911896,0.21598491072654724,0.2288459986448288,0.43268078565597534,0.2363993525505066,0.4451248347759247,0.2145283818244934,0.16366423666477203,0.264628142118454
over,0.31446483731269836,0.3711091876029968,0.36136594414711,0.39856547117233276,0.15850113332271576,0.28192707896232605,0.2159561663866043,0.2075299322605133,0.38635820150375366,0.17956045269966125,0.1830328404903412,0.25742942094802856
half,0.19052551686763763,0.31262141466140747,0.2784358561038971,0.3189295828342438,0.13110506534576416,0.1117992028594017,0.2514667510986328,0.11908788979053497,0.21248666942119598,0.20574115216732025,0.18654777109622955,0.07471233606338501
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24104130268096924,0.2865084111690521,0.5823672413825989,0.22577603161334991,0.535392165184021,0.23183570802211761,0.21460992097854614,0.22068053483963013
enhanced,0.22032445669174194,0.22010882198810577,0.25994354486465454,0.20192280411720276,0.30661311745643616,0.3301534354686737,0.12379218637943268,0.20451413094997406,0.21100686490535736,0.19024816155433655,0.19851930439472198,0.13735352456569672
greenhouse,0.21303912997245789,0.32288408279418945,0.2204664796590805,0.24104130268096924,1.0,0.43328937888145447,0.2172711342573166,0.2052551656961441,0.26909852027893066,0.4580666124820709,0.49346643686294556,0.17256315052509308
effect,0.3210693895816803,0.31241118907928467,0.24129827320575714,0.2865084111690521,0.43328937888145447,1.0,0.17614969611167908,0.31148746609687805,0.2521958649158478,0.24031442403793335,0.21903033554553986,0.1783771812915802
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.24622081220149994,0.2277858853340149,0.4569662809371948,0.19861014187335968,0.4645031690597534,0.23824366927146912,0.22883257269859314,0.4130953550338745
