,what,did,the,merwede-oude,maas,form,with,waal,and,lek,?
before,0.3801657259464264,0.33642593026161194,0.45900648832321167,0.17793454229831696,0.14798955619335175,0.2545425593852997,0.32654517889022827,0.12233977019786835,0.3518902659416199,0.1903446912765503,0.2507109045982361
the,0.42745697498321533,0.34736719727516174,1.0,0.24134695529937744,0.1690772920846939,0.29286009073257446,0.4223487675189972,0.14903073012828827,0.5171257257461548,0.17809559404850006,0.22068053483963013
st.,0.10219959169626236,0.11965964734554291,0.18141359090805054,0.33342915773391724,0.23231245577335358,0.10487384349107742,0.2383403480052948,0.30666497349739075,0.22686052322387695,0.3957842290401459,0.13592876493930817
elizabeth,0.18697009980678558,0.19351956248283386,0.19892844557762146,0.3019387125968933,0.21771329641342163,0.10392086952924728,0.17362606525421143,0.15598838031291962,0.23224513232707977,0.13252201676368713,0.157150536775589
's,0.02692362666130066,0.05069678649306297,-0.01540423184633255,0.05830199643969536,0.09073525667190552,0.07059726119041443,-0.04624466598033905,0.04667973518371582,0.06895173341035843,0.05543556809425354,-0.023395681753754616
flood,0.23546519875526428,0.18059535324573517,0.2599719166755676,0.1901254653930664,0.2121351808309555,0.12553031742572784,0.11970382183790207,0.18850372731685638,0.19103416800498962,0.14071126282215118,0.2279077023267746
(,0.2411840260028839,0.18979617953300476,0.33289089798927307,0.287420392036438,0.2055290937423706,0.1860738843679428,0.29503780603408813,0.22305460274219513,0.4862271547317505,0.15580330789089203,0.40561532974243164
1421,-0.14201338589191437,-0.1887500137090683,0.04676410183310509,0.16146880388259888,0.21626760065555573,-0.07467639446258545,-0.0495142936706543,0.14604200422763824,-0.07762996107339859,0.034958407282829285,-0.17428839206695557
),0.26259949803352356,0.18584993481636047,0.3456730246543884,0.2664931118488312,0.20802533626556396,0.20926380157470703,0.3069596290588379,0.21060799062252045,0.4961937665939331,0.16150321066379547,0.42300865054130554
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.29938021302223206,0.27513158321380615,0.21805599331855774,0.4120737314224243,0.2183123230934143,0.6633074283599854,0.23813486099243164,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.24134695529937744,0.1690772920846939,0.29286009073257446,0.4223487675189972,0.14903073012828827,0.5171257257461548,0.17809559404850006,0.22068053483963013
