,what,was,the,year,when,tesla,went,back,to,smiljan,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3359307050704956,0.4431333839893341,0.17097744345664978,0.30470821261405945,0.25397348403930664,0.45010748505592346,0.25222301483154297,0.20430970191955566
1873,-0.1403791457414627,-0.06682974845170975,-0.08902928233146667,0.045585136860609055,-0.0720430463552475,0.03536037728190422,0.06395742297172546,-0.01879163086414337,-0.061114344745874405,0.08480051904916763,-0.06902088224887848
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28560417890548706,0.36674630641937256,0.20599327981472015,0.29013195633888245,0.3066370487213135,0.44245919585227966,0.31796109676361084,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.1455472707748413,0.1504557579755783,0.9999999403953552,0.028210537508130074,0.09240715950727463,0.17548894882202148,0.3143247961997986,0.10250775516033173
returned,0.15085899829864502,0.4257400631904602,0.32857778668403625,0.2697434723377228,0.28365370631217957,0.0423017218708992,0.5658766031265259,0.40648770332336426,0.30012887716293335,0.10700062662363052,0.07695316523313522
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.23523004353046417,0.5423505902290344,0.17548894882202148,0.33234721422195435,0.4675939381122589,1.0,0.20419716835021973,0.29463258385658264
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.255428284406662,0.37120407819747925,0.1580733060836792,0.43009182810783386,0.3421434462070465,0.3715193271636963,0.24300232529640198,0.18075084686279297
birthtown,0.2144230604171753,0.2857954204082489,0.26789921522140503,0.29160991311073303,0.21440275013446808,0.15722408890724182,0.22751250863075256,0.1782476007938385,0.1785372942686081,0.2045954316854477,0.17362040281295776
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28560417890548706,0.36674630641937256,0.20599327981472015,0.29013195633888245,0.3066370487213135,0.44245919585227966,0.31796109676361084,0.31091248989105225
smiljan,0.20417870581150055,0.2473890483379364,0.22545762360095978,0.19025710225105286,0.24838706851005554,0.3143247961997986,0.16074083745479584,0.15738798677921295,0.20419716835021973,0.9999999403953552,0.2793274521827698
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.32538118958473206,0.475719153881073,0.17949827015399933,0.27773603796958923,0.3154444992542267,0.4645031690597534,0.3393680453300476,0.4130953550338745
