,if,q=9,and,"a=3,6",or,9,",",how,many,primes,would,be,in,the,progression,?
the,0.33724796772003174,0.009354798123240471,0.5171257257461548,-0.2938160300254822,0.4174870550632477,0.023652536794543266,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.22359657287597656,0.4133751392364502,0.4248143136501312,0.6662389636039734,1.0,0.29022327065467834,0.22068053483963013
rows,0.2510714828968048,0.04529326781630516,0.28445664048194885,-0.176246777176857,0.3138042688369751,-0.003399644512683153,0.17734470963478088,0.23732048273086548,0.23557980358600616,0.23751817643642426,0.24944232404232025,0.2143649011850357,0.16420641541481018,0.2598671019077301,0.19756998121738434,0.1265581250190735
(,0.26899856328964233,0.25789889693260193,0.4862271547317505,0.07546970248222351,0.3582012951374054,-0.06387162953615189,0.6363511681556702,0.1676948219537735,0.1455259770154953,0.210494726896286,0.21630488336086273,0.2349044382572174,0.3087427020072937,0.33289089798927307,0.16077446937561035,0.40561532974243164
=progressions,0.2483098804950714,-0.06137445196509361,0.30711185932159424,-0.15098565816879272,0.31164056062698364,0.01910007931292057,0.2212596833705902,0.3161676824092865,0.3403276205062866,0.2660785913467407,0.2750997245311737,0.2697562873363495,0.23497511446475983,0.29258808493614197,0.9045615196228027,0.19476443529129028
),0.2878422141075134,0.2714085578918457,0.4961937665939331,0.0488082654774189,0.3706604242324829,-0.05275155231356621,0.63033527135849,0.17939934134483337,0.16602720320224762,0.20394806563854218,0.2093871831893921,0.24578070640563965,0.3326910734176636,0.3456730246543884,0.1748335212469101,0.42300865054130554
starting,0.263784259557724,0.1473023146390915,0.20327439904212952,-0.08138889819383621,0.20661771297454834,0.06352570652961731,0.2485944926738739,0.2347876876592636,0.2680101692676544,0.18287964165210724,0.32264095544815063,0.21088837087154388,0.3013272285461426,0.37272053956985474,0.2672167420387268,0.19133803248405457
with,0.34021785855293274,0.11222321540117264,0.5477725267410278,-0.21056059002876282,0.38158315420150757,-0.08176597207784653,0.4120737314224243,0.3525622487068176,0.35744401812553406,0.14664357900619507,0.38372042775154114,0.36101722717285156,0.4080928862094879,0.4223487675189972,0.19269025325775146,0.2433311939239502
a,0.41272827982902527,0.09547444432973862,0.3739250600337982,-0.20979216694831848,0.48853766918182373,0.010403415188193321,0.427140474319458,0.29312583804130554,0.2872205972671509,0.21026647090911865,0.398599237203598,0.39883795380592346,0.539380669593811,0.5829201340675354,0.3011077046394348,0.23916715383529663
=,-0.014500393532216549,-0.004040054511278868,-0.046995434910058975,-0.06334128230810165,-0.059526387602090836,-0.03439568728208542,-0.04015415534377098,0.005664738826453686,-0.0030256889294832945,-0.0642760694026947,-0.020843004807829857,0.021265273913741112,-0.08381625264883041,-0.01352626271545887,-0.07218185812234879,-0.005643122363835573
3,0.09733174741268158,-0.006219690665602684,0.07610447704792023,-0.03935029357671738,0.1012437492609024,-0.04784855246543884,0.02255268208682537,0.12271612882614136,0.026462629437446594,-0.010150526650249958,0.05846809968352318,0.13293789327144623,0.06326868385076523,0.06283142417669296,0.07058294862508774,0.005975271109491587
",",0.257730096578598,0.1831604391336441,0.6633074283599854,-0.05676543712615967,0.3769497275352478,-0.04171276465058327,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.29003697633743286,0.32586824893951416,0.39254459738731384,0.5201468467712402,0.4933079481124878,0.18310736119747162,0.31091248989105225
6,0.07760230451822281,-0.00950188934803009,0.11442969739437103,-0.03570334240794182,0.026577774435281754,0.04528498277068138,0.05098571628332138,0.056429795920848846,0.09481502324342728,0.06209598854184151,0.02411937527358532,0.11394984275102615,-0.0005521549028344452,0.041227471083402634,0.04247231036424637,0.045001473277807236
",",0.257730096578598,0.1831604391336441,0.6633074283599854,-0.05676543712615967,0.3769497275352478,-0.04171276465058327,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.29003697633743286,0.32586824893951416,0.39254459738731384,0.5201468467712402,0.4933079481124878,0.18310736119747162,0.31091248989105225
or,0.508355975151062,0.028390822932124138,0.4713204801082611,-0.3073819875717163,1.0000001192092896,-0.05066752806305885,0.3769497275352478,0.3378981947898865,0.36905089020729065,0.18961890041828156,0.39548179507255554,0.5260903835296631,0.3586423695087433,0.4174870550632477,0.2504151165485382,0.32389625906944275
9,-0.13299115002155304,-0.16161762177944183,-0.07761130481958389,-0.023217173293232918,-0.05066752806305885,1.0000001192092896,-0.04171276465058327,-0.020076006650924683,-0.008973803371191025,0.074723981320858,0.00561675475910306,0.015026225708425045,0.002698394237086177,0.023652536794543266,0.03440534695982933,-0.026682810857892036
contain,0.2986987829208374,-0.018048420548439026,0.3066939413547516,-0.26483801007270813,0.4471302628517151,-0.06790230423212051,0.24384500086307526,0.2636528015136719,0.35166433453559875,0.24461282789707184,0.23871861398220062,0.4570501148700714,0.23975171148777008,0.26383090019226074,0.14558011293411255,0.18853069841861725
at,0.21405546367168427,0.11072105169296265,0.3571503460407257,-0.10777539759874344,0.21026140451431274,0.009178941138088703,0.38314947485923767,0.2154216170310974,0.2716965675354004,0.1806667000055313,0.3073931038379669,0.30379733443260193,0.4374977946281433,0.457212895154953,0.13027308881282806,0.21978627145290375
most,0.2885936200618744,0.046927668154239655,0.4309377074241638,-0.273772269487381,0.30746427178382874,0.056067243218421936,0.3636029064655304,0.311336874961853,0.6236066222190857,0.2122446447610855,0.3177604079246521,0.3381733000278473,0.41416558623313904,0.47635307908058167,0.21715591847896576,0.2107497900724411
one,0.37931159138679504,0.0525960735976696,0.42438167333602905,-0.30440983176231384,0.4022330939769745,0.04204459860920906,0.3696635365486145,0.3213292360305786,0.4223630726337433,0.2931256592273712,0.38529840111732483,0.4154875874519348,0.4129433035850525,0.5514441132545471,0.2185089886188507,0.2673267424106598
prime,0.09983985871076584,0.12382510304450989,0.21528048813343048,0.07193275541067123,0.12635108828544617,0.08400384336709976,0.2565026581287384,0.0754077360033989,0.12904198467731476,0.7104739546775818,0.16885465383529663,0.14576895534992218,0.18097394704818726,0.19960100948810577,0.16303981840610504,0.11276303976774216
number,0.3394574522972107,-0.001428250572644174,0.28545793890953064,-0.17173103988170624,0.28384777903556824,0.09978508949279785,0.2535701394081116,0.2725796401500702,0.41408368945121765,0.42379385232925415,0.22908863425254822,0.28840136528015137,0.3024539053440094,0.35145696997642517,0.29206982254981995,0.19256845116615295
.,0.421799898147583,0.10240006446838379,0.588965117931366,-0.16340087354183197,0.36683785915374756,-0.06234462931752205,0.6812511086463928,0.3287222981452942,0.3974229395389557,0.2564551830291748,0.35067233443260193,0.4383580684661865,0.5591574311256409,0.5934505462646484,0.23092976212501526,0.4130953550338745
