,what,fortification,was,built,in,the,19th,century,after,the,defeat,of,the,november,uprising,?
pawiak,0.17504578828811646,0.2136709988117218,0.285164475440979,0.1681489199399948,0.2655324339866638,0.3019503951072693,0.17815525829792023,0.1573975384235382,0.30566421151161194,0.3019503951072693,0.232368603348732,0.24930210411548615,0.3019503951072693,0.27941492199897766,0.3050084412097931,0.233526349067688
",",0.3087472915649414,0.25245150923728943,0.45456063747406006,0.22658206522464752,0.5201468467712402,0.4933079481124878,0.16815264523029327,0.24487493932247162,0.38860568404197693,0.4933079481124878,0.2394917905330658,0.4946078956127167,0.4933079481124878,0.4120670258998871,0.2470635622739792,0.31091248989105225
an,0.2821882665157318,0.1980258822441101,0.3694365322589874,0.11691489815711975,0.2605783939361572,0.4207492768764496,0.21951642632484436,0.185816690325737,0.20180045068264008,0.4207492768764496,0.11692599952220917,0.32280945777893066,0.4207492768764496,0.20648010075092316,0.18619123101234436,0.19793890416622162
infamous,0.23343130946159363,0.21374209225177765,0.30781516432762146,0.19123154878616333,0.3241525888442993,0.3072296380996704,0.1505759209394455,0.2154942750930786,0.35651203989982605,0.3072296380996704,0.22175726294517517,0.2810886800289154,0.3072296380996704,0.19395415484905243,0.27316999435424805,0.14350996911525726
german,0.1960553526878357,0.3176251947879791,0.26016926765441895,0.14781396090984344,0.21098364889621735,0.256483793258667,0.13615506887435913,0.23541589081287384,0.20262564718723297,0.256483793258667,0.16347992420196533,0.2122138887643814,0.256483793258667,0.19916851818561554,0.23842564225196838,0.13978645205497742
gestapo,0.22367408871650696,0.3053397536277771,0.30208608508110046,0.14318034052848816,0.21287237107753754,0.28435423970222473,0.030422519892454147,0.1900307536125183,0.3191014230251312,0.28435423970222473,0.16989001631736755,0.23616579174995422,0.28435423970222473,0.11989152431488037,0.3072744905948639,0.20658449828624725
prison,0.16782958805561066,0.23011615872383118,0.31356486678123474,0.19075173139572144,0.2624509334564209,0.19548384845256805,0.15378046035766602,0.18281526863574982,0.2902092933654785,0.19548384845256805,0.18910741806030273,0.20613855123519897,0.19548384845256805,0.1788642257452011,0.2728789150714874,0.13522469997406006
now,0.4903225302696228,0.15840065479278564,0.35876134037971497,0.27062228322029114,0.3619694113731384,0.38266420364379883,0.13934333622455597,0.22637580335140228,0.30156397819519043,0.38266420364379883,0.11611084640026093,0.29182544350624084,0.38266420364379883,0.2790800631046295,0.220283642411232,0.29641881585121155
occupied,0.2295091450214386,0.3543679714202881,0.3012172281742096,0.3012182414531708,0.30793076753616333,0.3288927674293518,0.04106619209051132,0.27134886384010315,0.24867142736911774,0.3288927674293518,0.2735128104686737,0.3310187757015228,0.3288927674293518,0.12712706625461578,0.40101367235183716,0.11679025739431381
by,0.2455483376979828,0.20250007510185242,0.4752357602119446,0.22056880593299866,0.370934396982193,0.4408751428127289,0.2488098442554474,0.29995259642601013,0.41259682178497314,0.4408751428127289,0.22488872706890106,0.3646814823150635,0.4408751428127289,0.2035805881023407,0.20505882799625397,0.17966607213020325
a,0.3320399522781372,0.26901647448539734,0.4508470594882965,0.23064446449279785,0.539380669593811,0.5829201340675354,0.200595885515213,0.19417014718055725,0.3831600844860077,0.5829201340675354,0.14495371282100677,0.5052502155303955,0.5829201340675354,0.22458937764167786,0.17451336979866028,0.23916715383529663
mausoleum,0.17127197980880737,0.31021028757095337,0.26164430379867554,0.3593289852142334,0.18680685758590698,0.21872887015342712,-0.003584754653275013,0.17717887461185455,0.19192823767662048,0.21872887015342712,0.15914280712604523,0.2191164493560791,0.21872887015342712,0.20369857549667358,0.24528449773788452,0.1583869904279709
of,0.33290785551071167,0.28820934891700745,0.4069072902202606,0.23442776501178741,0.5696388483047485,0.733189046382904,0.16605104506015778,0.2826060354709625,0.3867455720901489,0.733189046382904,0.2543899118900299,1.0,0.733189046382904,0.19941139221191406,0.2703337073326111,0.1826142966747284
memory,0.20690667629241943,0.20351062715053558,0.16498547792434692,0.1788269281387329,0.2039261907339096,0.1785092055797577,0.151224747300148,0.13158775866031647,0.2002146691083908,0.1785092055797577,0.14114931225776672,0.17919406294822693,0.1785092055797577,0.14983749389648438,0.0629248395562172,0.1397676020860672
of,0.33290785551071167,0.28820934891700745,0.4069072902202606,0.23442776501178741,0.5696388483047485,0.733189046382904,0.16605104506015778,0.2826060354709625,0.3867455720901489,0.733189046382904,0.2543899118900299,1.0,0.733189046382904,0.19941139221191406,0.2703337073326111,0.1826142966747284
