,what,modern,city,did,khanbaliq,become,?
the,0.42745697498321533,0.3283970355987549,0.35769423842430115,0.34736719727516174,0.20302322506904602,0.31731709837913513,0.22068053483963013
central,0.17723965644836426,0.15431827306747437,0.2984377145767212,0.14962437748908997,0.22901533544063568,0.18665778636932373,0.14787602424621582
region,0.2298986315727234,0.1651909053325653,0.38168054819107056,0.06474873423576355,0.29664698243141174,0.12715312838554382,0.13441751897335052
",",0.3087472915649414,0.2557750344276428,0.35839709639549255,0.3015086054801941,0.2590843141078949,0.29676204919815063,0.31091248989105225
consisting,0.12705351412296295,0.2348657250404358,0.12553177773952484,0.08322962373495102,0.18862025439739227,0.09949812293052673,0.006223649252206087
of,0.33290785551071167,0.3482828736305237,0.32503411173820496,0.2513895630836487,0.23828808963298798,0.31678006052970886,0.1826142966747284
present-day,0.3194306194782257,0.2695101797580719,0.27693304419517517,0.20096364617347717,0.23165608942508698,0.1710372418165207,0.24972984194755554
hebei,0.13428783416748047,0.19639110565185547,0.3638199269771576,0.07139208912849426,0.47258204221725464,0.15553635358810425,0.09178882837295532
",",0.3087472915649414,0.2557750344276428,0.35839709639549255,0.3015086054801941,0.2590843141078949,0.29676204919815063,0.31091248989105225
shandong,0.14301858842372894,0.22671817243099213,0.2414889633655548,0.13570423424243927,0.4515509307384491,0.08542580902576447,0.14322839677333832
",",0.3087472915649414,0.2557750344276428,0.35839709639549255,0.3015086054801941,0.2590843141078949,0.29676204919815063,0.31091248989105225
shanxi,0.22316621243953705,0.2347067892551422,0.30145755410194397,0.19638235867023468,0.45467695593833923,0.11660361289978027,0.1878359317779541
",",0.3087472915649414,0.2557750344276428,0.35839709639549255,0.3015086054801941,0.2590843141078949,0.29676204919815063,0.31091248989105225
the,0.42745697498321533,0.3283970355987549,0.35769423842430115,0.34736719727516174,0.20302322506904602,0.31731709837913513,0.22068053483963013
south-eastern,0.272931843996048,0.2758740484714508,0.4297255277633667,0.183031365275383,0.31064245104789734,0.20532986521720886,0.2683718800544739
part,0.3476244807243347,0.24953113496303558,0.3513805866241455,0.23558001220226288,0.1984895020723343,0.23726636171340942,0.08557961881160736
of,0.33290785551071167,0.3482828736305237,0.32503411173820496,0.2513895630836487,0.23828808963298798,0.31678006052970886,0.1826142966747284
present-day,0.3194306194782257,0.2695101797580719,0.27693304419517517,0.20096364617347717,0.23165608942508698,0.1710372418165207,0.24972984194755554
inner,0.226011261343956,0.14557452499866486,0.2414141744375229,0.1292029768228531,0.21714180707931519,0.10669153928756714,0.10395674407482147
