,what,does,the,ciliary,rosettes,do,to,decease,bulk,and,increase,density,?
conversely,0.28675293922424316,0.28543442487716675,0.2955932319164276,0.27968519926071167,0.17753124237060547,0.2547401189804077,0.41752889752388,0.19580359756946564,0.254685640335083,0.31658053398132324,0.4194670617580414,0.2998342216014862,0.1408759355545044
if,0.5277165174484253,0.4740144908428192,0.33724796772003174,0.2943502366542816,0.14791704714298248,0.4196736514568329,0.4559597074985504,0.1863027811050415,0.1862470954656601,0.3498523235321045,0.2895248830318451,0.21495655179023743,0.4441644251346588
they,0.4431931674480438,0.34390902519226074,0.49925389885902405,0.34588155150413513,0.3023682236671448,0.4667694866657257,0.5452046394348145,0.23337285220623016,0.23052199184894562,0.5073080658912659,0.2765698730945587,0.1604880541563034,0.2753053903579712
move,0.30861297249794006,0.22281400859355927,0.29817628860473633,0.316480815410614,0.15089647471904755,0.30881935358047485,0.37858664989471436,0.11104795336723328,0.16579729318618774,0.2671177089214325,0.27608513832092285,0.2595432996749878,0.24440962076187134
from,0.2737620174884796,0.1777622550725937,0.40150508284568787,0.23061397671699524,0.17019762098789215,0.20424067974090576,0.4069952368736267,0.1469670832157135,0.20328614115715027,0.3601827025413513,0.20796631276607513,0.13473767042160034,0.19969791173934937
brackish,0.14392901957035065,0.22311994433403015,0.27849212288856506,0.3995091915130615,0.3494930565357208,0.2070026993751526,0.19098733365535736,0.1516423225402832,0.22070693969726562,0.31305012106895447,0.2351917177438736,0.2678821384906769,0.13325713574886322
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.2910118103027344,0.19573892652988434,0.38876664638519287,1.0,0.23695434629917145,0.2223905473947525,0.48971283435821533,0.3378143310546875,0.19789865612983704,0.29463258385658264
full-strength,0.2679618299007416,0.22395998239517212,0.2809220552444458,0.2393520623445511,0.16655123233795166,0.24147890508174896,0.29468366503715515,0.21464350819587708,0.28823021054267883,0.3382604718208313,0.30323752760887146,0.26865509152412415,0.15774238109588623
seawater,0.20096004009246826,0.28559041023254395,0.27259325981140137,0.3308175504207611,0.23714914917945862,0.23696041107177734,0.2980733811855316,0.12234313040971756,0.34613457322120667,0.27761560678482056,0.3401567339897156,0.31868404150009155,0.1952858418226242
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2289702296257019,0.241393581032753,0.3283645510673523,0.44245919585227966,0.2580532729625702,0.2566060423851013,0.6633074283599854,0.20005576312541962,0.2175186723470688,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.2600339353084564,0.3116762340068817,0.30239659547805786,0.535392165184021,0.14724557101726532,0.2220524251461029,0.5171257257461548,0.32049667835235596,0.2451544851064682,0.22068053483963013
rosettes,0.15621772408485413,0.1658385992050171,0.3116762340068817,0.3152691721916199,1.0,0.12152089923620224,0.19573892652988434,0.12136752158403397,0.2338082194328308,0.27064403891563416,0.1645423322916031,0.1968630850315094,0.08549460768699646
