,who,were,the,super,bowl,50,sideline,announcers,?
the,0.3733934462070465,0.3906462490558624,1.0,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.2606579065322876,0.22297629714012146,0.22068053483963013
network,0.16999904811382294,0.14680062234401703,0.27187061309814453,0.1618313491344452,0.1329011172056198,-0.10369720309972763,0.36970055103302,0.2974681258201599,0.17853789031505585
's,0.05599616840481758,0.007088581565767527,-0.01540423184633255,0.09726737439632416,-0.02838491089642048,-0.01041578408330679,0.05034257844090462,-0.04014952853322029,-0.023395681753754616
lead,0.19455209374427795,0.12308089435100555,0.21995973587036133,0.13247919082641602,0.1691603809595108,-0.011630125343799591,0.26441270112991333,0.22115543484687805,0.14552436769008636
broadcast,0.18632595241069794,0.12331408262252808,0.2713715434074402,0.1449931412935257,0.18237876892089844,-0.01586120016872883,0.3839482367038727,0.4031621813774109,0.15760008990764618
team,0.22248858213424683,0.16634012758731842,0.22564226388931274,0.23339706659317017,0.20460736751556396,0.07221189886331558,0.31359896063804626,0.31432294845581055,0.11243411153554916
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.11210323870182037,0.17704741656780243,0.1826142966747284
jim,0.20676904916763306,0.19211339950561523,0.21709053218364716,0.14276659488677979,0.0972542092204094,-0.05183985456824303,0.32073962688446045,0.272442102432251,0.09886423498392105
nantz,0.2156517058610916,0.12962757050991058,0.1839083880186081,0.13554562628269196,0.15807414054870605,-0.09463199228048325,0.31243813037872314,0.29757916927337646,0.09058576822280884
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.22910010814666748,0.18540392816066742,0.20544172823429108
phil,0.22438369691371918,0.10754788666963577,0.1382283866405487,0.12924915552139282,0.17986120283603668,-0.0033568900544196367,0.29712483286857605,0.30591005086898804,0.14019250869750977
simms,0.21366964280605316,0.16691993176937103,0.24824075400829315,0.20765414834022522,0.25703784823417664,-0.03267424553632736,0.4095565676689148,0.30559042096138,0.133713960647583
called,0.3151143789291382,0.30364301800727844,0.489897221326828,0.23150385916233063,0.2441064715385437,0.12260814011096954,0.1902214139699936,0.20111612975597382,0.18963319063186646
the,0.3733934462070465,0.3906462490558624,1.0,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.2606579065322876,0.22297629714012146,0.22068053483963013
contest,0.22248178720474243,0.12298078089952469,0.25173527002334595,0.16601161658763885,0.20366907119750977,0.08154749870300293,0.21925531327724457,0.25058218836784363,0.18081821501255035
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.22783276438713074,0.20662996172904968,0.31091248989105225
with,0.3282766342163086,0.3179011940956116,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.08371289074420929,0.23826472461223602,0.19185903668403625,0.2433311939239502
tracy,0.17968818545341492,0.13108006119728088,0.2243674397468567,0.13884322345256805,0.1753399521112442,-0.07035528868436813,0.39506790041923523,0.26485514640808105,0.1499924659729004
wolfson,0.303815633058548,0.1656353920698166,0.2862018346786499,0.15199582278728485,0.15026314556598663,-0.06371618062257767,0.44533199071884155,0.39482229948043823,0.2640695571899414
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.22910010814666748,0.18540392816066742,0.20544172823429108
evan,0.2592737078666687,0.1736418902873993,0.16844803094863892,0.13580861687660217,0.14688833057880402,-0.03729528561234474,0.3404318392276764,0.28830257058143616,0.15305468440055847
washburn,0.2153020203113556,0.14942070841789246,0.2330774962902069,0.11922546476125717,0.1728300005197525,-0.040165118873119354,0.33696693181991577,0.22262053191661835,0.18174831569194794
on,0.2340552806854248,0.2774328887462616,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.2969872057437897,0.23270314931869507,0.2714994251728058
the,0.3733934462070465,0.3906462490558624,1.0,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.2606579065322876,0.22297629714012146,0.22068053483963013
sidelines,0.23730218410491943,0.1900274157524109,0.27194881439208984,0.2653641700744629,0.27716630697250366,0.018746130168437958,0.8816455602645874,0.425191193819046,0.29124948382377625
.,0.3541337847709656,0.3378238379955292,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.254624605178833,0.16620302200317383,0.4130953550338745
