,the,sand,bernardino,-,riverside,area,maintains,what,kind,of,district,?
the,1.0,0.23732955753803253,0.2722903788089752,0.3207225501537323,0.27102717757225037,0.37834644317626953,0.2744854986667633,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2690705955028534,0.22068053483963013
san,0.2858080565929413,0.21307599544525146,0.5765351057052612,0.17640797793865204,0.38028684258461,0.22260162234306335,0.10670089721679688,0.19375550746917725,0.0681106299161911,0.25237205624580383,0.18726517260074615,0.10952327400445938
bernardino-riverside,0.32106998562812805,0.2728939652442932,0.8775305151939392,0.2193378061056137,0.808486819267273,0.3118157982826233,0.2625933885574341,0.14221705496311188,0.16123758256435394,0.32303130626678467,0.23510685563087463,0.1442173719406128
area,0.37834644317626953,0.191450297832489,0.2726062834262848,0.14876410365104675,0.271809458732605,1.0,0.17512786388397217,0.21965408325195312,0.12041405588388443,0.3409860134124756,0.3625546097755432,0.12640461325645447
maintains,0.2744854986667633,0.10745418071746826,0.1769160032272339,0.12235066294670105,0.2749793231487274,0.17512786388397217,0.9999999403953552,0.17929726839065552,0.15427345037460327,0.2886165380477905,0.13131621479988098,0.13273680210113525
the,1.0,0.23732955753803253,0.2722903788089752,0.3207225501537323,0.27102717757225037,0.37834644317626953,0.2744854986667633,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2690705955028534,0.22068053483963013
business,0.2389037162065506,0.15209081768989563,0.18241633474826813,0.13753126561641693,0.257797509431839,0.24424728751182556,0.22201251983642578,0.21758167445659637,0.1333160102367401,0.23985227942466736,0.18776759505271912,0.1545659303665161
districts,0.233962744474411,0.11647146940231323,0.17501145601272583,0.20862391591072083,0.2580276131629944,0.36275556683540344,0.10955262929201126,0.16162313520908356,0.0722804144024849,0.2693168818950653,0.7729225754737854,0.10677915066480637
of,0.733189046382904,0.22869873046875,0.26093193888664246,0.2919245660305023,0.2871353030204773,0.3409860134124756,0.2886165380477905,0.33290785551071167,0.2285657674074173,1.0,0.2673880457878113,0.1826142966747284
downtown,0.2602716088294983,0.1567990928888321,0.2855835556983948,0.12868812680244446,0.4194495379924774,0.37015464901924133,0.18014657497406006,0.1348404437303543,0.10888472944498062,0.21455974876880646,0.40016987919807434,0.15638743340969086
san,0.2858080565929413,0.21307599544525146,0.5765351057052612,0.17640797793865204,0.38028684258461,0.22260162234306335,0.10670089721679688,0.19375550746917725,0.0681106299161911,0.25237205624580383,0.18726517260074615,0.10952327400445938
bernardino,0.2722903788089752,0.26232972741127014,1.0,0.2118971347808838,0.5291909575462341,0.2726062834262848,0.1769160032272339,0.09213948994874954,0.08998160064220428,0.26093193888664246,0.19070717692375183,0.11443846672773361
",",0.4933079481124878,0.3080637454986572,0.3134419322013855,0.42609795928001404,0.3184468746185303,0.2664283812046051,0.1875990927219391,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.25852543115615845,0.31091248989105225
hospitality,0.1877073347568512,0.16723717749118805,0.21446040272712708,0.10723907500505447,0.252824604511261,0.18590481579303741,0.24360015988349915,0.18768493831157684,0.16839028894901276,0.23605740070343018,0.20789267122745514,0.16437436640262604
business/financial,0.31136345863342285,0.17562024295330048,0.25458985567092896,0.20630976557731628,0.3116849958896637,0.2490968108177185,0.27426815032958984,0.22776144742965698,0.17115405201911926,0.2994024455547333,0.2461654543876648,0.16861788928508759
centre,0.32783594727516174,0.10381203144788742,0.1742520034313202,0.14202120900154114,0.2718966007232666,0.3305371105670929,0.23367927968502045,0.12324132025241852,0.1742275506258011,0.2769378423690796,0.22556638717651367,0.019365152344107628
