,changes,in,rainfall,reduced,what,kind,of,vegetation,cover,in,the,amazon,basin,?
analyses,0.26571422815322876,0.17754743993282318,0.17282582819461823,0.21039776504039764,0.2285933792591095,0.16566860675811768,0.21374760568141937,0.20459908246994019,0.13973715901374817,0.17754743993282318,0.23002441227436066,0.22053846716880798,0.24374189972877502,0.17589309811592102
of,0.25827232003211975,0.5696388483047485,0.2068331092596054,0.30275818705558777,0.33290785551071167,0.2285657674074173,1.0,0.2547335922718048,0.26416900753974915,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2557278275489807,0.1826142966747284
sediment,0.22218449413776398,0.2096979320049286,0.34905368089675903,0.19655071198940277,0.19542910158634186,0.19558940827846527,0.2534373998641968,0.4803769290447235,0.18348993360996246,0.2096979320049286,0.2451712042093277,0.24430792033672333,0.4551045596599579,0.14870919287204742
deposits,0.18853750824928284,0.23073440790176392,0.2702668607234955,0.2816069722175598,0.17664960026741028,0.17257125675678253,0.3096405267715454,0.4510347247123718,0.21623492240905762,0.23073440790176392,0.27324897050857544,0.20045168697834015,0.38898733258247375,0.1225230023264885
from,0.1855839341878891,0.4274188280105591,0.20882150530815125,0.21348319947719574,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.17893631756305695,0.19020850956439972,0.4274188280105591,0.40150508284568787,0.08236479759216309,0.19501222670078278,0.19969791173934937
amazon,0.06073456630110741,0.12227833271026611,0.26409438252449036,0.1122642531991005,0.16355936229228973,0.13268502056598663,0.20143137872219086,0.36174994707107544,0.21230551600456238,0.12227833271026611,0.260541707277298,1.0000001192092896,0.41143864393234253,0.18144656717777252
basin,0.1280021071434021,0.22316701710224152,0.40976372361183167,0.18622015416622162,0.1565224826335907,0.10017956793308258,0.2557278275489807,0.3512457311153412,0.16352319717407227,0.22316701710224152,0.24553915858268738,0.41143864393234253,1.0,0.14685653150081635
paleolakes,0.22192415595054626,0.2976265251636505,0.30521395802497864,0.18914784491062164,0.2805918753147125,0.1698237657546997,0.2788330912590027,0.4410531222820282,0.19073794782161713,0.2976265251636505,0.2863076329231262,0.27662381529808044,0.43828609585762024,0.18062393367290497
and,0.27557092905044556,0.4954058527946472,0.21498344838619232,0.266709566116333,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.30153927206993103,0.27793973684310913,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.20293349027633667,0.20544172823429108
from,0.1855839341878891,0.4274188280105591,0.20882150530815125,0.21348319947719574,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.17893631756305695,0.19020850956439972,0.4274188280105591,0.40150508284568787,0.08236479759216309,0.19501222670078278,0.19969791173934937
