,how,many,affiliates,carry,the,abc,network,feed,in,480i,standard,definition,?
however,0.45072782039642334,0.5381983518600464,0.17144209146499634,0.29621994495391846,0.49814513325691223,0.13561899960041046,0.19536364078521729,0.2835163176059723,0.3982149362564087,0.27967211604118347,0.2787518799304962,0.40020230412483215,0.2152075469493866
",",0.22659391164779663,0.40610817074775696,0.1943977326154709,0.1951419711112976,0.4933079481124878,0.2097204476594925,0.1932937651872635,0.22537048161029816,0.5201468467712402,0.2845563292503357,0.2593318521976471,0.24771931767463684,0.31091248989105225
most,0.311336874961853,0.6236066222190857,0.18195636570453644,0.22184832394123077,0.47635307908058167,0.12975531816482544,0.19864733517169952,0.2055826038122177,0.41416558623313904,0.21559277176856995,0.2708315849304199,0.22048233449459076,0.2107497900724411
of,0.2480744868516922,0.37253960967063904,0.1803562045097351,0.23692575097084045,0.733189046382904,0.14607268571853638,0.21800683438777924,0.13772912323474884,0.5696388483047485,0.1877402514219284,0.2296806275844574,0.24912455677986145,0.1826142966747284
hearst,0.17985348403453827,0.20495359599590302,0.23117658495903015,0.06931571662425995,0.28846439719200134,0.2835512161254883,0.2041705697774887,0.13260959088802338,0.25979939103126526,0.14872704446315765,0.13596473634243011,0.1265195906162262,0.15023791790008545
television,0.20427560806274414,0.23433995246887207,0.29212433099746704,0.16886550188064575,0.24569597840309143,0.46871840953826904,0.4371747076511383,0.1957387626171112,0.2689782977104187,0.09948205947875977,0.17441266775131226,0.169790580868721,0.16825827956199646
's,-0.026164190843701363,0.01698932610452175,0.0659567192196846,0.016908660531044006,-0.01540423184633255,0.06670809537172318,0.07819218933582306,0.07618222385644913,-0.037580832839012146,-0.0004509086429607123,-0.011532524600625038,-0.07552970945835114,-0.023395681753754616
16,0.028703972697257996,0.06954623758792877,0.1041685938835144,0.07860195636749268,0.0058518932200968266,0.043185193091630936,0.06239837035536766,0.07070141285657883,0.03388594090938568,0.04777992516756058,0.13266026973724365,0.0430496409535408,0.08446579426527023
abc-affiliated,0.0987238809466362,0.21412447094917297,0.8888251781463623,0.14896728098392487,0.2836194336414337,0.29616865515708923,0.411119282245636,0.2057938277721405,0.26901721954345703,0.08695715665817261,0.14036603271961212,0.16063247621059418,0.13518930971622467
stations,0.18198855221271515,0.2893238365650177,0.34138554334640503,0.2684228718280792,0.24762700498104095,0.23858611285686493,0.4009798467159271,0.16450469195842743,0.25864288210868835,0.1894269734621048,0.21769766509532928,0.15626554191112518,0.13192185759544373
