,which,nasa,orbiter,photographed,evidence,of,each,site,on,the,moon,that,a,manned,apollo,mission,landing,occurred,?
in,0.4840516746044159,0.15705716609954834,0.1622316837310791,0.23397350311279297,0.16157563030719757,0.5696388483047485,0.30816060304641724,0.20704983174800873,0.46853652596473694,0.6662389636039734,0.1284755915403366,0.435920387506485,0.539380669593811,0.1528020054101944,0.1461767554283142,0.2224319875240326,0.2088729292154312,0.3479720652103424,0.20430970191955566
2009,-0.23722223937511444,-0.20006024837493896,-0.21829670667648315,-0.11764366924762726,-0.22911876440048218,-0.2637706398963928,-0.20517770946025848,-0.19426043331623077,-0.13349726796150208,-0.23935742676258087,-0.07885242253541946,-0.29959365725517273,-0.24348297715187073,-0.18373075127601624,-0.10851902514696121,-0.1960335224866867,-0.21866808831691742,-0.22778987884521484,-0.2287932187318802
",",0.3658004403114319,0.18665438890457153,0.1914738565683365,0.19665037095546722,0.2751304507255554,0.4946078956127167,0.207483172416687,0.2036259025335312,0.49057599902153015,0.4933079481124878,0.18567080795764923,0.4137537479400635,0.427140474319458,0.1752677708864212,0.19808128476142883,0.21226151287555695,0.23283818364143372,0.28958946466445923,0.31091248989105225
nasa,0.1350456178188324,1.0000001192092896,0.5491774678230286,0.31225642561912537,0.1671007126569748,0.17935146391391754,0.07703179121017456,0.19461911916732788,0.18220403790473938,0.19786997139453888,0.47473642230033875,0.26653343439102173,0.19403119385242462,0.43264830112457275,0.4747956395149231,0.42549848556518555,0.3379216194152832,0.11137889325618744,0.1809994876384735
's,0.03856118768453598,-0.09383333474397659,0.018980437889695168,0.0001243581937160343,0.06192260608077049,-0.03817026689648628,0.021750088781118393,0.007863886654376984,0.0026888418942689896,-0.01540423184633255,0.0421946756541729,0.04397977516055107,0.04866964742541313,0.009618762880563736,-0.020172206684947014,-0.010545115917921066,0.0075084492564201355,-0.034319814294576645,-0.023395681753754616
robotic,0.29860660433769226,0.4264599084854126,0.5213160514831543,0.22817839682102203,0.1906149536371231,0.20139166712760925,0.1831808090209961,0.2038654386997223,0.20539040863513947,0.2123117744922638,0.3766057789325714,0.27201029658317566,0.26646751165390015,0.4768885374069214,0.3417331576347351,0.39649146795272827,0.3058372139930725,0.132005974650383,0.17695578932762146
lunar,0.19250813126564026,0.4626382291316986,0.5458646416664124,0.26635751128196716,0.1887086033821106,0.204553484916687,0.20090074837207794,0.09118924289941788,0.22814977169036865,0.23309995234012604,0.6080004572868347,0.24143245816230774,0.19755837321281433,0.47513729333877563,0.48109763860702515,0.3878321945667267,0.3707292675971985,0.22523705661296844,0.1628302037715912
reconnaissance,0.21282662451267242,0.382982075214386,0.4514404833316803,0.279358446598053,0.2804090678691864,0.18563030660152435,0.124326691031456,0.11718533933162689,0.21968181431293488,0.22339454293251038,0.237156480550766,0.1903461068868637,0.2408861219882965,0.47720545530319214,0.33478784561157227,0.38511601090431213,0.46730753779411316,0.20106007158756256,0.11687137186527252
orbiter,0.21558234095573425,0.5491774678230286,1.0,0.362800657749176,0.1670653074979782,0.13776440918445587,0.1589244157075882,0.1626918911933899,0.22910837829113007,0.20272286236286163,0.5502121448516846,0.2541990578174591,0.24114762246608734,0.533261775970459,0.4864785969257355,0.46402397751808167,0.4004185199737549,0.12280438840389252,0.16665500402450562
",",0.3658004403114319,0.18665438890457153,0.1914738565683365,0.19665037095546722,0.2751304507255554,0.4946078956127167,0.207483172416687,0.2036259025335312,0.49057599902153015,0.4933079481124878,0.18567080795764923,0.4137537479400635,0.427140474319458,0.1752677708864212,0.19808128476142883,0.21226151287555695,0.23283818364143372,0.28958946466445923,0.31091248989105225
while,0.38669952750205994,0.15404534339904785,0.21373558044433594,0.21579381823539734,0.24604210257530212,0.3366928696632385,0.31327176094055176,0.1610451191663742,0.44084006547927856,0.39804592728614807,0.19663068652153015,0.43523597717285156,0.3733035624027252,0.27921152114868164,0.2109583169221878,0.2118077576160431,0.362802654504776,0.22742286324501038,0.21076419949531555
orbiting,0.2824857532978058,0.4962622821331024,0.8175016641616821,0.31612491607666016,0.22894299030303955,0.2235465943813324,0.2597247064113617,0.14263157546520233,0.24213190376758575,0.22328095138072968,0.5978970527648926,0.32491570711135864,0.2524934411048889,0.4410606026649475,0.3825299143791199,0.38189661502838135,0.371629536151886,0.1621696799993515,0.1700509786605835
50,0.022181637585163116,-0.02033156342804432,0.047223277390003204,0.0036483313888311386,-0.025788383558392525,0.006577443331480026,0.07577235251665115,0.002187068108469248,0.05590687692165375,0.03602437674999237,0.06991565227508545,-0.014119508676230907,0.034183140844106674,0.045218270272016525,0.0814080610871315,0.010124965570867062,0.024764254689216614,0.009155861102044582,0.030512850731611252
kilometers,0.27728748321533203,0.22240793704986572,0.3244292140007019,0.1943773329257965,0.12825065851211548,0.26878124475479126,0.23060494661331177,0.15679706633090973,0.1553163081407547,0.3189322352409363,0.28611746430397034,0.20818889141082764,0.26029402017593384,0.2888982892036438,0.1882232427597046,0.25066524744033813,0.24027147889137268,0.20616935193538666,0.09704750031232834
(,0.2589828372001648,0.14891751110553741,0.1566658765077591,0.07201199233531952,0.16581296920776367,0.35032153129577637,0.17427405714988708,0.19636771082878113,0.28656116127967834,0.33289089798927307,0.15743975341320038,0.2264307141304016,0.3206180930137634,0.11873165518045425,0.14281296730041504,0.16283848881721497,0.13205468654632568,0.19396212697029114,0.40561532974243164
