,what,is,a,connection,identifier
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.29966840147972107,0.27676811814308167
packets,0.24571315944194794,0.19614604115486145,0.20445095002651215,0.29350587725639343,0.2575873136520386
include,0.1535889357328415,0.28863582015037537,0.18765322864055634,0.12493710219860077,0.15430407226085663
a,0.3320399522781372,0.658733606338501,1.0,0.29948776960372925,0.3140988349914551
connection,0.24457211792469025,0.2946256697177887,0.29948776960372925,1.0,0.34454357624053955
identifier,0.21534739434719086,0.29246026277542114,0.3140988349914551,0.34454357624053955,0.9999999403953552
rather,0.3923804461956024,0.2886356711387634,0.4061340093612671,0.2089148312807083,0.2565785348415375
than,0.29388150572776794,0.2839990258216858,0.3126874566078186,0.23261548578739166,0.2260974496603012
address,0.2695501744747162,0.17339114844799042,0.18317347764968872,0.37276557087898254,0.34431758522987366
information,0.35283446311950684,0.2520555853843689,0.2867805063724518,0.37243443727493286,0.3817760944366455
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.30564460158348083,0.19019196927547455
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.260875940322876,0.23126935958862305
negotiated,0.10894132405519485,0.11444543302059174,0.22143876552581787,0.30420225858688354,0.17805451154708862
between,0.2462156116962433,0.26809602975845337,0.29385313391685486,0.3640275001525879,0.13361909985542297
endpoints,0.2501014471054077,0.2640382945537567,0.29773327708244324,0.37075275182724,0.41193729639053345
so,0.539469838142395,0.3153412640094757,0.41474464535713196,0.2775033116340637,0.24755485355854034
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.33438950777053833,0.2940892279148102
they,0.4431931674480438,0.330102801322937,0.3528250455856323,0.25393053889274597,0.18388731777668
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.260875940322876,0.23126935958862305
delivered,0.15653006732463837,0.15442995727062225,0.2538176476955414,0.21500465273857117,0.21643227338790894
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.2436826080083847,0.1634390503168106
order,0.16634008288383484,0.19403748214244843,0.24138490855693817,0.11358258128166199,0.18655194342136383
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.30564460158348083,0.19019196927547455
with,0.2464839518070221,0.3250955045223236,0.3783375024795532,0.27898329496383667,0.20579466223716736
error,0.30197378993034363,0.2399674504995346,0.29154232144355774,0.2596434950828552,0.399495393037796
checking,0.3549598753452301,0.20780561864376068,0.270152747631073,0.23582889139652252,0.32892853021621704
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.24572813510894775,0.23205862939357758
