,which,company,had,a,commercial,aired,for,free,as,a,result,of,the,quickbooks,contest,?
quickbooks,0.3840883672237396,0.2871352434158325,0.2560007870197296,0.3290599584579468,0.28941214084625244,0.2540830969810486,0.33893218636512756,0.3495238125324249,0.3233180344104767,0.3290599584579468,0.2794966995716095,0.2620433568954468,0.31170687079429626,1.0,0.15614621341228485,0.33220136165618896
sponsored,0.22965051233768463,0.3296874463558197,0.16959363222122192,0.18844401836395264,0.28658050298690796,0.25455060601234436,0.26302003860473633,0.20167304575443268,0.2040465772151947,0.18844401836395264,0.11169568449258804,0.21318376064300537,0.2539086937904358,0.2490781843662262,0.24587011337280273,0.12262218445539474
a,0.56894451379776,0.22037413716316223,0.34897568821907043,1.0,0.2696971893310547,0.1767585724592209,0.44038116931915283,0.23877057433128357,0.39550232887268066,1.0,0.2767398953437805,0.5052502155303955,0.5829201340675354,0.3290599584579468,0.229091614484787,0.23916715383529663
``,0.05178012326359749,-0.11237407475709915,0.0518546998500824,0.07272057235240936,-0.07633309066295624,-0.037323497235774994,0.01270448137074709,-0.03257644176483154,0.03910288214683533,0.07272057235240936,0.13586843013763428,0.06780257821083069,0.029072100296616554,0.010585673153400421,0.04525066912174225,0.0685480609536171
small,0.42979657649993896,0.12259259819984436,0.2837340235710144,0.41262131929397583,0.21057932078838348,0.118197001516819,0.20376276969909668,0.2059100866317749,0.2644537687301636,0.41262131929397583,0.13341476023197174,0.353353351354599,0.39655908942222595,0.2805779278278351,0.1103823333978653,0.13914890587329865
business,0.2152334302663803,0.4683041572570801,0.2212827354669571,0.2670866549015045,0.3763678967952728,0.167976513504982,0.2736336290836334,0.16774776577949524,0.22870652377605438,0.2670866549015045,0.11663254350423813,0.23985227942466736,0.2389037162065506,0.30975770950317383,0.16115210950374603,0.1545659303665161
big,0.3132573664188385,0.1937519758939743,0.27328622341156006,0.29998910427093506,0.2387457937002182,0.1484070122241974,0.16949701309204102,0.15658064186573029,0.22419306635856628,0.29998910427093506,0.08594410121440887,0.2513701021671295,0.308749794960022,0.21180376410484314,0.1867656260728836,0.20497842133045197
game,0.23652023077011108,0.19029217958450317,0.18758456408977509,0.23211604356765747,0.20594170689582825,0.3074551820755005,0.2608485519886017,0.12691602110862732,0.18194591999053955,0.23211604356765747,0.16611161828041077,0.2298848181962967,0.285271555185318,0.31494608521461487,0.24918979406356812,0.1829071193933487
'',-0.03332270681858063,0.04412749409675598,0.024004416540265083,0.04890415817499161,-0.03676767647266388,-0.001198898651637137,-0.04479556903243065,-0.018491532653570175,0.006628023460507393,0.04890415817499161,0.030314194038510323,0.13035868108272552,0.041273195296525955,-0.014170819893479347,0.07599218189716339,0.018684765323996544
contest,0.18239639699459076,0.18119753897190094,0.17754459381103516,0.229091614484787,0.1535993218421936,0.23271557688713074,0.2538227438926697,0.15106257796287537,0.13527508080005646,0.229091614484787,0.15725934505462646,0.2265491932630539,0.25173527002334595,0.15614621341228485,1.0000001192092896,0.18081821501255035
