,what,was,the,first,doctor,who,show,that,tvontario,ran,?
tvontario,0.19549939036369324,0.3347352147102356,0.2780003249645233,0.23096863925457,0.20310617983341217,0.2034616470336914,0.1906670182943344,0.1665620505809784,1.0,0.19749736785888672,0.16048352420330048
picked,0.22830641269683838,0.26922017335891724,0.32128480076789856,0.2950030267238617,0.11820527911186218,0.3212279677391052,0.2397386133670807,0.3073001801967621,0.21586991846561432,0.2960873544216156,0.11181110143661499
up,0.28591108322143555,0.24070115387439728,0.38423117995262146,0.2506323456764221,0.15522944927215576,0.26056501269340515,0.27403897047042847,0.35427621006965637,0.20766928791999817,0.22253790497779846,0.1819818764925003
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.2820442318916321,0.3733934462070465,0.319829523563385,0.5473989248275757,0.2780003249645233,0.28357353806495667,0.22068053483963013
show,0.29653704166412354,0.20142383873462677,0.319829523563385,0.23758427798748016,0.2094513326883316,0.2095358669757843,0.9999999403953552,0.3486354649066925,0.1906670182943344,0.20358259975910187,0.2520138621330261
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.25567495822906494,0.2792111933231354,0.27595704793930054,0.435920387506485,0.2929712235927582,0.2376149296760559,0.20430970191955566
1976,0.1609642058610916,0.10813223570585251,0.05905425176024437,0.09694885462522507,0.16571776568889618,0.16651569306850433,0.1516992151737213,0.13972251117229462,0.06729067116975784,0.05537031963467598,0.08586528897285461
beginning,0.3351518511772156,0.35191401839256287,0.49622642993927,0.4832592010498047,0.14553077518939972,0.25200510025024414,0.24543830752372742,0.3866214156150818,0.22713597118854523,0.24538177251815796,0.19413669407367706
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.2691199779510498,0.17277967929840088,0.3282766342163086,0.3004990220069885,0.4154358208179474,0.24743889272212982,0.13531996309757233,0.2433311939239502
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.2820442318916321,0.3733934462070465,0.319829523563385,0.5473989248275757,0.2780003249645233,0.28357353806495667,0.22068053483963013
three,0.24888746440410614,0.2748996615409851,0.43452659249305725,0.35148099064826965,0.12298633903265,0.2491552233695984,0.22413067519664764,0.3407050371170044,0.25106966495513916,0.23409977555274963,0.20928427577018738
doctors,0.28694474697113037,0.1506645530462265,0.24499839544296265,0.16617467999458313,0.6945362687110901,0.34335678815841675,0.2387276291847229,0.30322057008743286,0.14139781892299652,0.12802188098430634,0.19305896759033203
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.21673844754695892,0.41279885172843933,0.3455478549003601,0.4731321930885315,0.27332356572151184,0.21890036761760712,0.20544172823429108
