,what,was,the,name,of,the,imperialistic,policy,in,china,?
[,0.010752761736512184,0.03263993561267853,0.07130392640829086,-0.009093504399061203,0.010817250236868858,0.07130392640829086,0.03988777473568916,0.0031166458502411842,0.12324675917625427,0.09012739360332489,0.011015460826456547
citation,0.26448965072631836,0.17611537873744965,0.2536581754684448,0.16835983097553253,0.22959956526756287,0.2536581754684448,0.2101113200187683,0.31218865513801575,0.22942641377449036,0.15002234280109406,0.3382055461406708
needed,0.3631289601325989,0.227164626121521,0.3064746856689453,0.10795030742883682,0.27215874195098877,0.3064746856689453,0.2111770510673523,0.27230221033096313,0.21117523312568665,0.17691776156425476,0.2863257825374603
],-0.03775298595428467,0.0001094614781322889,-0.04779602214694023,-0.02270379662513733,-0.035044461488723755,-0.04779602214694023,0.01016124989837408,-0.020343568176031113,-0.1088862195611,-0.04406052827835083,-0.0022520492784678936
although,0.24844598770141602,0.3711436688899994,0.3265823423862457,0.1581835001707077,0.3024747669696808,0.3265823423862457,0.2074282318353653,0.1784321367740631,0.28763338923454285,0.2004023790359497,0.15541206300258636
imperialist,0.13930729031562805,0.2916443645954132,0.2451922595500946,0.16379892826080322,0.23797295987606049,0.2451922595500946,0.8605360984802246,0.29262658953666687,0.18317626416683197,0.3066791892051697,0.11505735665559769
practices,0.30286267399787903,0.1725890040397644,0.24007414281368256,0.09752757102251053,0.25354546308517456,0.24007414281368256,0.3165506422519684,0.3685459494590759,0.204969584941864,0.22113637626171112,0.18974241614341736
have,0.39808809757232666,0.2863433063030243,0.40389683842658997,0.19985003769397736,0.3802283704280853,0.40389683842658997,0.22534702718257904,0.2642752230167389,0.36843645572662354,0.24882429838180542,0.32991164922714233
existed,0.27969107031822205,0.30961549282073975,0.32677435874938965,0.2418062388896942,0.2990404963493347,0.32677435874938965,0.2541537582874298,0.19637133181095123,0.2661771774291992,0.26962023973464966,0.17013543844223022
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.15795865654945374,0.2759707272052765,0.4322226941585541,0.15661011636257172,0.264628142118454
thousands,0.2399357110261917,0.12934128940105438,0.2934577763080597,0.11896537989377975,0.27601075172424316,0.2934577763080597,0.21952569484710693,0.19247198104858398,0.26048728823661804,0.2828291952610016,0.15520451962947845
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2847146987915039,0.24393197894096375,0.5696388483047485,0.27699828147888184,0.1826142966747284
years,0.1981470286846161,0.35855233669281006,0.2912273406982422,0.19448696076869965,0.2904134690761566,0.2912273406982422,0.1985190063714981,0.1760682612657547,0.33554986119270325,0.23277819156646729,0.1914375126361847
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.21712644398212433,0.2903050184249878,0.5201468467712402,0.27650898694992065,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2731722891330719,0.2358427494764328,0.6662389636039734,0.3110525608062744,0.22068053483963013
term,0.25282326340675354,0.21378034353256226,0.2740369141101837,0.2695404291152954,0.26047757267951965,0.2740369141101837,0.19460967183113098,0.30991584062576294,0.27866655588150024,0.14000430703163147,0.1901002675294876
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.1001104861497879,0.06780257821083069,0.029072100296616554,0.010330284014344215,0.06104245409369469,0.04765888676047325,0.09333697706460953,0.0685480609536171
