,what,is,the,mongolian,spelling,of,genghis,khan,?
genghis,0.24369274079799652,0.1866190880537033,0.3448939025402069,0.463535338640213,0.13183268904685974,0.2938849925994873,1.0,0.5896923542022705,0.18813461065292358
khan,0.16476042568683624,0.20103248953819275,0.21067845821380615,0.4463278353214264,0.1870950609445572,0.17124508321285248,0.5896923542022705,1.0,0.12862591445446014
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22636307775974274,0.2965300381183624,0.4946078956127167,0.2891939878463745,0.19700400531291962,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2657795250415802,0.23768942058086395,0.733189046382904,0.3448939025402069,0.21067845821380615,0.22068053483963013
title,0.205022931098938,0.17983698844909668,0.27465343475341797,0.08031237870454788,0.21445149183273315,0.18969319760799408,0.22426576912403107,0.22046531736850739,0.34551161527633667
is,0.28837618231773376,1.0,0.5823672413825989,0.20271806418895721,0.2441502958536148,0.4854315221309662,0.1866190880537033,0.20103248953819275,0.22961433231830597
spelled,0.15883488953113556,0.2914513647556305,0.2190741002559662,0.23638524115085602,0.6321458220481873,0.1807994693517685,0.2335480898618698,0.20567770302295685,0.13924984633922577
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1663515418767929,0.20722772181034088,0.5696388483047485,0.224680557847023,0.1527150720357895,0.20430970191955566
variety,0.20492127537727356,0.1789252758026123,0.22543764114379883,0.15167376399040222,0.15950214862823486,0.21034783124923706,0.11228947341442108,0.10550716519355774,0.13376861810684204
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.22608324885368347,0.19078011810779572,1.0,0.2938849925994873,0.17124508321285248,0.1826142966747284
ways,0.394069641828537,0.23305881023406982,0.25153350830078125,0.15894433856010437,0.26674702763557434,0.23171216249465942,0.14810916781425476,0.13512969017028809,0.2710120975971222
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1663515418767929,0.20722772181034088,0.5696388483047485,0.224680557847023,0.1527150720357895,0.20430970191955566
different,0.39262300729751587,0.24624870717525482,0.36412742733955383,0.2174803465604782,0.23259609937667847,0.3747533857822418,0.1348133683204651,0.1305457204580307,0.24476227164268494
languages,0.21771854162216187,0.2144571989774704,0.25516149401664734,0.2963545024394989,0.38881444931030273,0.2423715889453888,0.20897066593170166,0.1739206612110138,0.22599908709526062
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.1499062180519104,0.20603109896183014,0.3209529519081116,0.14482241868972778,0.14670294523239136,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.19792908430099487,0.2365707904100418,0.3886612355709076,0.17543354630470276,0.22500167787075043,0.27043893933296204
mongolian,0.15557456016540527,0.20271806418895721,0.2657795250415802,0.9999999403953552,0.22482731938362122,0.22608324885368347,0.463535338640213,0.4463278353214264,0.13122369349002838
chinggis,0.19829951226711273,0.28871068358421326,0.29476848244667053,0.35461482405662537,0.2556963562965393,0.27041229605674744,0.4531481862068176,0.31392401456832886,0.27154234051704407
khaan,0.15050910413265228,0.20492428541183472,0.20514367520809174,0.4884626865386963,0.19524605572223663,0.15008923411369324,0.5834661722183228,0.7512640953063965,0.09780357033014297
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22636307775974274,0.2965300381183624,0.4946078956127167,0.2891939878463745,0.19700400531291962,0.31091248989105225
english,0.25060737133026123,0.24613474309444427,0.23982001841068268,0.20514944195747375,0.3707138001918793,0.17198967933654785,0.20710451900959015,0.14020130038261414,0.23251567780971527
chinghiz,0.22755059599876404,0.23004840314388275,0.29402628540992737,0.4385716915130615,0.21186253428459167,0.2861708104610443,0.6437373757362366,0.5090888142585754,0.2852024435997009
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22636307775974274,0.2965300381183624,0.4946078956127167,0.2891939878463745,0.19700400531291962,0.31091248989105225
chinghis,0.2695312798023224,0.25918707251548767,0.35743099451065063,0.45969751477241516,0.20780503749847412,0.32063156366348267,0.7815756797790527,0.5381636023521423,0.2768298089504242
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22636307775974274,0.2965300381183624,0.4946078956127167,0.2891939878463745,0.19700400531291962,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22904802858829498,0.16009260714054108,0.5116966962814331,0.26551535725593567,0.22885166108608246,0.20544172823429108
chingiz,0.2153555303812027,0.22664225101470947,0.3282460570335388,0.3816026747226715,0.20260979235172272,0.2828841507434845,0.5060409903526306,0.43119266629219055,0.23973824083805084
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22636307775974274,0.2965300381183624,0.4946078956127167,0.2891939878463745,0.19700400531291962,0.31091248989105225
chinese,0.11643128097057343,0.1841094046831131,0.2785343527793884,0.4981498718261719,0.2152659147977829,0.24275560677051544,0.37333089113235474,0.2961319386959076,0.20843194425106049
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,0.01640564575791359,-0.006952310912311077,-0.08807745575904846,-0.06470442563295364,-0.01070716418325901,-0.07156077772378922
