,what,was,manning,'s,passer,rating,at,the,end,of,the,season,?
manning,0.20007498562335968,0.2607507109642029,0.9999998807907104,0.021839646622538567,0.36685898900032043,0.3009924292564392,0.2622990310192108,0.27058160305023193,0.2056039273738861,0.20024974644184113,0.27058160305023193,0.33529460430145264,0.15856626629829407
finished,0.2113480567932129,0.3428505063056946,0.2231869399547577,0.008866960182785988,0.17242439091205597,0.2376279979944229,0.3123586177825928,0.2754973769187927,0.28093042969703674,0.19935797154903412,0.2754973769187927,0.30780723690986633,0.14789283275604248
the,0.42745697498321533,0.48711544275283813,0.27058160305023193,-0.01540423184633255,0.2630290985107422,0.24654440581798553,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.2507155239582062,0.22068053483963013
year,0.15184831619262695,0.3209837079048157,0.2521476149559021,-0.04087831452488899,0.13037538528442383,0.19003897905349731,0.3146436810493469,0.3609684407711029,0.3135334253311157,0.2578314542770386,0.3609684407711029,0.3561827838420868,0.18315006792545319
with,0.2464839518070221,0.27411898970603943,0.18539859354496002,-0.04624466598033905,0.15256080031394958,0.19669030606746674,0.29126521944999695,0.4223487675189972,0.23444485664367676,0.41827285289764404,0.4223487675189972,0.26700887084007263,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.2509649395942688,0.04866964742541313,0.26529693603515625,0.2611633539199829,0.3095070421695709,0.5829201340675354,0.28924596309661865,0.5052502155303955,0.5829201340675354,0.1855505406856537,0.23916715383529663
career-low,0.1360963135957718,0.3346470892429352,0.39836275577545166,0.004731756169348955,0.21728135645389557,0.32565706968307495,0.2912234961986542,0.21368016302585602,0.18413715064525604,0.2145143449306488,0.21368016302585602,0.3512099087238312,0.15329208970069885
67.9,0.07309284061193466,0.2790275514125824,0.31852784752845764,0.014591431245207787,0.2346932739019394,0.11260618269443512,0.20284786820411682,0.2065390944480896,0.17369626462459564,0.1337622106075287,0.2065390944480896,0.15665824711322784,0.07895093411207199
passer,0.15117526054382324,0.1708153933286667,0.36685898900032043,0.045714449137449265,1.0,0.3141902685165405,0.15612486004829407,0.2630290985107422,0.17523400485515594,0.20698390901088715,0.2630290985107422,0.2606119215488434,0.15625450015068054
rating,0.20312486588954926,0.22355882823467255,0.3009924292564392,0.06594817340373993,0.3141902685165405,1.0000001192092896,0.17404744029045105,0.24654440581798553,0.2028619796037674,0.20229244232177734,0.24654440581798553,0.31314903497695923,0.18754872679710388
",",0.3087472915649414,0.45456063747406006,0.30921146273612976,-0.0016132977325469255,0.23041673004627228,0.2322022169828415,0.38314947485923767,0.4933079481124878,0.25448864698410034,0.4946078956127167,0.4933079481124878,0.2232367992401123,0.31091248989105225
throwing,0.19878846406936646,0.19002126157283783,0.3527540862560272,0.050111886113882065,0.24170824885368347,0.26065024733543396,0.20833522081375122,0.2748998701572418,0.23281560838222504,0.25472119450569153,0.2748998701572418,0.14558328688144684,0.15241092443466187
for,0.3017193675041199,0.3863949179649353,0.33057859539985657,-0.07241261005401611,0.16886559128761292,0.26534613966941833,0.34237727522850037,0.4739971458911896,0.22042374312877655,0.4185989499092102,0.4739971458911896,0.24490800499916077,0.264628142118454
"2,249",0.19346028566360474,0.17390935122966766,0.029534146189689636,-0.028861666098237038,0.042042527347803116,-0.07130713015794754,0.011544585227966309,0.06310079246759415,0.03697057440876961,0.10006174445152283,0.06310079246759415,-0.0024333468172699213,0.018604634329676628
yards,0.1304803043603897,0.1823360025882721,0.5283294916152954,0.0408332459628582,0.4222199618816376,0.2996661067008972,0.1900969296693802,0.16070343554019928,0.24791282415390015,0.14466260373592377,0.16070343554019928,0.3280850648880005,0.12453813850879669
and,0.31309178471565247,0.3740963041782379,0.2638654112815857,0.06895173341035843,0.20604027807712555,0.19924680888652802,0.3571503460407257,0.5171257257461548,0.24708716571331024,0.5116966962814331,0.5171257257461548,0.2369309365749359,0.20544172823429108
nine,0.11931172013282776,0.2782309651374817,0.2181665301322937,0.011213268153369427,0.21552196145057678,0.19047234952449799,0.28535738587379456,0.33253175020217896,0.18614552915096283,0.29486238956451416,0.33253175020217896,0.23210260272026062,0.13964155316352844
touchdowns,0.15067923069000244,0.2174215018749237,0.5383488535881042,0.06078888103365898,0.4908857047557831,0.39720848202705383,0.22556564211845398,0.20508192479610443,0.3135312497615814,0.18799830973148346,0.20508192479610443,0.4151381552219391,0.1509619653224945
",",0.3087472915649414,0.45456063747406006,0.30921146273612976,-0.0016132977325469255,0.23041673004627228,0.2322022169828415,0.38314947485923767,0.4933079481124878,0.25448864698410034,0.4946078956127167,0.4933079481124878,0.2232367992401123,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.18539859354496002,-0.04624466598033905,0.15256080031394958,0.19669030606746674,0.29126521944999695,0.4223487675189972,0.23444485664367676,0.41827285289764404,0.4223487675189972,0.26700887084007263,0.2433311939239502
17,0.1129629984498024,0.06704052537679672,0.02101394347846508,-0.00850291270762682,0.04645882174372673,0.1306629627943039,0.12009375542402267,0.10537172853946686,0.10555554181337357,0.12138522416353226,0.10537172853946686,0.16613055765628815,0.17603135108947754
interceptions,0.1888427734375,0.1664523184299469,0.47789567708969116,-0.01916782185435295,0.39980578422546387,0.34637343883514404,0.2007206529378891,0.22331646084785461,0.3119966387748718,0.1719072461128235,0.22331646084785461,0.35161852836608887,0.10945115238428116
.,0.3567904531955719,0.40146201848983765,0.2937074899673462,-0.003708066651597619,0.20697903633117676,0.2531067430973053,0.4549728035926819,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.5934505462646484,0.24674734473228455,0.4130953550338745
