,where,is,brazil,ranked,globally,in,soybean,production,?
currently,0.31739169359207153,0.4011616110801697,0.15478110313415527,0.1843443661928177,0.36642172932624817,0.30261120200157166,0.14015333354473114,0.17013779282569885,0.1861555278301239
",",0.3149496018886566,0.4691906273365021,0.2456517517566681,0.21935869753360748,0.2529398500919342,0.5201468467712402,0.3570224940776825,0.24176549911499023,0.31091248989105225
brazil,0.21716062724590302,0.18130899965763092,1.0000001192092896,0.1746208667755127,0.2026890367269516,0.23529648780822754,0.2632555663585663,0.16670238971710205,0.14306876063346863
is,0.3586711287498474,1.0,0.18130899965763092,0.180992990732193,0.2556811273097992,0.5394441485404968,0.2893213629722595,0.19756923615932465,0.22961433231830597
the,0.5003893971443176,0.5823672413825989,0.21643289923667908,0.2711145281791687,0.23835816979408264,0.6662389636039734,0.2597731053829193,0.2657334506511688,0.22068053483963013
second-largest,0.2918745279312134,0.38976678252220154,0.30866461992263794,0.29968953132629395,0.31536927819252014,0.38131603598594666,0.27334484457969666,0.24719494581222534,0.2571491003036499
global,0.12516064941883087,0.15464714169502258,0.1394408643245697,0.23258668184280396,0.7556216716766357,0.10151144117116928,0.2208384871482849,0.23192520439624786,0.22985349595546722
producer,0.1923428773880005,0.2122708410024643,0.1572331041097641,0.14140844345092773,0.1858527511358261,0.1708001047372818,0.29851412773132324,0.5392994284629822,0.17015865445137024
of,0.38066378235816956,0.4854315221309662,0.2030242383480072,0.276383638381958,0.21430270373821259,0.5696388483047485,0.2785634994506836,0.1928233802318573,0.1826142966747284
soybeans,0.20156462490558624,0.2644876539707184,0.28727489709854126,0.12210079282522202,0.22372257709503174,0.25745224952697754,0.9332901835441589,0.3509158194065094,0.2051970660686493
after,0.31753596663475037,0.2835143506526947,0.19660168886184692,0.1363501250743866,0.17474737763404846,0.44050168991088867,0.1576245129108429,0.11019621044397354,0.16608688235282898
the,0.5003893971443176,0.5823672413825989,0.21643289923667908,0.2711145281791687,0.23835816979408264,0.6662389636039734,0.2597731053829193,0.2657334506511688,0.22068053483963013
united,0.23721055686473846,0.22408509254455566,0.29343539476394653,0.2151578664779663,0.22333380579948425,0.3938477039337158,0.23249872028827667,0.156047523021698,0.17266890406608582
states,0.24649012088775635,0.21939043700695038,0.31637272238731384,0.21335366368293762,0.2142922282218933,0.3977442979812622,0.22250378131866455,0.14257937669754028,0.16272737085819244
.,0.41390106081962585,0.4569662809371948,0.26984333992004395,0.21607504785060883,0.31051740050315857,0.5591574311256409,0.3095836341381073,0.22297915816307068,0.4130953550338745
