,what,does,ctenophora,rely,on,for,digestion,and,respiration,?
some,0.4491020441055298,0.39611563086509705,0.28959670662879944,0.3788568079471588,0.31474894285202026,0.4257155656814575,0.2704790532588959,0.5337774157524109,0.27310729026794434,0.2562315762042999
authors,0.20440030097961426,0.17965446412563324,0.2608822286128998,0.15980404615402222,0.11962307244539261,0.21385852992534637,0.12625041604042053,0.2311880737543106,0.175540030002594,0.19121912121772766
combined,0.21267308294773102,0.15144607424736023,0.08285342901945114,0.16511289775371552,0.1816592961549759,0.2505188286304474,0.14424185454845428,0.3240981996059418,0.17564760148525238,0.17985320091247559
ctenophores,0.2505159080028534,0.2655069828033447,0.8903113007545471,0.35463976860046387,0.1922261118888855,0.1783297061920166,0.42528364062309265,0.20973104238510132,0.49049216508865356,0.2054179310798645
and,0.31309178471565247,0.3461615741252899,0.15281255543231964,0.31047725677490234,0.4077630043029785,0.5064792633056641,0.21578355133533478,1.0,0.28929564356803894,0.20544172823429108
cnidarians,0.2743885815143585,0.2703033983707428,0.67646324634552,0.3305301368236542,0.12619292736053467,0.19704388082027435,0.42041197419166565,0.27171704173088074,0.4568323493003845,0.18796975910663605
in,0.30808621644973755,0.214483380317688,0.1502838283777237,0.22665752470493317,0.46853652596473694,0.4322226941585541,0.2159620076417923,0.4954058527946472,0.25548887252807617,0.20430970191955566
one,0.376489520072937,0.2924913763999939,0.17204400897026062,0.182050421833992,0.3601475656032562,0.384836345911026,0.16846391558647156,0.42438167333602905,0.2264035940170288,0.2673267424106598
phylum,0.20018324255943298,0.14277660846710205,0.6852492094039917,0.23240475356578827,0.19095489382743835,0.1227041557431221,0.3443475663661957,0.1842351108789444,0.34751489758491516,0.18758688867092133
",",0.3087472915649414,0.28617382049560547,0.20480060577392578,0.253036767244339,0.49057599902153015,0.4464869201183319,0.20848089456558228,0.6633074283599854,0.2987004220485687,0.31091248989105225
coelenterata,0.23231874406337738,0.09410110861063004,0.4335145950317383,0.17140351235866547,0.19131064414978027,0.1290278434753418,0.22783756256103516,0.27687811851501465,0.260837197303772,0.1954084038734436
",",0.3087472915649414,0.28617382049560547,0.20480060577392578,0.253036767244339,0.49057599902153015,0.4464869201183319,0.20848089456558228,0.6633074283599854,0.2987004220485687,0.31091248989105225
as,0.31749409437179565,0.31202155351638794,0.2036411315202713,0.2865440845489502,0.36047765612602234,0.44774648547172546,0.16161593794822693,0.49487000703811646,0.1984001100063324,0.27043893933296204
both,0.3361809551715851,0.3216230869293213,0.16509559750556946,0.3449379801750183,0.3685423731803894,0.3887220323085785,0.1798522174358368,0.5503310561180115,0.23312699794769287,0.19455738365650177
groups,0.23137421905994415,0.1172703430056572,0.28752627968788147,0.20749245584011078,0.14260469377040863,0.21627482771873474,0.16362522542476654,0.29783302545547485,0.23243582248687744,0.14349548518657684
rely,0.3573313355445862,0.3773644268512726,0.2600458264350891,1.0,0.3302572965621948,0.26649168133735657,0.2935290038585663,0.31047725677490234,0.359042227268219,0.17513008415699005
on,0.34226128458976746,0.2568802833557129,0.13134071230888367,0.3302572965621948,0.9999999403953552,0.36199691891670227,0.13711094856262207,0.4077630043029785,0.19081667065620422,0.2714994251728058
water,0.17456887662410736,0.29202038049697876,0.22250744700431824,0.22118262946605682,0.18117135763168335,0.189085453748703,0.4472692906856537,0.3054247498512268,0.3908284604549408,0.14731885492801666
flow,0.1798735409975052,0.21734505891799927,0.13497792184352875,0.2117908000946045,0.1995432823896408,0.1708725541830063,0.35995927453041077,0.2773895561695099,0.37196800112724304,0.10458291321992874
through,0.23167094588279724,0.21495459973812103,0.11046981066465378,0.22574687004089355,0.32785001397132874,0.3172857463359833,0.28387778997421265,0.3666759729385376,0.30047476291656494,0.16913433372974396
the,0.42745697498321533,0.35928019881248474,0.2430446892976761,0.2672518789768219,0.5107308030128479,0.4739971458911896,0.2656582295894623,0.5171257257461548,0.29438328742980957,0.22068053483963013
body,0.2143840193748474,0.27194929122924805,0.25287044048309326,0.2273135483264923,0.20112086832523346,0.16740016639232635,0.4533102214336395,0.2872275710105896,0.38817018270492554,0.20136451721191406
cavity,0.21633920073509216,0.1917799860239029,0.447710782289505,0.23226523399353027,0.23063874244689941,0.12206562608480453,0.5245429873466492,0.2212170660495758,0.5243003964424133,0.16966374218463898
for,0.3017193675041199,0.35159170627593994,0.12714889645576477,0.26649168133735657,0.36199691891670227,0.9999999403953552,0.20296449959278107,0.5064792633056641,0.27999183535575867,0.264628142118454
both,0.3361809551715851,0.3216230869293213,0.16509559750556946,0.3449379801750183,0.3685423731803894,0.3887220323085785,0.1798522174358368,0.5503310561180115,0.23312699794769287,0.19455738365650177
digestion,0.24306969344615936,0.2267954796552658,0.33940428495407104,0.2935290038585663,0.13711094856262207,0.20296449959278107,1.0,0.21578355133533478,0.5985310673713684,0.25064295530319214
and,0.31309178471565247,0.3461615741252899,0.15281255543231964,0.31047725677490234,0.4077630043029785,0.5064792633056641,0.21578355133533478,1.0,0.28929564356803894,0.20544172823429108
respiration,0.23671798408031464,0.2966677248477936,0.3641180992126465,0.359042227268219,0.19081667065620422,0.27999183535575867,0.5985310673713684,0.28929564356803894,1.0,0.17575538158416748
.,0.3567904531955719,0.3022993505001068,0.24174925684928894,0.2332485467195511,0.49257001280784607,0.4726039469242096,0.20435857772827148,0.588965117931366,0.294679194688797,0.4130953550338745
,what,does,ctenophora,rely,on,for,digestion,and,respiration,?
ctenophora,0.18695785105228424,0.19055584073066711,0.9999998807907104,0.2600458264350891,0.13134071230888367,0.12714889645576477,0.33940428495407104,0.15281255543231964,0.3641180992126465,0.20862777531147003
(,0.2411840260028839,0.2728188931941986,0.21480697393417358,0.11695218086242676,0.28656116127967834,0.3357032239437103,0.1588435024023056,0.4862271547317505,0.27504444122314453,0.40561532974243164
/tᵻˈnɒfərə/,0.35629022121429443,0.2804967761039734,0.18542838096618652,0.2340642213821411,0.19185033440589905,0.21821069717407227,0.2117397040128708,0.07233238220214844,0.2199018895626068,0.48267874121665955
;,0.10986888408660889,0.0650511160492897,0.06274223327636719,0.100957490503788,-0.017878999933600426,0.0293948445469141,0.01346537284553051,0.08403264731168747,-0.019361481070518494,0.10349778085947037
singular,0.2832280993461609,0.20445044338703156,0.33299607038497925,0.2515168786048889,0.15126048028469086,0.16751205921173096,0.1833195835351944,0.22026881575584412,0.24531538784503937,0.17302146553993225
ctenophore,0.2381439507007599,0.2509111762046814,0.9053757190704346,0.32970815896987915,0.1895429939031601,0.1643882542848587,0.4281270503997803,0.19002923369407654,0.47830313444137573,0.2190871685743332
",",0.3087472915649414,0.28617382049560547,0.20480060577392578,0.253036767244339,0.49057599902153015,0.4464869201183319,0.20848089456558228,0.6633074283599854,0.2987004220485687,0.31091248989105225
/ˈtɛnəfɔːr/,0.3494894206523895,0.2342582643032074,0.28528541326522827,0.21440932154655457,0.2565189599990845,0.27364808320999146,0.21021594107151031,0.21478696167469025,0.2279033660888672,0.42447856068611145
or,0.33867141604423523,0.4248845875263214,0.25133922696113586,0.3490099310874939,0.2897229492664337,0.4111599624156952,0.31920886039733887,0.4713204801082611,0.26580530405044556,0.32389625906944275
/ˈtiːnəfɔːr/,0.20264077186584473,0.16983160376548767,0.2594183683395386,0.16362982988357544,0.19022904336452484,0.2169339656829834,0.1520935446023941,0.18807458877563477,0.204389750957489,0.36497023701667786
;,0.10986888408660889,0.0650511160492897,0.06274223327636719,0.100957490503788,-0.017878999933600426,0.0293948445469141,0.01346537284553051,0.08403264731168747,-0.019361481070518494,0.10349778085947037
from,0.2737620174884796,0.1777622550725937,0.1317715346813202,0.1892593652009964,0.36926645040512085,0.314039945602417,0.1801391988992691,0.3601827025413513,0.2900363802909851,0.19969791173934937
the,0.42745697498321533,0.35928019881248474,0.2430446892976761,0.2672518789768219,0.5107308030128479,0.4739971458911896,0.2656582295894623,0.5171257257461548,0.29438328742980957,0.22068053483963013
greek,0.14808377623558044,0.18199464678764343,0.3522953689098358,0.17570683360099792,0.12755481898784637,0.16074992716312408,0.11246151477098465,0.23151937127113342,0.1541173756122589,0.11180876195430756
κτείς,0.06631826609373093,0.058049529790878296,0.31681951880455017,0.15539798140525818,0.04194927588105202,-0.01657268963754177,0.1372496634721756,0.06317103654146194,0.16692043840885162,0.126088947057724
kteis,0.1854114830493927,0.13780780136585236,0.36820921301841736,0.15015269815921783,0.14073167741298676,0.2619261145591736,0.24201533198356628,0.2427041232585907,0.25590434670448303,0.18047234416007996
'comb,0.16483081877231598,0.16028617322444916,0.3583008348941803,0.1816648691892624,0.20782124996185303,0.224622443318367,0.2583759129047394,0.2647128999233246,0.2666807174682617,0.26840975880622864
',0.3245812654495239,0.2684852182865143,0.1898500919342041,0.16069385409355164,0.30823177099227905,0.31184524297714233,0.1480570137500763,0.3053182065486908,0.17497946321964264,0.330942302942276
and,0.31309178471565247,0.3461615741252899,0.15281255543231964,0.31047725677490234,0.4077630043029785,0.5064792633056641,0.21578355133533478,1.0,0.28929564356803894,0.20544172823429108
φέρω,0.1167222186923027,0.12460748106241226,0.1209045946598053,0.13248178362846375,0.07296095788478851,0.04351772740483284,0.3174177408218384,0.028759466484189034,0.35359102487564087,0.13099947571754456
pherō,0.2107440084218979,0.1353018879890442,0.36986106634140015,0.22163502871990204,0.11085617542266846,0.17354059219360352,0.3518466055393219,0.23243200778961182,0.3131835460662842,0.17430178821086884
'carry,0.307821124792099,0.19977885484695435,0.236845925450325,0.33335641026496887,0.2674517035484314,0.2902635335922241,0.33729156851768494,0.27706965804100037,0.2760351598262787,0.21061457693576813
',0.3245812654495239,0.2684852182865143,0.1898500919342041,0.16069385409355164,0.30823177099227905,0.31184524297714233,0.1480570137500763,0.3053182065486908,0.17497946321964264,0.330942302942276
