,was,the,plan,formalized,?
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
goal,0.18331198394298553,0.2443244755268097,0.3096490502357483,0.1389496624469757,0.1964566856622696
of,0.4069072902202606,0.733189046382904,0.2742128372192383,0.27441856265068054,0.1826142966747284
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
congress,0.23910820484161377,0.27082565426826477,0.2513138949871063,0.2460537850856781,0.2020287960767746
was,1.0000001192092896,0.48711544275283813,0.2407723069190979,0.22027094662189484,0.18412111699581146
to,0.3636345863342285,0.535392165184021,0.36421895027160645,0.18935082852840424,0.29463258385658264
formalize,0.13850992918014526,0.2161218225955963,0.21540778875350952,0.8908205032348633,0.30947166681289673
a,0.4508470594882965,0.5829201340675354,0.27156999707221985,0.25815850496292114,0.23916715383529663
unified,0.19592061638832092,0.29028576612472534,0.12290310859680176,0.3644326627254486,0.21746130287647247
front,0.2506336569786072,0.3733479380607605,0.2155878096818924,0.1517609804868698,0.16351862251758575
in,0.45514053106307983,0.6662389636039734,0.23924663662910461,0.21519514918327332,0.20430970191955566
trade,0.19989590346813202,0.2681608200073242,0.17425930500030518,0.11605730652809143,0.09336511790752411
and,0.3740963041782379,0.5171257257461548,0.26844465732574463,0.18961863219738007,0.20544172823429108
negotiations,0.24871394038200378,0.28858432173728943,0.31289076805114746,0.3256067931652069,0.12190581113100052
with,0.27411898970603943,0.4223487675189972,0.2686347961425781,0.2176062911748886,0.2433311939239502
various,0.14120686054229736,0.3235042691230774,0.09942889958620071,0.15557743608951569,0.12823495268821716
indians,0.207571879029274,0.26152291893959045,0.1244000568985939,0.11945226043462753,0.13372346758842468
",",0.45456063747406006,0.4933079481124878,0.21265573799610138,0.24557554721832275,0.31091248989105225
since,0.4384658932685852,0.4054957628250122,0.19131919741630554,0.23817963898181915,0.2876587212085724
allegiance,0.22959114611148834,0.26782822608947754,0.17257486283779144,0.27144837379455566,0.10591092705726624
of,0.4069072902202606,0.733189046382904,0.2742128372192383,0.27441856265068054,0.1826142966747284
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
various,0.14120686054229736,0.3235042691230774,0.09942889958620071,0.15557743608951569,0.12823495268821716
tribes,0.16813719272613525,0.26830655336380005,0.18031074106693268,0.06723242998123169,0.08824794739484787
and,0.3740963041782379,0.5171257257461548,0.26844465732574463,0.18961863219738007,0.20544172823429108
nations,0.2097785323858261,0.3506215214729309,0.29147467017173767,0.29445838928222656,0.20999202132225037
was,1.0000001192092896,0.48711544275283813,0.2407723069190979,0.22027094662189484,0.18412111699581146
seen,0.2286430299282074,0.3442007005214691,0.21865858137607574,0.1685190349817276,0.2567344307899475
to,0.3636345863342285,0.535392165184021,0.36421895027160645,0.18935082852840424,0.29463258385658264
be,0.42228707671165466,0.4248143136501312,0.2215609848499298,0.25826334953308105,0.3324260413646698
pivotal,0.3064550459384918,0.4188881814479828,0.2354995757341385,0.27904847264289856,0.21733060479164124
in,0.45514053106307983,0.6662389636039734,0.23924663662910461,0.21519514918327332,0.20430970191955566
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
success,0.315643846988678,0.2764457166194916,0.21978312730789185,0.22585344314575195,0.1216118186712265
in,0.45514053106307983,0.6662389636039734,0.23924663662910461,0.21519514918327332,0.20430970191955566
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
war,0.3560331463813782,0.366199791431427,0.23922358453273773,0.17171256244182587,0.15510529279708862
that,0.33670201897621155,0.5473989248275757,0.3379872739315033,0.2866111695766449,0.32716336846351624
was,1.0000001192092896,0.48711544275283813,0.2407723069190979,0.22027094662189484,0.18412111699581146
unfolding,0.09634106606245041,0.3335391581058502,0.21383310854434967,0.2464771419763565,0.22529473900794983
.,0.40146201848983765,0.5934505462646484,0.2966235876083374,0.22641083598136902,0.4130953550338745
,was,the,plan,formalized,?
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
plan,0.2407723069190979,0.2852855324745178,1.0,0.14671140909194946,0.1961054503917694
that,0.33670201897621155,0.5473989248275757,0.3379872739315033,0.2866111695766449,0.32716336846351624
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
delegates,0.20096491277217865,0.2935996651649475,0.25109103322029114,0.24069271981716156,0.1611657589673996
agreed,0.2848299443721771,0.24722334742546082,0.3781561553478241,0.26533210277557373,0.21258382499217987
to,0.3636345863342285,0.535392165184021,0.36421895027160645,0.18935082852840424,0.29463258385658264
was,1.0000001192092896,0.48711544275283813,0.2407723069190979,0.22027094662189484,0.18412111699581146
never,0.3237079679965973,0.31617826223373413,0.24185816943645477,0.21593788266181946,0.24137508869171143
ratified,0.2627803683280945,0.26963359117507935,0.23497559130191803,0.36661645770072937,0.22803910076618195
by,0.4752357602119446,0.4408751428127289,0.22663648426532745,0.23466525971889496,0.17966607213020325
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
colonial,0.2549057900905609,0.2715741693973541,0.12473626434803009,0.21733054518699646,0.10191229730844498
legislatures,0.20349405705928802,0.2944587469100952,0.2799767255783081,0.2995608448982239,0.1994066834449768
nor,0.17663569748401642,0.26533758640289307,0.18581537902355194,0.15419802069664001,0.2602383494377136
approved,0.27298814058303833,0.30207422375679016,0.31602561473846436,0.34343019127845764,0.25914356112480164
of,0.4069072902202606,0.733189046382904,0.2742128372192383,0.27441856265068054,0.1826142966747284
by,0.4752357602119446,0.4408751428127289,0.22663648426532745,0.23466525971889496,0.17966607213020325
the,0.48711544275283813,1.0,0.2852855324745178,0.22446724772453308,0.22068053483963013
crown,0.2366449236869812,0.2646690607070923,0.11721591651439667,0.25742748379707336,0.09979621320962906
.,0.40146201848983765,0.5934505462646484,0.2966235876083374,0.22641083598136902,0.4130953550338745
