,when,was,the,university,of,chicago,established,?
the,0.5091903209686279,0.48711544275283813,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.33092597126960754,0.22068053483963013
university,0.20851898193359375,0.290752112865448,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.1973452866077423,0.11887256056070328
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.22739723324775696,0.31091248989105225
established,0.18169470131397247,0.26515325903892517,0.33092597126960754,0.1973452866077423,0.2735237777233124,0.14742928743362427,0.9999998807907104,0.15917523205280304
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.3118882477283478,0.20430970191955566
1890,-0.004543560557067394,0.04199131578207016,-0.08158351480960846,0.0057269916869699955,-0.06748127192258835,-0.06956356763839722,-0.04481646418571472,-0.0038504337426275015
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.22739723324775696,0.31091248989105225
consists,0.15043675899505615,0.2100973278284073,0.3362659811973572,0.09258638322353363,0.41510096192359924,0.125950425863266,0.22174827754497528,-0.004641483072191477
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.2735237777233124,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.33092597126960754,0.22068053483963013
college,0.1806776076555252,0.275774210691452,0.19751401245594025,0.6649739742279053,0.2384195327758789,0.24562261998653412,0.17657320201396942,0.11076676845550537
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.22739723324775696,0.31091248989105225
various,0.26877567172050476,0.14120686054229736,0.3235042691230774,0.1695423722267151,0.3196488320827484,0.16413076221942902,0.18851257860660553,0.12823495268821716
graduate,0.14059537649154663,0.2125101238489151,0.1983441710472107,0.6244588494300842,0.21445734798908234,0.21318599581718445,0.20773924887180328,0.13230688869953156
programs,0.19495362043380737,0.16294841468334198,0.21757709980010986,0.2189866155385971,0.18037469685077667,0.1607058346271515,0.15406782925128937,0.16452431678771973
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.22739723324775696,0.31091248989105225
interdisciplinary,0.10680186748504639,0.2379404604434967,0.24281644821166992,0.36744365096092224,0.30937063694000244,0.2306412160396576,0.2733008861541748,0.1012609675526619
committees,0.20411022007465363,0.21733227372169495,0.2924276292324066,0.2537213861942291,0.34709328413009644,0.1929214745759964,0.27687346935272217,0.1382787674665451
organized,0.23754192888736725,0.2777135372161865,0.28001853823661804,0.13895638287067413,0.2566941976547241,0.21924413740634918,0.3710842728614807,0.10524328798055649
into,0.389646977186203,0.2322220653295517,0.39493247866630554,0.12447744607925415,0.32255905866622925,0.07546477019786835,0.21378342807292938,0.15662476420402527
four,0.2677527964115143,0.2866098880767822,0.40344667434692383,0.22242772579193115,0.36293646693229675,0.20796282589435577,0.1340973824262619,0.14532537758350372
academic,0.0852769985795021,0.2174692153930664,0.15387672185897827,0.4402775466442108,0.20802809298038483,0.2689683437347412,0.2134462594985962,0.11011603474617004
research,0.19555708765983582,0.21417704224586487,0.24391183257102966,0.42846137285232544,0.22573977708816528,0.17879386246204376,0.27580419182777405,0.13481977581977844
divisions,0.1958957463502884,0.197164848446846,0.3125615119934082,0.16864295303821564,0.3138268291950226,0.04089387133717537,0.24288827180862427,0.14903524518013
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.2369968742132187,0.20544172823429108
seven,0.1915208101272583,0.28194957971572876,0.28151169419288635,0.136383518576622,0.273354172706604,0.19407251477241516,0.1522243320941925,0.1732930988073349
professional,0.17196281254291534,0.22944867610931396,0.1869824379682541,0.3255961239337921,0.21265500783920288,0.22886565327644348,0.19807779788970947,0.13074518740177155
schools,0.16826190054416656,0.19736053049564362,0.22905772924423218,0.4070035517215729,0.265506386756897,0.21805064380168915,0.2572194039821625,0.18349280953407288
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2771213948726654,0.23771190643310547,0.4130953550338745
