,who,produces,a,list,of,requirements,for,a,project,",",giving,an,overall,view,of,the,project,'s,goals,?
the,0.3733934462070465,0.2783815562725067,0.5829201340675354,0.2863321602344513,0.733189046382904,0.26905253529548645,0.4739971458911896,0.5829201340675354,0.2027820199728012,0.4933079481124878,0.3626074492931366,0.4207492768764496,0.31739529967308044,0.25610461831092834,0.733189046382904,1.0,0.2027820199728012,-0.01540423184633255,0.11426310986280441,0.22068053483963013
owner,0.2990386188030243,0.14423972368240356,0.24004080891609192,0.12073998153209686,0.1597081422805786,0.056315235793590546,0.2014937400817871,0.24004080891609192,0.1479983627796173,0.22101753950119019,0.16732430458068848,0.1769057810306549,0.14652329683303833,0.17172567546367645,0.1597081422805786,0.22181597352027893,0.1479983627796173,0.025602707639336586,0.09921954572200775,0.1461835652589798
produces,0.05025135725736618,1.0000001192092896,0.3167676627635956,0.09838859736919403,0.24670347571372986,0.16121874749660492,0.20586787164211273,0.3167676627635956,0.18188141286373138,0.2517208456993103,0.2473473697900772,0.19848763942718506,0.13867951929569244,0.10691793262958527,0.24670347571372986,0.2783815562725067,0.18188141286373138,-0.0007260311977006495,0.08372753113508224,0.17052298784255981
a,0.36608949303627014,0.3167676627635956,1.0,0.16158510744571686,0.5052502155303955,0.24776260554790497,0.44038116931915283,1.0,0.2328382134437561,0.427140474319458,0.35822594165802,0.44552403688430786,0.23417603969573975,0.22168859839439392,0.5052502155303955,0.5829201340675354,0.2328382134437561,0.04866964742541313,0.10896897315979004,0.23916715383529663
list,0.22655591368675232,0.09838859736919403,0.16158510744571686,1.0,0.3032784163951874,0.23877274990081787,0.254395067691803,0.16158510744571686,0.19705384969711304,0.26581794023513794,0.14257456362247467,0.12760695815086365,0.17514310777187347,0.1611434519290924,0.3032784163951874,0.2863321602344513,0.19705384969711304,0.009258812293410301,0.1056973859667778,0.23630984127521515
of,0.2827862501144409,0.24670347571372986,0.5052502155303955,0.3032784163951874,1.0,0.2509140372276306,0.4185989499092102,0.5052502155303955,0.17578177154064178,0.4946078956127167,0.3440891206264496,0.32280945777893066,0.2889781594276428,0.21446028351783752,1.0,0.733189046382904,0.17578177154064178,-0.03817026689648628,0.10088890790939331,0.1826142966747284
requirements,0.23744942247867584,0.16121874749660492,0.24776260554790497,0.23877274990081787,0.2509140372276306,0.9999998807907104,0.37713998556137085,0.24776260554790497,0.2176559418439865,0.29181739687919617,0.23732490837574005,0.22398975491523743,0.23360219597816467,0.11426413059234619,0.2509140372276306,0.26905253529548645,0.2176559418439865,-0.03027881309390068,0.24285303056240082,0.2940613329410553
for,0.37110671401023865,0.20586787164211273,0.44038116931915283,0.254395067691803,0.4185989499092102,0.37713998556137085,0.9999999403953552,0.44038116931915283,0.2228124439716339,0.4464869201183319,0.39347827434539795,0.3236706852912903,0.2701855003833771,0.1212775781750679,0.4185989499092102,0.4739971458911896,0.2228124439716339,-0.07241261005401611,0.22178436815738678,0.264628142118454
a,0.36608949303627014,0.3167676627635956,1.0,0.16158510744571686,0.5052502155303955,0.24776260554790497,0.44038116931915283,1.0,0.2328382134437561,0.427140474319458,0.35822594165802,0.44552403688430786,0.23417603969573975,0.22168859839439392,0.5052502155303955,0.5829201340675354,0.2328382134437561,0.04866964742541313,0.10896897315979004,0.23916715383529663
project,0.2255522608757019,0.18188141286373138,0.2328382134437561,0.19705384969711304,0.17578177154064178,0.2176559418439865,0.2228124439716339,0.2328382134437561,1.0,0.24875426292419434,0.1618897169828415,0.1355700045824051,0.15239538252353668,0.2163499891757965,0.17578177154064178,0.2027820199728012,1.0,0.07063660025596619,0.18753303587436676,0.30569031834602356
",",0.3365725874900818,0.2517208456993103,0.427140474319458,0.26581794023513794,0.4946078956127167,0.29181739687919617,0.4464869201183319,0.427140474319458,0.24875426292419434,1.0000001192092896,0.28642573952674866,0.3581022024154663,0.2888959050178528,0.216712087392807,0.4946078956127167,0.4933079481124878,0.24875426292419434,-0.0016132977325469255,0.18402206897735596,0.31091248989105225
giving,0.2905098795890808,0.2473473697900772,0.35822594165802,0.14257456362247467,0.3440891206264496,0.23732490837574005,0.39347827434539795,0.35822594165802,0.1618897169828415,0.28642573952674866,1.0000001192092896,0.17233683168888092,0.22290420532226562,0.11874328553676605,0.3440891206264496,0.3626074492931366,0.1618897169828415,0.013468046672642231,0.1382371038198471,0.2052922248840332
an,0.2848317325115204,0.19848763942718506,0.44552403688430786,0.12760695815086365,0.32280945777893066,0.22398975491523743,0.3236706852912903,0.44552403688430786,0.1355700045824051,0.3581022024154663,0.17233683168888092,1.0,0.19013231992721558,0.15442174673080444,0.32280945777893066,0.4207492768764496,0.1355700045824051,0.025255560874938965,0.10663053393363953,0.19793890416622162
