,what,was,ghandi,'s,work,called,?
a,0.3320399522781372,0.4508470594882965,0.2181522697210312,0.04866964742541313,0.266241192817688,0.4868806302547455,0.23916715383529663
version,0.20755547285079956,0.297456830739975,0.12546128034591675,-0.009124638512730598,0.22186952829360962,0.2088133990764618,0.2573966085910797
was,0.22111038863658905,1.0000001192092896,0.2034144550561905,0.008974763564765453,0.24745555222034454,0.33927658200263977,0.18412111699581146
taken,0.26014965772628784,0.27550867199897766,0.12657484412193298,0.00031501424382440746,0.17383311688899994,0.2604179084300995,0.17662954330444336
up,0.28591108322143555,0.24070115387439728,0.13321126997470856,-0.08862818777561188,0.2375064194202423,0.25133395195007324,0.1819818764925003
by,0.2455483376979828,0.4752357602119446,0.17932765185832977,-0.010884488001465797,0.25005507469177246,0.3092815577983856,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.20752398669719696,-0.01540423184633255,0.2704800069332123,0.489897221326828,0.22068053483963013
author,0.18480391800403595,0.23446185886859894,0.21468718349933624,0.08716395497322083,0.29754936695098877,0.030864406377077103,0.14162757992744446
henry,0.1911626160144806,0.31945720314979553,0.1618659347295761,-0.032912835478782654,0.14571768045425415,0.13479503989219666,0.16836383938789368
david,0.1299152821302414,0.2655363976955414,0.12665796279907227,-0.00819597952067852,0.10047295689582825,0.1271628737449646,0.04158485680818558
thoreau,0.3263375163078308,0.263746052980423,0.18279185891151428,0.09148705005645752,0.34077686071395874,0.22212089598178864,0.1922200322151184
in,0.30808621644973755,0.45514053106307983,0.18216750025749207,-0.037580832839012146,0.2753349542617798,0.40847352147102356,0.20430970191955566
his,0.26976513862609863,0.4405253231525421,0.19570912420749664,0.047556519508361816,0.36648666858673096,0.17527347803115845,0.18075084686279297
essay,0.3115626871585846,0.20213858783245087,0.18860778212547302,0.001611704588867724,0.3167259097099304,0.18070612847805023,0.28484269976615906
civil,0.15091551840305328,0.24303317070007324,0.17387035489082336,-0.06354409456253052,0.2023354023694992,0.1720334142446518,0.1494513899087906
disobedience,0.3298627436161041,0.28287848830223083,0.28002631664276123,0.027719656005501747,0.3163769841194153,0.2320696860551834,0.19890835881233215
",",0.3087472915649414,0.45456063747406006,0.2613372504711151,-0.0016132977325469255,0.3283594250679016,0.26549121737480164,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.2585265338420868,0.06895173341035843,0.37551814317703247,0.3251761794090271,0.20544172823429108
later,0.2517229914665222,0.5684447288513184,0.22798411548137665,0.05591587722301483,0.23920415341854095,0.3076115846633911,0.1417175978422165
by,0.2455483376979828,0.4752357602119446,0.17932765185832977,-0.010884488001465797,0.25005507469177246,0.3092815577983856,0.17966607213020325
gandhi,0.23243291676044464,0.183432474732399,0.5018302202224731,0.13761647045612335,0.1619863510131836,0.08873574435710907,0.18234050273895264
in,0.30808621644973755,0.45514053106307983,0.18216750025749207,-0.037580832839012146,0.2753349542617798,0.40847352147102356,0.20430970191955566
his,0.26976513862609863,0.4405253231525421,0.19570912420749664,0.047556519508361816,0.36648666858673096,0.17527347803115845,0.18075084686279297
doctrine,0.3112909197807312,0.1871018409729004,0.1612398624420166,-0.004191047511994839,0.16284991800785065,0.16420650482177734,0.21789313852787018
of,0.33290785551071167,0.4069072902202606,0.19267161190509796,-0.03817026689648628,0.23473061621189117,0.4222904443740845,0.1826142966747284
satyagraha,0.3866046965122223,0.3116372525691986,0.44240227341651917,0.1384100466966629,0.3027925491333008,0.31552520394325256,0.2565320134162903
.,0.3567904531955719,0.40146201848983765,0.2428249567747116,-0.003708066651597619,0.33121398091316223,0.300344854593277,0.4130953550338745
,what,was,ghandi,'s,work,called,?
gandhi,0.23243291676044464,0.183432474732399,0.5018302202224731,0.13761647045612335,0.1619863510131836,0.08873574435710907,0.18234050273895264
's,0.02692362666130066,0.008974763564765453,0.13527481257915497,0.9999999403953552,-0.03332063928246498,-0.021773243322968483,-0.023395681753754616
satyagraha,0.3866046965122223,0.3116372525691986,0.44240227341651917,0.1384100466966629,0.3027925491333008,0.31552520394325256,0.2565320134162903
was,0.22111038863658905,1.0000001192092896,0.2034144550561905,0.008974763564765453,0.24745555222034454,0.33927658200263977,0.18412111699581146
partially,0.24273231625556946,0.24514621496200562,0.13699603080749512,0.02883117087185383,0.12211819738149643,0.17557652294635773,0.10232327878475189
influenced,0.22395093739032745,0.23784680664539337,0.09174976497888565,-0.0006173446890898049,0.28185194730758667,0.2378331571817398,0.1310873031616211
and,0.31309178471565247,0.3740963041782379,0.2585265338420868,0.06895173341035843,0.37551814317703247,0.3251761794090271,0.20544172823429108
inspired,0.18111269176006317,0.3109425902366638,0.17160066962242126,0.053430888801813126,0.2375589907169342,0.31858664751052856,0.1529090851545334
by,0.2455483376979828,0.4752357602119446,0.17932765185832977,-0.010884488001465797,0.25005507469177246,0.3092815577983856,0.17966607213020325
shelley,0.1713116317987442,0.25022226572036743,0.23174943029880524,-0.014250878244638443,0.16999322175979614,0.1531311422586441,0.16777275502681732
's,0.02692362666130066,0.008974763564765453,0.13527481257915497,0.9999999403953552,-0.03332063928246498,-0.021773243322968483,-0.023395681753754616
nonviolence,0.29576870799064636,0.18971200287342072,0.2679898142814636,0.10047005861997604,0.2811952233314514,0.2003975212574005,0.24961347877979279
in,0.30808621644973755,0.45514053106307983,0.18216750025749207,-0.037580832839012146,0.2753349542617798,0.40847352147102356,0.20430970191955566
protest,0.20248152315616608,0.274395227432251,0.21734856069087982,-0.0016888814279809594,0.24468468129634857,0.18736189603805542,0.1878921240568161
and,0.31309178471565247,0.3740963041782379,0.2585265338420868,0.06895173341035843,0.37551814317703247,0.3251761794090271,0.20544172823429108
political,0.21846716105937958,0.24282537400722504,0.19911453127861023,0.04151610657572746,0.21402792632579803,0.13192175328731537,0.17130474746227264
action,0.30170392990112305,0.17610664665699005,0.1209862008690834,-0.003886178135871887,0.3078940510749817,0.1614946573972702,0.250188946723938
.,0.3567904531955719,0.40146201848983765,0.2428249567747116,-0.003708066651597619,0.33121398091316223,0.300344854593277,0.4130953550338745
