,how,many,victorians,are,catholic,?
roman,0.08021295070648193,0.1827288269996643,0.3034271001815796,0.1207391545176506,0.6597542762756348,0.1663191318511963
catholics,0.18724653124809265,0.28312841057777405,0.4106447100639343,0.2673259675502777,0.8498657941818237,0.17714823782444
form,0.1948026418685913,0.223133847117424,0.18842937052249908,0.29983413219451904,0.08438657969236374,0.1463010311126709
the,0.33890387415885925,0.4335206151008606,0.30154773592948914,0.40399202704429626,0.26391419768333435,0.22068053483963013
single,0.19500847160816193,0.20817208290100098,0.11243826150894165,0.2179369032382965,0.1612863540649414,0.2151121199131012
largest,0.08743762224912643,0.23644231259822845,0.13266420364379883,0.23992078006267548,0.14709007740020752,0.12401245534420013
religious,0.2058211863040924,0.28807735443115234,0.22446602582931519,0.20633597671985626,0.48624303936958313,0.15727058053016663
group,0.15481124818325043,0.2776661217212677,0.13265472650527954,0.35980498790740967,0.08744741231203079,0.13827809691429138
in,0.2601168751716614,0.41474202275276184,0.196323961019516,0.3841303884983063,0.26313918828964233,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.30154773592948914,0.40399202704429626,0.26391419768333435,0.22068053483963013
state,0.15028610825538635,0.23203584551811218,0.21462032198905945,0.19951030611991882,0.2010960578918457,0.1160883978009224
with,0.3525622487068176,0.35744401812553406,0.1879289746284485,0.38996943831443787,0.2027006596326828,0.2433311939239502
26.7,-0.04680885747075081,0.009529461152851582,0.03363849222660065,0.006780163384974003,0.025838136672973633,-0.050546541810035706
%,0.1237400695681572,0.24948352575302124,0.17421793937683105,0.21077655255794525,0.19130167365074158,0.21441808342933655
of,0.2480744868516922,0.37253960967063904,0.29739347100257874,0.39081433415412903,0.3452084958553314,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.30154773592948914,0.40399202704429626,0.26391419768333435,0.22068053483963013
victorian,0.18811437487602234,0.3089503049850464,0.7926068305969238,0.20787982642650604,0.2610165476799011,0.07572567462921143
population,0.1651063710451126,0.2201971709728241,0.20464660227298737,0.20790868997573853,0.23367682099342346,0.14449454843997955
",",0.22659391164779663,0.40610817074775696,0.21458443999290466,0.4062570035457611,0.2713983952999115,0.31091248989105225
followed,0.22116149961948395,0.2190432846546173,0.24622675776481628,0.2208462357521057,0.17365343868732452,0.20567169785499573
by,0.34370526671409607,0.3409687578678131,0.24072089791297913,0.37842893600463867,0.17329150438308716,0.17966607213020325
anglicans,0.16244441270828247,0.3203515410423279,0.4097124934196472,0.30409878492355347,0.6354510188102722,0.15126198530197144
and,0.33647966384887695,0.5296266674995422,0.3062070906162262,0.48576638102531433,0.2147825062274933,0.20544172823429108
members,0.20418256521224976,0.25127971172332764,0.24890638887882233,0.31528955698013306,0.15874870121479034,0.10212311148643494
of,0.2480744868516922,0.37253960967063904,0.29739347100257874,0.39081433415412903,0.3452084958553314,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.30154773592948914,0.40399202704429626,0.26391419768333435,0.22068053483963013
uniting,0.1521904021501541,0.2862938940525055,0.2690137028694153,0.19833575189113617,0.3226609230041504,0.16345468163490295
church,0.10719848424196243,0.20546764135360718,0.22667717933654785,0.16039738059043884,0.6546704173088074,0.18081501126289368
.,0.3287222981452942,0.3974229395389557,0.22587034106254578,0.3452940285205841,0.270730584859848,0.4130953550338745
