,what,is,the,exchange,of,a,set,of,obligations,between,two,or,more,parties,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.14749813079833984,0.5052502155303955,1.0,0.2540091574192047,0.5052502155303955,0.2428174912929535,0.29385313391685486,0.3289857804775238,0.48853766918182373,0.3452818691730499,0.2509554326534271,0.23916715383529663
construction,0.20329850912094116,0.2135658711194992,0.2671978175640106,0.1540450006723404,0.2815735340118408,0.25036895275115967,0.21913999319076538,0.2815735340118408,0.2485182285308838,0.17000359296798706,0.1669423133134842,0.20974527299404144,0.22829830646514893,0.14719258248806,0.13494056463241577
project,0.27033838629722595,0.1924840211868286,0.2027820199728012,0.10140124708414078,0.17578177154064178,0.2328382134437561,0.18659839034080505,0.17578177154064178,0.1941547840833664,0.09451474249362946,0.1081111952662468,0.1628941148519516,0.2288227528333664,0.17966914176940918,0.30569031834602356
is,0.28837618231773376,1.0,0.5823672413825989,0.19539384543895721,0.4854315221309662,0.658733606338501,0.21148966252803802,0.4854315221309662,0.21203279495239258,0.26809602975845337,0.2315155267715454,0.41870999336242676,0.2946030795574188,0.18434752523899078,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.14749813079833984,0.5052502155303955,1.0,0.2540091574192047,0.5052502155303955,0.2428174912929535,0.29385313391685486,0.3289857804775238,0.48853766918182373,0.3452818691730499,0.2509554326534271,0.23916715383529663
complex,0.2605343163013458,0.2723233699798584,0.25326284766197205,0.12479265034198761,0.24271073937416077,0.26552852988243103,0.1980408877134323,0.24271073937416077,0.23725175857543945,0.1516856849193573,0.21275268495082855,0.2604424059391022,0.3233707845211029,0.07195132225751877,0.17752902209758759
net,0.14762049913406372,0.11006560176610947,0.17559128999710083,0.18656295537948608,0.15895754098892212,0.1262080818414688,0.09665393829345703,0.15895754098892212,0.09805329144001007,0.09712889790534973,0.12421218305826187,0.14574407041072845,0.1868586391210556,-0.007290312089025974,0.20179778337478638
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23548997938632965,1.0,0.5052502155303955,0.20671486854553223,1.0,0.22609607875347137,0.3737983703613281,0.37726253271102905,0.3792596757411957,0.30478984117507935,0.2394237220287323,0.1826142966747284
contracts,0.2268635481595993,0.17589467763900757,0.246573343873024,0.38948893547058105,0.19568492472171783,0.21033822000026703,0.15155912935733795,0.19568492472171783,0.3962673544883728,0.2781682014465332,0.1852421909570694,0.23222528398036957,0.27931198477745056,0.16576658189296722,0.09254205226898193
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23130671679973602,0.5116966962814331,0.3739250600337982,0.27649927139282227,0.5116966962814331,0.2513674199581146,0.40645647048950195,0.4671151638031006,0.4713204801082611,0.39880692958831787,0.28593164682388306,0.20544172823429108
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.21968360245227814,0.38583824038505554,0.2806335389614105,0.22195905447006226,0.38583824038505554,0.3094997704029083,0.30660146474838257,0.46609029173851013,0.5325124859809875,0.49628373980522156,0.28949210047721863,0.24682199954986572
legal,0.26388198137283325,0.20037926733493805,0.25629305839538574,0.13492321968078613,0.2720220685005188,0.24255292117595673,0.21528981626033783,0.2720220685005188,0.42224475741386414,0.23243695497512817,0.16096040606498718,0.30053412914276123,0.26066985726356506,0.31337982416152954,0.2143220454454422
obligations,0.26247575879096985,0.21203279495239258,0.25601303577423096,0.21235114336013794,0.22609607875347137,0.2428174912929535,0.17548349499702454,0.22609607875347137,1.0,0.14123806357383728,0.21255789697170258,0.35251283645629883,0.2688829302787781,0.31978029012680054,0.221116840839386
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2447657436132431,0.4946078956127167,0.427140474319458,0.24912182986736298,0.4946078956127167,0.2152092307806015,0.27714940905570984,0.35859420895576477,0.3769497275352478,0.3696524500846863,0.219932422041893,0.31091248989105225
each,0.3353266417980194,0.2954041659832001,0.470844566822052,0.20361602306365967,0.38460010290145874,0.434999018907547,0.22954213619232178,0.38460010290145874,0.29406383633613586,0.35306447744369507,0.524709939956665,0.4373190701007843,0.37741073966026306,0.2636311650276184,0.21173812448978424
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23548997938632965,1.0,0.5052502155303955,0.20671486854553223,1.0,0.22609607875347137,0.3737983703613281,0.37726253271102905,0.3792596757411957,0.30478984117507935,0.2394237220287323,0.1826142966747284
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.18720823526382446,0.5011631846427917,0.56894451379776,0.3371303975582123,0.5011631846427917,0.3432561457157135,0.395174115896225,0.4674137234687805,0.5105096101760864,0.4639437198638916,0.24573498964309692,0.25814583897590637
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.1818532794713974,0.42798417806625366,0.2696802616119385,0.2930283844470978,0.42798417806625366,0.3893243968486786,0.22774523496627808,0.4553687274456024,0.3321593105792999,0.39087146520614624,0.27889177203178406,0.29575422406196594
parties,0.21181418001651764,0.18434752523899078,0.2535073459148407,0.2217777967453003,0.2394237220287323,0.2509554326534271,0.1731320172548294,0.2394237220287323,0.31978029012680054,0.2342151701450348,0.24818365275859833,0.2660670280456543,0.26569482684135437,1.0000001192092896,0.16949701309204102
must,0.30362528562545776,0.3093329071998596,0.2713140547275543,0.10357820242643356,0.24322323501110077,0.3016769587993622,0.2462361752986908,0.24322323501110077,0.38391008973121643,0.21037867665290833,0.2710527777671814,0.43512776494026184,0.2487267553806305,0.220934197306633,0.23707495629787445
carefully,0.3852337598800659,0.22160780429840088,0.23141548037528992,0.0848531499505043,0.1739562302827835,0.26007458567619324,0.22226133942604065,0.1739562302827835,0.25813785195350647,0.1399787962436676,0.2146572470664978,0.3272458016872406,0.3463974893093109,0.2087235450744629,0.22870610654354095
consider,0.44261306524276733,0.32138293981552124,0.33438587188720703,0.14750662446022034,0.3074679970741272,0.308129221200943,0.19015806913375854,0.3074679970741272,0.32988905906677246,0.20848046243190765,0.19956783950328827,0.3235694468021393,0.34493598341941833,0.2618965208530426,0.37281370162963867
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.14290252327919006,0.5352458953857422,0.50484299659729,0.2928885817527771,0.5352458953857422,0.1982361078262329,0.30295518040657043,0.3524959683418274,0.36683785915374756,0.4070230722427368,0.23241087794303894,0.4130953550338745
