,who,has,the,role,of,holding,the,scottish,government,to,account,?
the,0.3733934462070465,0.4177538752555847,1.0,0.26607486605644226,0.733189046382904,0.31092849373817444,1.0,0.21724988520145416,0.31798112392425537,0.535392165184021,0.21117976307868958,0.22068053483963013
scottish,0.27621203660964966,0.09595897048711777,0.21724988520145416,0.10963016748428345,0.1698460429906845,0.15392190217971802,0.21724988520145416,1.0000001192092896,0.17260609567165375,0.1268421709537506,0.147483229637146,0.06442669779062271
parliament,0.237068772315979,0.1700625866651535,0.26521381735801697,0.1392432600259781,0.2885259687900543,0.24074557423591614,0.26521381735801697,0.3418616056442261,0.5386218428611755,0.20290622115135193,0.14567922055721283,0.1586504578590393
has,0.2558172643184662,1.0,0.4177538752555847,0.17958451807498932,0.3909035325050354,0.26292428374290466,0.4177538752555847,0.09595897048711777,0.205010324716568,0.3619994819164276,0.1613103300333023,0.15994466841220856
the,0.3733934462070465,0.4177538752555847,1.0,0.26607486605644226,0.733189046382904,0.31092849373817444,1.0,0.21724988520145416,0.31798112392425537,0.535392165184021,0.21117976307868958,0.22068053483963013
power,0.25855374336242676,0.1779095083475113,0.2647338807582855,0.22815005481243134,0.25273123383522034,0.24754011631011963,0.2647338807582855,0.07665006071329117,0.3452511131763458,0.27001675963401794,0.10682149231433868,0.15304024517536163
to,0.42656609416007996,0.3619994819164276,0.535392165184021,0.17841029167175293,0.41548454761505127,0.256712406873703,0.535392165184021,0.1268421709537506,0.28343796730041504,1.0,0.2893601059913635,0.29463258385658264
pass,0.12504667043685913,0.17641186714172363,0.25961899757385254,0.1802903562784195,0.18302802741527557,0.15908685326576233,0.25961899757385254,0.08024915307760239,0.09069974720478058,0.28446894884109497,0.13051845133304596,0.09478675574064255
laws,0.30102699995040894,0.13783618807792664,0.2587076723575592,0.14517945051193237,0.2539142072200775,0.1726285070180893,0.2587076723575592,0.1403539627790451,0.41622602939605713,0.2910608649253845,0.21314838528633118,0.17911791801452637
and,0.41279885172843933,0.43716782331466675,0.5171257257461548,0.2629789710044861,0.5116966962814331,0.2692902982234955,0.5171257257461548,0.2972351908683777,0.2859337627887726,0.48971283435821533,0.20756186544895172,0.20544172823429108
has,0.2558172643184662,1.0,0.4177538752555847,0.17958451807498932,0.3909035325050354,0.26292428374290466,0.4177538752555847,0.09595897048711777,0.205010324716568,0.3619994819164276,0.1613103300333023,0.15994466841220856
limited,0.15578578412532806,0.22754451632499695,0.2757521867752075,0.1344657838344574,0.3373238146305084,0.2241896092891693,0.2757521867752075,0.14240427315235138,0.2548535466194153,0.2564510405063629,0.1861090511083603,0.09444807469844818
tax-varying,0.23034079372882843,0.2669261395931244,0.3277469575405121,0.13414941728115082,0.3467263877391815,0.36581793427467346,0.3277469575405121,0.24606376886367798,0.3111782670021057,0.36233142018318176,0.23606544733047485,0.268069326877594
capability,0.14585433900356293,0.22778277099132538,0.22795647382736206,0.20828378200531006,0.20251134037971497,0.24587631225585938,0.22795647382736206,0.12811537086963654,0.16983938217163086,0.30425718426704407,0.24500757455825806,0.20875757932662964
.,0.3541337847709656,0.4105546176433563,0.5934505462646484,0.22067026793956757,0.5352458953857422,0.2080790251493454,0.5934505462646484,0.20125295221805573,0.2521961033344269,0.4645031690597534,0.21396027505397797,0.4130953550338745
,who,has,the,role,of,holding,the,scottish,government,to,account,?
another,0.4379323124885559,0.34104037284851074,0.5019711852073669,0.1957184225320816,0.38147079944610596,0.29054179787635803,0.5019711852073669,0.1692477911710739,0.20183414220809937,0.48769932985305786,0.3317717909812927,0.295511931180954
of,0.2827862501144409,0.3909035325050354,0.733189046382904,0.1797693818807602,1.0,0.25994744896888733,0.733189046382904,0.1698460429906845,0.3475167155265808,0.41548454761505127,0.19751501083374023,0.1826142966747284
the,0.3733934462070465,0.4177538752555847,1.0,0.26607486605644226,0.733189046382904,0.31092849373817444,1.0,0.21724988520145416,0.31798112392425537,0.535392165184021,0.21117976307868958,0.22068053483963013
roles,0.24722857773303986,0.15781185030937195,0.20862428843975067,0.7619503140449524,0.19068127870559692,0.2044202983379364,0.20862428843975067,0.12069358676671982,0.04408569633960724,0.12376586347818375,0.09816919267177582,0.1763966977596283
of,0.2827862501144409,0.3909035325050354,0.733189046382904,0.1797693818807602,1.0,0.25994744896888733,0.733189046382904,0.1698460429906845,0.3475167155265808,0.41548454761505127,0.19751501083374023,0.1826142966747284
the,0.3733934462070465,0.4177538752555847,1.0,0.26607486605644226,0.733189046382904,0.31092849373817444,1.0,0.21724988520145416,0.31798112392425537,0.535392165184021,0.21117976307868958,0.22068053483963013
parliament,0.237068772315979,0.1700625866651535,0.26521381735801697,0.1392432600259781,0.2885259687900543,0.24074557423591614,0.26521381735801697,0.3418616056442261,0.5386218428611755,0.20290622115135193,0.14567922055721283,0.1586504578590393
is,0.24293622374534607,0.5668748617172241,0.5823672413825989,0.20847192406654358,0.4854315221309662,0.22655069828033447,0.5823672413825989,0.16398480534553528,0.20343491435050964,0.42745086550712585,0.1971616894006729,0.22961433231830597
to,0.42656609416007996,0.3619994819164276,0.535392165184021,0.17841029167175293,0.41548454761505127,0.256712406873703,0.535392165184021,0.1268421709537506,0.28343796730041504,1.0,0.2893601059913635,0.29463258385658264
hold,0.22237171232700348,0.24276848137378693,0.3067915439605713,0.1769249439239502,0.2465030699968338,0.5733159780502319,0.3067915439605713,0.16906212270259857,0.16319026052951813,0.3469145894050598,0.20014990866184235,0.18586084246635437
