,what,typeface,are,the,letters,in,the,iconic,abc,logo,reminiscent,of,?
the,0.42745697498321533,0.19363410770893097,0.40399202704429626,1.0,0.23764781653881073,0.6662389636039734,1.0,0.2524588406085968,0.2068762183189392,0.2806010842323303,0.2813628613948822,0.733189046382904,0.22068053483963013
letters,0.1743541657924652,0.42577534914016724,0.23206543922424316,0.23764781653881073,1.0000001192092896,0.1873265951871872,0.23764781653881073,0.22557654976844788,0.22180816531181335,0.23700784146785736,0.23704253137111664,0.24394433200359344,0.18739263713359833
are,0.29724663496017456,0.22424359619617462,1.0,0.40399202704429626,0.23206543922424316,0.3841303884983063,0.40399202704429626,0.1534326821565628,0.06184951588511467,0.14158512651920319,0.22691594064235687,0.39081433415412903,0.24591213464736938
strongly,0.33651110529899597,0.1557718962430954,0.31117644906044006,0.2760447859764099,0.1485094279050827,0.21089641749858856,0.2760447859764099,0.135110005736351,0.07624659687280655,0.1203681081533432,0.25686317682266235,0.2203129082918167,0.1874239444732666
reminiscent,0.3311615586280823,0.3513965904712677,0.22691594064235687,0.2813628613948822,0.23704253137111664,0.21660679578781128,0.2813628613948822,0.37200555205345154,0.16058489680290222,0.1992858499288559,0.9999998807907104,0.24217969179153442,0.25347062945365906
of,0.33290785551071167,0.20969410240650177,0.39081433415412903,0.733189046382904,0.24394433200359344,0.5696388483047485,0.733189046382904,0.24920526146888733,0.14607268571853638,0.1528109908103943,0.24217969179153442,1.0,0.1826142966747284
the,0.42745697498321533,0.19363410770893097,0.40399202704429626,1.0,0.23764781653881073,0.6662389636039734,1.0,0.2524588406085968,0.2068762183189392,0.2806010842323303,0.2813628613948822,0.733189046382904,0.22068053483963013
bauhaus,0.21425315737724304,0.3729826807975769,0.14227597415447235,0.29179105162620544,0.1583767682313919,0.3321554660797119,0.29179105162620544,0.3971962034702301,0.15857167541980743,0.26299744844436646,0.29352325201034546,0.30167561769485474,0.14427398145198822
typeface,0.18697687983512878,0.9999998807907104,0.22424359619617462,0.19363410770893097,0.42577534914016724,0.19505524635314941,0.19363410770893097,0.34692779183387756,0.1938462257385254,0.3828795254230499,0.3513965904712677,0.20969410240650177,0.23994740843772888
designed,0.15902110934257507,0.3480788469314575,0.14064814150333405,0.2559613883495331,0.14519840478897095,0.22657902538776398,0.2559613883495331,0.2817881405353546,0.07537854462862015,0.22360152006149292,0.267436146736145,0.2000347077846527,0.11213942617177963
