,when,did,the,ottoman,empire,fall,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2623080313205719,0.32532164454460144,0.3639753758907318,0.22068053483963013
ottoman,0.15557228028774261,0.18248897790908813,0.2623080313205719,0.9999999403953552,0.5869483351707458,0.2655768394470215,0.14455440640449524
empire,0.18422111868858337,0.18850058317184448,0.32532164454460144,0.5869483351707458,1.0000001192092896,0.34335142374038696,0.14909450709819794
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.21196036040782928,0.30602675676345825,0.22278504073619843,0.18412111699581146
an,0.33026179671287537,0.22598257660865784,0.4207492768764496,0.16297979652881622,0.16588738560676575,0.1605214923620224,0.19793890416622162
imperial,0.19296634197235107,0.16254396736621857,0.3074202835559845,0.27063608169555664,0.3880499303340912,0.1864890605211258,0.10900196433067322
state,0.2549494504928589,0.152080237865448,0.3097178041934967,0.23318558931350708,0.30762815475463867,0.2046533077955246,0.1160883978009224
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.17987796664237976,0.1784069836139679,0.2639525830745697,0.32716336846351624
lasted,0.2528345286846161,0.310510516166687,0.2910100221633911,0.272242933511734,0.3074004650115967,0.2132555991411209,0.13777512311935425
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.15629346668720245,0.19878821074962616,0.29061755537986755,0.19969791173934937
1299,0.2641332149505615,0.19150109589099884,0.11451897025108337,0.12082231789827347,0.07033996284008026,0.21659867465496063,0.13320811092853546
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.19054467976093292,0.21448755264282227,0.1966593861579895,0.29463258385658264
1923,-0.12218174338340759,-0.13207493722438812,-0.020846471190452576,-0.00035033529275096953,-0.017013413831591606,-0.03985051065683365,-0.009934643283486366
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2524917721748352,0.2811720371246338,0.2718521058559418,0.4130953550338745
