,what,method,is,used,to,intuitively,assess,or,quantify,the,amount,of,resources,required,to,solve,a,computational,problem,?
the,0.42745697498321533,0.21624743938446045,0.5823672413825989,0.3718377649784088,0.535392165184021,0.24461984634399414,0.2471352517604828,0.4174870550632477,0.227126806974411,1.0,0.3336862325668335,0.733189046382904,0.25734785199165344,0.27848219871520996,0.535392165184021,0.16557666659355164,0.5829201340675354,0.18477948009967804,0.24928659200668335,0.22068053483963013
theory,0.297923743724823,0.35840895771980286,0.19279582798480988,0.17207488417625427,0.21947365999221802,0.38336822390556335,0.2944156229496002,0.21121910214424133,0.38128095865249634,0.2277156263589859,0.2141326367855072,0.23506702482700348,0.14844875037670135,0.21596580743789673,0.21947365999221802,0.30191001296043396,0.2233850657939911,0.4716552495956421,0.32978713512420654,0.1387292891740799
formalizes,0.22624996304512024,0.276486337184906,0.2479325234889984,0.2286464273929596,0.19622308015823364,0.3297993242740631,0.2988893389701843,0.2387966811656952,0.377642422914505,0.21079598367214203,0.13199345767498016,0.28061074018478394,0.14624355733394623,0.24931402504444122,0.19622308015823364,0.24526113271713257,0.27704885601997375,0.45432019233703613,0.26331666111946106,0.2219446450471878
this,0.5489566326141357,0.32054242491722107,0.480927973985672,0.3996967375278473,0.5759071707725525,0.4101850092411041,0.33027029037475586,0.4406825602054596,0.32744359970092773,0.6274310946464539,0.38577085733413696,0.45148900151252747,0.2721012532711029,0.39053839445114136,0.5759071707725525,0.22904005646705627,0.5422310829162598,0.3068338632583618,0.3937966227531433,0.3155723512172699
intuition,0.36534836888313293,0.3007861077785492,0.22012947499752045,0.1541181355714798,0.2761060297489166,0.7327872514724731,0.44916313886642456,0.33797135949134827,0.5140528678894043,0.19186070561408997,0.2892962098121643,0.26055726408958435,0.327114999294281,0.3507727086544037,0.2761060297489166,0.3558638393878937,0.290642112493515,0.5651616454124451,0.40969154238700867,0.34162789583206177
",",0.3087472915649414,0.22978182137012482,0.4691906273365021,0.3120402991771698,0.44245919585227966,0.26020267605781555,0.20483890175819397,0.3769497275352478,0.1972116231918335,0.4933079481124878,0.21125462651252747,0.4946078956127167,0.2789028584957123,0.22653338313102722,0.44245919585227966,0.24415066838264465,0.427140474319458,0.28742313385009766,0.23938199877738953,0.31091248989105225
by,0.2455483376979828,0.2714079022407532,0.3899846076965332,0.27705541253089905,0.33534231781959534,0.20590059459209442,0.16481241583824158,0.30274316668510437,0.18299435079097748,0.4408751428127289,0.19143085181713104,0.3646814823150635,0.19408294558525085,0.21564500033855438,0.33534231781959534,0.17813259363174438,0.32094135880470276,0.2209896296262741,0.2011435180902481,0.17966607213020325
introducing,0.22814175486564636,0.24802565574645996,0.18977513909339905,0.3360781669616699,0.2377334088087082,0.29862141609191895,0.26673105359077454,0.2463998943567276,0.3104952573776245,0.2765180766582489,0.2050580084323883,0.23519274592399597,0.2003682404756546,0.20434896647930145,0.2377334088087082,0.21161341667175293,0.2899552583694458,0.29421183466911316,0.26297903060913086,0.20713724195957184
mathematical,0.2707732021808624,0.33443450927734375,0.18057724833488464,0.2658694386482239,0.2660215497016907,0.4270645081996918,0.3057105839252472,0.1748487800359726,0.4855259358882904,0.21343764662742615,0.23226149380207062,0.2863022983074188,0.17253336310386658,0.25805503129959106,0.2660215497016907,0.4054298996925354,0.24343366920948029,0.6238549947738647,0.30826032161712646,0.1630573719739914
models,0.22431734204292297,0.2174755334854126,0.17595206201076508,0.27530142664909363,0.2078617662191391,0.23547346889972687,0.23311127722263336,0.20711849629878998,0.3065577745437622,0.16804195940494537,0.17409808933734894,0.19773605465888977,0.19903472065925598,0.19772140681743622,0.2078617662191391,0.24335019290447235,0.2741396725177765,0.3618801534175873,0.18150636553764343,0.16656708717346191
