,what,is,unique,about,a,hermaphrodite,?
most,0.3219912350177765,0.41165053844451904,0.32255977392196655,0.2816680371761322,0.3508910834789276,0.1800028383731842,0.2107497900724411
species,0.14617158472537994,0.2673557698726654,0.28272032737731934,0.24729883670806885,0.22986134886741638,0.41282227635383606,0.1957087516784668
are,0.29724663496017456,0.5330929756164551,0.33033159375190735,0.36165615916252136,0.265255331993103,0.2965511083602905,0.24591213464736938
hermaphrodites—a,0.16936397552490234,0.14341075718402863,0.2900274395942688,0.15989276766777039,0.19486047327518463,0.9886232614517212,0.1637602299451828
single,0.24458327889442444,0.27151715755462646,0.23258604109287262,0.14967955648899078,0.3884310722351074,0.28947293758392334,0.2151121199131012
animal,0.2420092225074768,0.22882415354251862,0.1732417643070221,0.22592870891094208,0.2330022156238556,0.2754860818386078,0.13991324603557587
can,0.34502777457237244,0.44256699085235596,0.3215049207210541,0.27397462725639343,0.3915780484676361,0.27897340059280396,0.3226337134838104
produce,0.1685742735862732,0.26456785202026367,0.2687828242778778,0.19470475614070892,0.2757846415042877,0.40023985505104065,0.19229066371917725
both,0.3361809551715851,0.31409940123558044,0.27872568368911743,0.24329400062561035,0.3171786069869995,0.29582881927490234,0.19455738365650177
eggs,0.16247199475765228,0.17573606967926025,0.20885908603668213,0.19826772809028625,0.1808033138513565,0.3949572443962097,0.1739477664232254
and,0.31309178471565247,0.3859752118587494,0.29869556427001953,0.3875081241130829,0.3739250600337982,0.21870875358581543,0.20544172823429108
sperm,0.14184391498565674,0.16295675933361053,0.1648455113172531,0.18626314401626587,0.22700446844100952,0.5138568878173828,0.16449850797653198
",",0.3087472915649414,0.4691906273365021,0.2386896163225174,0.3877100944519043,0.427140474319458,0.20266716182231903,0.31091248989105225
meaning,0.24135559797286987,0.32422322034835815,0.2688698470592499,0.20659714937210083,0.3343478739261627,0.2562068998813629,0.20420892536640167
it,0.45803478360176086,0.6328473687171936,0.27766695618629456,0.4291239380836487,0.5452592968940735,0.16018755733966827,0.25732165575027466
can,0.34502777457237244,0.44256699085235596,0.3215049207210541,0.27397462725639343,0.3915780484676361,0.27897340059280396,0.3226337134838104
fertilize,0.20379580557346344,0.21680302917957306,0.17306354641914368,0.24118643999099731,0.24995917081832886,0.5849481225013733,0.19345511496067047
its,0.30393704771995544,0.4447362422943115,0.37202125787734985,0.3361809253692627,0.4424409866333008,0.15947967767715454,0.15103481709957123
own,0.35062843561172485,0.2145606279373169,0.37535277009010315,0.2886277437210083,0.3093770742416382,0.1925915777683258,0.1937696635723114
egg,0.1961183249950409,0.19253171980381012,0.21763093769550323,0.2131992131471634,0.21959127485752106,0.4119015038013458,0.10452862083911896
",",0.3087472915649414,0.4691906273365021,0.2386896163225174,0.3877100944519043,0.427140474319458,0.20266716182231903,0.31091248989105225
not,0.5449194312095642,0.3776007890701294,0.2802428901195526,0.36646416783332825,0.3791346549987793,0.2871749997138977,0.41942933201789856
needing,0.27727267146110535,0.21570008993148804,0.2149922400712967,0.22037862241268158,0.2794986665248871,0.1535378247499466,0.3596859276294708
a,0.3320399522781372,0.658733606338501,0.3346916735172272,0.34171196818351746,1.0,0.19105878472328186,0.23916715383529663
mate,0.16257359087467194,0.14008302986621857,0.11920889467000961,0.09729857742786407,0.18423885107040405,0.29156315326690674,0.14411137998104095
.,0.3567904531955719,0.4569662809371948,0.24499718844890594,0.42038556933403015,0.50484299659729,0.1925351321697235,0.4130953550338745
