,why,did,toghun,temur,dismiss,toghtogha,?
in,0.23227278888225555,0.2593238651752472,0.2642333507537842,0.17947465181350708,0.16946882009506226,0.3042716383934021,0.20430970191955566
1354,0.02079738676548004,0.05338667705655098,-0.031871773302555084,-0.10317347943782806,-0.011842353269457817,-0.06716310977935791,-0.003744599875062704
",",0.2827242314815521,0.3015086054801941,0.29529309272766113,0.24545347690582275,0.23526766896247864,0.3534244894981384,0.31091248989105225
when,0.46319615840911865,0.3228907287120819,0.1324557214975357,0.1567605584859848,0.1901237815618515,0.13076147437095642,0.22841128706932068
toghtogha,0.16186478734016418,0.13458670675754547,0.7183704972267151,0.44944557547569275,0.17239739000797272,1.0,0.24047969281673431
led,0.15703928470611572,0.3213953971862793,0.1792142391204834,0.19479484856128693,0.26703378558158875,0.2073788046836853,0.09273858368396759
a,0.2667238116264343,0.2552328109741211,0.25056588649749756,0.1981619894504547,0.2300475835800171,0.29616060853004456,0.23916715383529663
large,0.2002812922000885,0.2084006518125534,0.18487678468227386,0.20578737556934357,0.057803571224212646,0.18588025867938995,0.1355665624141693
army,0.15773792564868927,0.21148359775543213,0.23509283363819122,0.27330753207206726,0.2126028686761856,0.30525925755500793,0.180583193898201
to,0.4100138247013092,0.4452643394470215,0.15596270561218262,0.1902887374162674,0.2970883548259735,0.23291288316249847,0.29463258385658264
crush,0.12997718155384064,0.1286870539188385,0.1656154990196228,0.22266781330108643,0.13553082942962646,0.12595276534557343,0.17819353938102722
the,0.30742117762565613,0.34736719727516174,0.270424485206604,0.2950887978076935,0.24317222833633423,0.3387857973575592,0.22068053483963013
red,0.16047009825706482,0.11931999027729034,0.1803271323442459,0.20463263988494873,0.08141203224658966,0.1435803920030594,0.1495664119720459
turban,0.1204858124256134,0.13088750839233398,0.2657966911792755,0.13414306938648224,0.05037107318639755,0.25091707706451416,0.06138082221150398
rebels,0.09820682555437088,0.21571314334869385,0.23097388446331024,0.2821228504180908,0.18704970180988312,0.299263596534729,0.11566741019487381
",",0.2827242314815521,0.3015086054801941,0.29529309272766113,0.24545347690582275,0.23526766896247864,0.3534244894981384,0.31091248989105225
toghun,0.13854488730430603,0.11700378358364105,0.9999998807907104,0.46132710576057434,0.1536191999912262,0.7183704972267151,0.1859661489725113
temür,0.23914064466953278,0.27707138657569885,0.39955708384513855,0.6543241739273071,0.2282801866531372,0.45575863122940063,0.17946790158748627
suddenly,0.32029488682746887,0.24603818356990814,0.12859851121902466,0.1434747278690338,0.16112951934337616,0.19304506480693817,0.15163323283195496
dismissed,0.13898803293704987,0.32615071535110474,0.16845019161701202,0.14591091871261597,0.8406635522842407,0.1937447488307953,0.12693022191524506
him,0.33426809310913086,0.4290095865726471,0.14038923382759094,0.26235830783843994,0.29053354263305664,0.19262957572937012,0.23943768441677094
for,0.3869043290615082,0.318512886762619,0.15105493366718292,0.11592201888561249,0.18602116405963898,0.2344551980495453,0.264628142118454
fear,0.3046392798423767,0.21054264903068542,0.09338324517011642,0.12422104924917221,0.24617251753807068,0.16854652762413025,0.2266579419374466
of,0.28464117646217346,0.2513895630836487,0.2873504161834717,0.2597799301147461,0.2976513206958771,0.342536985874176,0.1826142966747284
betrayal,0.22039726376533508,0.2500785291194916,0.11266759037971497,0.18114623427391052,0.31475841999053955,0.16800756752490997,0.1884389966726303
.,0.32909876108169556,0.35288307070732117,0.25734615325927734,0.24080398678779602,0.21688716113567352,0.297549307346344,0.4130953550338745
