,what,is,the,name,of,an,algebraic,structure,in,which,addition,",",subtraction,and,multiplication,are,defined,?
prime,0.15586113929748535,0.16680827736854553,0.19960100948810577,0.15097270905971527,0.23935265839099884,0.08209051191806793,0.19524182379245758,0.09791604429483414,0.18097394704818726,0.1615363508462906,0.1042645275592804,0.2565026581287384,0.2232513427734375,0.21528048813343048,0.23891876637935638,0.12279369682073593,0.12528179585933685,0.11276303976774216
numbers,0.24586999416351318,0.19465886056423187,0.293011337518692,0.1817430555820465,0.228018656373024,0.17320702970027924,0.40915167331695557,0.18143700063228607,0.23087690770626068,0.3099874258041382,0.30260154604911804,0.26479464769363403,0.4970654547214508,0.24053069949150085,0.4863467216491699,0.37760815024375916,0.29889312386512756,0.19297972321510315
give,0.32935357093811035,0.25632646679878235,0.29086416959762573,0.18062977492809296,0.33489471673965454,0.21015086770057678,0.210480734705925,0.19450518488883972,0.20895415544509888,0.3091176450252533,0.32434993982315063,0.2844066619873047,0.2429904043674469,0.3040338158607483,0.2450566440820694,0.2951275110244751,0.10180950909852982,0.2985610067844391
rise,0.23887591063976288,0.1640702784061432,0.3404741883277893,0.11004959046840668,0.2733727991580963,0.15885549783706665,0.11229806393384933,0.19707420468330383,0.1934409737586975,0.2739121615886688,0.21218878030776978,0.2350703477859497,0.21335068345069885,0.2639505863189697,0.20540814101696014,0.19183066487312317,0.11765333265066147,0.10799103230237961
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.3138085603713989,0.187529057264328,0.27200284600257874,0.45010748505592346,0.5345056653022766,0.29394859075546265,0.44245919585227966,0.285117506980896,0.48971283435821533,0.25814008712768555,0.3504326641559601,0.21911276876926422,0.29463258385658264
two,0.23363454639911652,0.2315155267715454,0.43858039379119873,0.18348293006420135,0.37726253271102905,0.1867314726114273,0.2890983521938324,0.20518726110458374,0.36463531851768494,0.4674137234687805,0.3882082402706146,0.35859420895576477,0.34865760803222656,0.4671151638031006,0.3076822757720947,0.46276170015335083,0.1791386604309082,0.19645625352859497
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.15184196829795837,0.30478984117507935,0.316240519285202,0.26340362429618835,0.24096938967704773,0.32563260197639465,0.4639437198638916,0.3354648947715759,0.3696524500846863,0.26614129543304443,0.39880692958831787,0.259004145860672,0.4066504240036011,0.21133215725421906,0.27894994616508484
general,0.24928055703639984,0.20144300162792206,0.28634732961654663,0.12844601273536682,0.28352999687194824,0.16276395320892334,0.2618933320045471,0.1743854433298111,0.259066641330719,0.19923317432403564,0.11919508129358292,0.3022127151489258,0.20478563010692596,0.25860127806663513,0.1704026758670807,0.15219135582447052,0.17422878742218018,0.1972234547138214
concepts,0.30926722288131714,0.27732059359550476,0.22404052317142487,0.1445736438035965,0.23946964740753174,0.19258971512317657,0.41927066445350647,0.35239535570144653,0.23009172081947327,0.32312026619911194,0.2525896728038788,0.2242908775806427,0.3258706331253052,0.26030057668685913,0.37403106689453125,0.30335575342178345,0.37050876021385193,0.21270129084587097
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.365763783454895,0.28935161232948303,0.33507516980171204,0.435920387506485,0.6894589066505432,0.3626989722251892,0.4137537479400635,0.3345204293727875,0.4731321930885315,0.30615735054016113,0.45265161991119385,0.3133997619152069,0.32716336846351624
apply,0.3400125503540039,0.2002597153186798,0.23137710988521576,0.08240219205617905,0.23030845820903778,0.21987341344356537,0.3165875971317291,0.264011949300766,0.22638879716396332,0.3178700804710388,0.31504198908805847,0.2953256368637085,0.33546632528305054,0.2759774923324585,0.31978610157966614,0.34605443477630615,0.3695269823074341,0.3161788284778595
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.3138085603713989,0.187529057264328,0.27200284600257874,0.45010748505592346,0.5345056653022766,0.29394859075546265,0.44245919585227966,0.285117506980896,0.48971283435821533,0.25814008712768555,0.3504326641559601,0.21911276876926422,0.29463258385658264
elements,0.2152351289987564,0.25405067205429077,0.22297804057598114,0.1571807712316513,0.23613712191581726,0.24525977671146393,0.3812161982059479,0.3902134299278259,0.18130259215831757,0.3362616300582886,0.29061099886894226,0.2555456757545471,0.27878278493881226,0.2731180787086487,0.3442215621471405,0.2717064321041107,0.30612683296203613,0.15222592651844025
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.32280945777893066,0.26053673028945923,0.2599511742591858,0.5696388483047485,0.5011631846427917,0.27503931522369385,0.4946078956127167,0.23395369946956635,0.5116966962814331,0.2577259838581085,0.39081433415412903,0.2659633457660675,0.1826142966747284
any,0.43670421838760376,0.35691767930984497,0.4525727927684784,0.1708046793937683,0.3769088089466095,0.3555181324481964,0.3112947940826416,0.32068365812301636,0.3135753571987152,0.5186169743537903,0.3949372172355652,0.3237466514110565,0.3727075457572937,0.3363793194293976,0.3857220411300659,0.40178635716438293,0.31054064631462097,0.4113408327102661
commutative,0.2717517614364624,0.2668941020965576,0.17799828946590424,0.1598174124956131,0.25614190101623535,0.2358204424381256,0.5528533458709717,0.34306588768959045,0.20312683284282684,0.27149274945259094,0.41323038935661316,0.23422667384147644,0.5886710286140442,0.1629025787115097,0.6867476105690002,0.22659838199615479,0.34013694524765015,0.18864132463932037
ring,0.19784773886203766,0.18238547444343567,0.2354331910610199,0.25845640897750854,0.20323021709918976,0.15591934323310852,0.29352647066116333,0.23014818131923676,0.1902257651090622,0.2805452048778534,0.25184541940689087,0.19084720313549042,0.24579700827598572,0.17132091522216797,0.28241294622421265,0.15643514692783356,0.1057792454957962,0.054174330085515976
r,0.14495669305324554,0.16748011112213135,0.1519533395767212,0.17739582061767578,0.22769418358802795,0.16103550791740417,0.21184849739074707,0.12016668170690536,0.15392769873142242,0.14008693397045135,0.15637248754501343,0.22747072577476501,0.21648408472537994,0.18390944600105286,0.2703103721141815,0.07646919041872025,0.13431710004806519,0.16570481657981873
