,when,did,the,untouchables,debut,on,abc,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.18062914907932281,0.23145294189453125,0.46853652596473694,0.1697147786617279,0.20430970191955566
late,0.29498016834259033,0.27609187364578247,0.31481194496154785,0.0935392752289772,0.22902949154376984,0.2571752071380615,0.21952039003372192,0.11339222639799118
1958,0.13660530745983124,0.05006914213299751,0.1250157356262207,0.04475848004221916,0.04728057608008385,0.05597979575395584,-0.041616421192884445,0.009362862445414066
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.3070976436138153,0.2218245416879654,0.49057599902153015,0.2097204476594925,0.31091248989105225
desilu,0.28269162774086,0.20671305060386658,0.37300193309783936,0.2707822322845459,0.18279163539409637,0.23317508399486542,0.1690879613161087,0.13460122048854828
productions,0.15511907637119293,0.19139394164085388,0.2695383131504059,0.39099815487861633,0.284168004989624,0.2536720335483551,0.34230175614356995,0.22681239247322083
pitched,0.25115031003952026,0.18777267634868622,0.21073074638843536,0.18481561541557312,0.24664805829524994,0.17586342990398407,0.22785446047782898,0.1639576405286789
its,0.34032323956489563,0.19922670722007751,0.559237003326416,0.17017759382724762,0.1597193032503128,0.34331920742988586,0.19045390188694,0.15103481709957123
detective,0.24299848079681396,0.12745676934719086,0.23875512182712555,0.3873146176338196,0.17831294238567352,0.16840355098247528,0.22773604094982147,0.12046074122190475
series,0.2194245308637619,0.15581852197647095,0.31376904249191284,0.3745060861110687,0.2827463150024414,0.23828625679016113,0.38518208265304565,0.1709602326154709
the,0.5091903209686279,0.34736719727516174,1.0,0.25308316946029663,0.2226441204547882,0.5107308030128479,0.2068762183189392,0.22068053483963013
untouchables,0.14989465475082397,0.13387489318847656,0.25308316946029663,1.0,0.11116814613342285,0.2787095606327057,0.2923748791217804,0.1972702145576477
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.15470634400844574,0.19055314362049103,0.41031414270401,0.1762417107820511,0.29463258385658264
cbs,0.19047732651233673,0.15259867906570435,0.2283918708562851,0.30645468831062317,0.2403033971786499,0.25146469473838806,0.636570394039154,0.14594407379627228
;,0.022927695885300636,0.10727239400148392,0.09152708947658539,0.052779681980609894,0.1023649126291275,-0.017878999933600426,-0.0012340332614257932,0.10349778085947037
after,0.5331412553787231,0.30330467224121094,0.4565047025680542,0.14061231911182404,0.19235298037528992,0.39330315589904785,0.20314010977745056,0.16608688235282898
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.2386602759361267,0.15335598587989807,0.42569106817245483,0.17440107464790344,0.32716336846351624
