,when,did,representatives,start,working,on,the,finer,details,of,the,deal,?
on,0.37706470489501953,0.2670976221561432,0.19087845087051392,0.2699633240699768,0.2811677157878876,0.9999999403953552,0.5107308030128479,0.12111076712608337,0.21829576790332794,0.3966929316520691,0.5107308030128479,0.24813804030418396,0.2714994251728058
29,0.3535468280315399,0.2972381114959717,0.2866116166114807,0.30667567253112793,0.2936651408672333,0.29165905714035034,0.3374987244606018,0.34657639265060425,0.25075799226760864,0.3091129958629608,0.3374987244606018,0.2753347158432007,0.38368016481399536
february,0.2621206045150757,0.25426602363586426,0.21644720435142517,0.14558133482933044,0.22945265471935272,0.35595810413360596,0.26483774185180664,0.0980076864361763,0.12368980050086975,0.20366249978542328,0.26483774185180664,0.1912480741739273,0.29594847559928894
2008,-0.08004710078239441,-0.07680223137140274,0.09586548060178757,-0.09055693447589874,-0.07692500948905945,-0.0002816536871250719,-0.06530369818210602,-0.12213326245546341,-0.15401306748390198,-0.10678710788488388,-0.06530369818210602,-0.038217298686504364,-0.09852470457553864
",",0.36674630641937256,0.3015086054801941,0.27393093705177307,0.2934366464614868,0.29007792472839355,0.49057599902153015,0.4933079481124878,0.2886384129524231,0.224466934800148,0.4946078956127167,0.4933079481124878,0.2716866135597229,0.31091248989105225
representatives,0.17181353271007538,0.20330315828323364,1.0,0.13357751071453094,0.1471569836139679,0.19087845087051392,0.2691882848739624,0.14095185697078705,0.1688825935125351,0.3133973777294159,0.2691882848739624,0.18595774471759796,0.14079871773719788
of,0.3757161796092987,0.2513895630836487,0.3133973777294159,0.23166994750499725,0.19986772537231445,0.3966929316520691,0.733189046382904,0.20959696173667908,0.25395533442497253,1.0,0.733189046382904,0.22831951081752777,0.1826142966747284
pnu,0.2613179087638855,0.20181907713413239,0.3663584887981415,0.21815969049930573,0.2734231948852539,0.30704838037490845,0.3120071589946747,0.16221971809864044,0.09622208029031754,0.3244759738445282,0.3120071589946747,0.17784273624420166,0.2153494507074356
and,0.4716290831565857,0.34479495882987976,0.21731732785701752,0.2890162169933319,0.30510061979293823,0.4077630043029785,0.5171257257461548,0.3227015435695648,0.2754189074039459,0.5116966962814331,0.5171257257461548,0.2461770474910736,0.20544172823429108
odm,0.19901813566684723,0.11156462132930756,0.1148347482085228,0.19150468707084656,0.15625983476638794,0.1974278837442398,0.28903728723526,0.10822518169879913,0.08149178326129913,0.2945936620235443,0.28903728723526,0.17810286581516266,0.1599399894475937
began,0.25673019886016846,0.4415510594844818,0.1955641508102417,0.41427290439605713,0.27511608600616455,0.29460400342941284,0.3059147596359253,0.048836395144462585,0.15363918244838715,0.2330763041973114,0.3059147596359253,0.19176939129829407,0.1370266228914261
working,0.3169759511947632,0.2788783311843872,0.1471569836139679,0.33042213320732117,1.0,0.2811677157878876,0.25857484340667725,0.20614732801914215,0.21109816431999207,0.19986772537231445,0.25857484340667725,0.2593366205692291,0.17154020071029663
on,0.37706470489501953,0.2670976221561432,0.19087845087051392,0.2699633240699768,0.2811677157878876,0.9999999403953552,0.5107308030128479,0.12111076712608337,0.21829576790332794,0.3966929316520691,0.5107308030128479,0.24813804030418396,0.2714994251728058
the,0.5091903209686279,0.34736719727516174,0.2691882848739624,0.3656389117240906,0.25857484340667725,0.5107308030128479,1.0,0.19328968226909637,0.2639491856098175,0.733189046382904,1.0,0.23069973289966583,0.22068053483963013
finer,0.26633819937705994,0.12565849721431732,0.14095185697078705,0.18222294747829437,0.20614732801914215,0.12111076712608337,0.19328968226909637,1.0,0.2297295778989792,0.20959696173667908,0.19328968226909637,0.15676862001419067,0.23465485870838165
details,0.21162879467010498,0.25880736112594604,0.1688825935125351,0.21012352406978607,0.21109816431999207,0.21829576790332794,0.2639491856098175,0.2297295778989792,1.0,0.25395533442497253,0.2639491856098175,0.22025655210018158,0.2643139362335205
of,0.3757161796092987,0.2513895630836487,0.3133973777294159,0.23166994750499725,0.19986772537231445,0.3966929316520691,0.733189046382904,0.20959696173667908,0.25395533442497253,1.0,0.733189046382904,0.22831951081752777,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.2691882848739624,0.3656389117240906,0.25857484340667725,0.5107308030128479,1.0,0.19328968226909637,0.2639491856098175,0.733189046382904,1.0,0.23069973289966583,0.22068053483963013
power-sharing,0.30187204480171204,0.27899134159088135,0.29724955558776855,0.2740916609764099,0.28088757395744324,0.2762579023838043,0.3338644206523895,0.23599687218666077,0.28244614601135254,0.36679700016975403,0.3338644206523895,0.319845050573349,0.22364217042922974
agreement,0.23616954684257507,0.2812501788139343,0.23718015849590302,0.2244616448879242,0.20044559240341187,0.22078442573547363,0.2490699142217636,0.11777208745479584,0.2100043147802353,0.21259461343288422,0.2490699142217636,0.46442872285842896,0.15830197930335999
.,0.475719153881073,0.35288307070732117,0.253695547580719,0.3501981496810913,0.28468647599220276,0.49257001280784607,0.5934505462646484,0.221886545419693,0.28228437900543213,0.5352458953857422,0.5934505462646484,0.21690496802330017,0.4130953550338745
