,what,is,held,outside,the,formal,legal,ownership,registration,system,in,many,developing,countries,?
in,0.30808621644973755,0.5394441485404968,0.3127288818359375,0.4191201329231262,0.6662389636039734,0.2482539862394333,0.256083607673645,0.22562521696090698,0.2465285360813141,0.21978288888931274,1.0,0.41474202275276184,0.2911061644554138,0.3027990758419037,0.20430970191955566
many,0.36131182312965393,0.2649032473564148,0.20985887944698334,0.3308001160621643,0.4335206151008606,0.24852780997753143,0.2644834518432617,0.2561948001384735,0.2501562535762787,0.2631138563156128,0.41474202275276184,0.9999999403953552,0.3665526807308197,0.4298940598964691,0.2124512493610382
poor,0.2570318877696991,0.18218109011650085,0.056399598717689514,0.21601876616477966,0.21093174815177917,0.22430050373077393,0.1954406499862671,0.20252253115177155,0.1608624905347824,0.17594534158706665,0.23408232629299164,0.31478211283683777,0.3351861238479614,0.25384774804115295,0.12937016785144806
and,0.31309178471565247,0.3859752118587494,0.22757986187934875,0.31803378462791443,0.5171257257461548,0.2337617129087448,0.2664804756641388,0.246654212474823,0.2062888890504837,0.231138214468956,0.4954058527946472,0.5296266674995422,0.294929563999176,0.37200918793678284,0.20544172823429108
developing,0.22094523906707764,0.22658659517765045,0.16554713249206543,0.25255000591278076,0.3203009068965912,0.22193951904773712,0.2408599555492401,0.2146335244178772,0.1549982875585556,0.28239572048187256,0.2911061644554138,0.3665526807308197,1.0,0.39340993762016296,0.1301516592502594
countries,0.22319257259368896,0.254234254360199,0.21833106875419617,0.273200124502182,0.33290645480155945,0.3142836093902588,0.3531281650066376,0.22534571588039398,0.2292790710926056,0.21421954035758972,0.3027990758419037,0.4298940598964691,0.39340993762016296,0.9999999403953552,0.15128466486930847
much,0.45316147804260254,0.3156087100505829,0.10934467613697052,0.2733171582221985,0.35023224353790283,0.22672279179096222,0.2031676322221756,0.24492813646793365,0.2192428708076477,0.29001396894454956,0.2725222110748291,0.4752063453197479,0.32437607645988464,0.2868848145008087,0.23442231118679047
land,0.23411516845226288,0.22457899153232574,0.17132847011089325,0.12296297401189804,0.28587454557418823,0.11920616775751114,0.20504477620124817,0.3698562681674957,0.16187261044979095,0.21588410437107086,0.22871792316436768,0.19642266631126404,0.15955320000648499,0.2139480710029602,0.1432059109210968
and,0.31309178471565247,0.3859752118587494,0.22757986187934875,0.31803378462791443,0.5171257257461548,0.2337617129087448,0.2664804756641388,0.246654212474823,0.2062888890504837,0.231138214468956,0.4954058527946472,0.5296266674995422,0.294929563999176,0.37200918793678284,0.20544172823429108
housing,0.14871764183044434,0.19461371004581451,0.20522208511829376,0.25897863507270813,0.24837790429592133,0.17599597573280334,0.255230575799942,0.2872362732887268,0.23940160870552063,0.21242307126522064,0.255455881357193,0.23347222805023193,0.3153632581233978,0.2653678059577942,0.11872038245201111
