,what,cbs,show,followed,the,super,bowl,?
as,0.31749409437179565,0.21606822311878204,0.30768129229545593,0.24736478924751282,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.27043893933296204
opposed,0.35573211312294006,0.1139892116189003,0.13424715399742126,0.2939518988132477,0.24302934110164642,0.09677048772573471,0.12780041992664337,0.23428945243358612
to,0.455847829580307,0.16981691122055054,0.29833272099494934,0.23444271087646484,0.535392165184021,0.17783479392528534,0.16993016004562378,0.29463258385658264
broadcasts,0.17804105579853058,0.5513425469398499,0.3729591369628906,0.1694236397743225,0.26939961314201355,0.14410768449306488,0.1704699546098709,0.1364026516675949
of,0.33290785551071167,0.16151919960975647,0.21383242309093475,0.3060508966445923,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1826142966747284
primetime,0.24340876936912537,0.48470327258110046,0.4598112106323242,0.19785422086715698,0.304171085357666,0.19532322883605957,0.2709728479385376,0.22593814134597778
series,0.17328087985515594,0.36656585335731506,0.41789430379867554,0.20884594321250916,0.31376904249191284,0.29289674758911133,0.17257773876190186,0.1709602326154709
",",0.3087472915649414,0.18569420278072357,0.31928569078445435,0.3097211718559265,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
cbs,0.1950361132621765,1.0,0.4361982047557831,0.18501600623130798,0.2283918708562851,0.23111854493618011,0.2528696060180664,0.14594407379627228
broadcast,0.17857211828231812,0.5521507263183594,0.43468156456947327,0.23792769014835358,0.2713715434074402,0.1449931412935257,0.18237876892089844,0.15760008990764618
special,0.24134232103824615,0.161833718419075,0.2602277398109436,0.09626791626214981,0.3027077615261078,0.2675681412220001,0.188632994890213,0.29623302817344666
episodes,0.15438014268875122,0.4086119830608368,0.5198086500167847,0.17520123720169067,0.1889590173959732,0.1847994029521942,0.13556480407714844,0.21740183234214783
of,0.33290785551071167,0.16151919960975647,0.21383242309093475,0.3060508966445923,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1826142966747284
its,0.30393704771995544,0.18914800882339478,0.2273027002811432,0.20418477058410645,0.559237003326416,0.14685668051242828,0.15285100042819977,0.15103481709957123
late,0.1576872020959854,0.2876780033111572,0.296935498714447,0.3148308992385864,0.31481194496154785,0.12748323380947113,0.11694638431072235,0.11339222639799118
night,0.20251014828681946,0.2562546133995056,0.24048173427581787,0.15741945803165436,0.2817382514476776,0.14823408424854279,0.19687917828559875,0.13794848322868347
talk,0.4448079466819763,0.25820016860961914,0.32384613156318665,0.1543494462966919,0.2565208673477173,0.1057947501540184,0.16495637595653534,0.6033820509910583
shows,0.30282244086265564,0.3580446243286133,0.6561359167098999,0.27949094772338867,0.36348509788513184,0.09714256972074509,0.16048383712768555,0.2040930688381195
as,0.31749409437179565,0.21606822311878204,0.30768129229545593,0.24736478924751282,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.27043893933296204
its,0.30393704771995544,0.18914800882339478,0.2273027002811432,0.20418477058410645,0.559237003326416,0.14685668051242828,0.15285100042819977,0.15103481709957123
lead-out,0.2306920737028122,0.2464541345834732,0.21156848967075348,0.34718185663223267,0.3851938247680664,0.19523125886917114,0.28199392557144165,0.17134928703308105
programs,0.23178155720233917,0.34687602519989014,0.37699204683303833,0.149624764919281,0.21757709980010986,0.15785470604896545,0.1329975724220276,0.16452431678771973
for,0.3017193675041199,0.20941372215747833,0.3141973614692688,0.2623760402202606,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.264628142118454
super,0.13651713728904724,0.23111854493618011,0.16737808287143707,0.13724663853645325,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.15942467749118805,0.2528696060180664,0.19135026633739471,0.1289443075656891,0.21576224267482758,0.4848237931728363,1.0,0.21118052303791046
50,-0.04124141484498978,-0.030295440927147865,0.13040520250797272,0.10020876675844193,0.03602437674999237,0.0833745002746582,0.005446359980851412,0.030512850731611252
",",0.3087472915649414,0.18569420278072357,0.31928569078445435,0.3097211718559265,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
beginning,0.3351518511772156,0.19618754088878632,0.24543830752372742,0.36619091033935547,0.49622642993927,0.1733865588903427,0.17699073255062103,0.19413669407367706
with,0.2464839518070221,0.20131054520606995,0.3004990220069885,0.35106009244918823,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.2433311939239502
a,0.3320399522781372,0.16314536333084106,0.24886544048786163,0.2840714454650879,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.23916715383529663
special,0.24134232103824615,0.161833718419075,0.2602277398109436,0.09626791626214981,0.3027077615261078,0.2675681412220001,0.188632994890213,0.29623302817344666
episode,0.1919318586587906,0.326662540435791,0.49653249979019165,0.20162226259708405,0.25342556834220886,0.20732815563678741,0.15485282242298126,0.23978739976882935
of,0.33290785551071167,0.16151919960975647,0.21383242309093475,0.3060508966445923,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1826142966747284
the,0.42745697498321533,0.2283918708562851,0.319829523563385,0.3567860722541809,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
late,0.1576872020959854,0.2876780033111572,0.296935498714447,0.3148308992385864,0.31481194496154785,0.12748323380947113,0.11694638431072235,0.11339222639799118
show,0.29653704166412354,0.4361982047557831,0.9999999403953552,0.26399073004722595,0.319829523563385,0.16737808287143707,0.19135026633739471,0.2520138621330261
with,0.2464839518070221,0.20131054520606995,0.3004990220069885,0.35106009244918823,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.2433311939239502
stephen,0.19542662799358368,0.21969963610172272,0.13536235690116882,0.15110506117343903,0.16396762430667877,0.09012158215045929,0.09341801702976227,0.13611415028572083
colbert,0.21056240797042847,0.395621120929718,0.32718732953071594,0.19546546041965485,0.24406598508358002,0.13184314966201782,0.245666041970253,0.2273050993680954
following,0.2506418824195862,0.10160160809755325,0.16061565279960632,0.5081803798675537,0.39779382944107056,0.12383386492729187,0.14499105513095856,0.1555173695087433
the,0.42745697498321533,0.2283918708562851,0.319829523563385,0.3567860722541809,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
game,0.2246788740158081,0.3367152214050293,0.2874241769313812,0.18839426338672638,0.285271555185318,0.3480181396007538,0.2413962334394455,0.1829071193933487
.,0.3567904531955719,0.2350580096244812,0.3016606271266937,0.3200787305831909,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.4130953550338745
