,what,is,the,royal,castle,the,most,interesting,example,of,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2997032403945923,0.21430203318595886,1.0,0.47635307908058167,0.28684279322624207,0.3755223751068115,0.733189046382904,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.18019330501556396,0.156520813703537,0.47635307908058167,1.0,0.36986467242240906,0.3754276633262634,0.4178851246833801,0.2107497900724411
interesting,0.4084731340408325,0.275212824344635,0.28684279322624207,0.13645555078983307,0.17375728487968445,0.28684279322624207,0.36986467242240906,1.0,0.37940114736557007,0.27691543102264404,0.3378506898880005
examples,0.26665759086608887,0.29282552003860474,0.30092597007751465,0.12365814298391342,0.11363290995359421,0.30092597007751465,0.412721186876297,0.32608333230018616,0.7060196995735168,0.3054686188697815,0.19976599514484406
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3112924098968506,0.19318179786205292,0.733189046382904,0.4178851246833801,0.27691543102264404,0.3570667505264282,1.0,0.1826142966747284
mannerist,0.23430460691452026,0.2047925591468811,0.2328609675168991,0.26305678486824036,0.14062197506427765,0.2328609675168991,0.33528876304626465,0.29715338349342346,0.28938916325569153,0.26687318086624146,0.14246462285518646
architecture,0.23286667466163635,0.19717231392860413,0.24488379061222076,0.18470174074172974,0.19030490517616272,0.24488379061222076,0.23562611639499664,0.2655516266822815,0.24465352296829224,0.2756515443325043,0.14343059062957764
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.14004361629486084,0.10542076826095581,0.40399202704429626,0.48698675632476807,0.35228970646858215,0.4108889698982239,0.39081433415412903,0.24591213464736938
the,0.42745697498321533,0.5823672413825989,1.0,0.2997032403945923,0.21430203318595886,1.0,0.47635307908058167,0.28684279322624207,0.3755223751068115,0.733189046382904,0.22068053483963013
royal,0.16189028322696686,0.15478424727916718,0.2997032403945923,0.9999999403953552,0.1769811511039734,0.2997032403945923,0.18019330501556396,0.13645555078983307,0.14055904746055603,0.3112924098968506,0.11453001946210861
castle,0.15708477795124054,0.17311879992485046,0.21430203318595886,0.1769811511039734,0.9999999403953552,0.21430203318595886,0.156520813703537,0.17375728487968445,0.10413477569818497,0.19318179786205292,0.0871945396065712
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.16812478005886078,0.11488348245620728,0.33289089798927307,0.20654040575027466,0.14383012056350708,0.23614145815372467,0.35032153129577637,0.40561532974243164
1596–1619,-0.0672692060470581,0.012374513782560825,0.02059444971382618,0.09332801401615143,0.09138765186071396,0.02059444971382618,0.03155714273452759,-0.05780211463570595,-0.11547587066888809,0.059125613421201706,-0.032197289168834686
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.17675328254699707,0.1295752078294754,0.3456730246543884,0.23620007932186127,0.1623568832874298,0.26101627945899963,0.3680361211299896,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24934640526771545,0.18904168903827667,0.5171257257461548,0.4309377074241638,0.26201945543289185,0.35305824875831604,0.5116966962814331,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.2997032403945923,0.21430203318595886,1.0,0.47635307908058167,0.28684279322624207,0.3755223751068115,0.733189046382904,0.22068053483963013
jesuit,0.16700662672519684,0.12302536517381668,0.18913915753364563,0.21893371641635895,0.18179912865161896,0.18913915753364563,0.14067651331424713,0.13080599904060364,0.12049531936645508,0.23563922941684723,0.14314240217208862
church,0.1944202184677124,0.203276589512825,0.23846197128295898,0.17223063111305237,0.3150186240673065,0.23846197128295898,0.1584939956665039,0.1651517152786255,0.19024835526943207,0.3079429268836975,0.18081501126289368
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.16812478005886078,0.11488348245620728,0.33289089798927307,0.20654040575027466,0.14383012056350708,0.23614145815372467,0.35032153129577637,0.40561532974243164
1609–1626,0.2177061289548874,0.10030272603034973,0.28762155771255493,0.09010300785303116,0.13794516026973724,0.28762155771255493,0.20389391481876373,0.06022968888282776,0.15843944251537323,0.24782676994800568,0.1054612323641777
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.17675328254699707,0.1295752078294754,0.3456730246543884,0.23620007932186127,0.1623568832874298,0.26101627945899963,0.3680361211299896,0.42300865054130554
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.23294612765312195,0.18407873809337616,0.457212895154953,0.22451047599315643,0.2740882337093353,0.21853865683078766,0.42558613419532776,0.21978627145290375
old,0.22117848694324493,0.24332627654075623,0.31849798560142517,0.15095630288124084,0.2634240984916687,0.31849798560142517,0.16599895060062408,0.2834272086620331,0.20684204995632172,0.30522194504737854,0.20577076077461243
town,0.19713185727596283,0.30097827315330505,0.2974243760108948,0.21739785373210907,0.3917878568172455,0.2974243760108948,0.15897034108638763,0.13998770713806152,0.1571035385131836,0.26585668325424194,0.09902279824018478
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.19540183246135712,0.1885698437690735,0.5934505462646484,0.35404038429260254,0.33105719089508057,0.41217929124832153,0.5352458953857422,0.4130953550338745
