,going,to,jail,accomplished,what,goal,of,civil,disobedience,?
howard,0.11676609516143799,0.11114994436502457,0.1423400640487671,0.10607527196407318,0.11493710428476334,0.08180198818445206,0.19389913976192474,0.16408291459083557,0.21624082326889038,0.0705622211098671
zinn,0.08779704570770264,0.0559074804186821,0.18864406645298004,0.0937788188457489,0.11200705170631409,0.08138911426067352,0.13446861505508423,0.16584081947803497,0.21332736313343048,0.16728205978870392
writes,0.2359175980091095,0.24121487140655518,0.21629159152507782,0.2874220013618469,0.31006428599357605,0.16145820915699005,0.2183077037334442,0.18793687224388123,0.3484453856945038,0.17896029353141785
",",0.2957560122013092,0.44245919585227966,0.2607647180557251,0.28560152649879456,0.3087472915649414,0.2145523726940155,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
``,7.727150659775361e-05,0.06720756739377975,0.02422240749001503,0.048879221081733704,0.008517155423760414,0.01941765658557415,0.06780257821083069,0.06784805655479431,0.06214885041117668,0.0685480609536171
there,0.4239901304244995,0.40669289231300354,0.23753885924816132,0.27199727296829224,0.35085538029670715,0.19000452756881714,0.44397735595703125,0.2768925428390503,0.23306922614574432,0.29405656456947327
may,0.26205822825431824,0.391582727432251,0.2064858376979828,0.19499608874320984,0.25739946961402893,0.18496257066726685,0.26447007060050964,0.1700199544429779,0.24693389236927032,0.2768254578113556
be,0.3445846438407898,0.4972836375236511,0.20116743445396423,0.3384593725204468,0.3929833769798279,0.19475089013576508,0.33904364705085754,0.18061059713363647,0.2944406270980835,0.3324260413646698
many,0.3029370903968811,0.40243685245513916,0.23872247338294983,0.264305055141449,0.36131182312965393,0.11800757050514221,0.37253960967063904,0.2212105095386505,0.2810143232345581,0.2124512493610382
times,0.26464512944221497,0.32875269651412964,0.18798980116844177,0.19043730199337006,0.21414996683597565,0.13551335036754608,0.24352745711803436,0.11522168666124344,0.14712707698345184,0.18880689144134521
when,0.38755396008491516,0.5423505902290344,0.23283123970031738,0.23864521086215973,0.4700249433517456,0.16456450521945953,0.3757161796092987,0.14899945259094238,0.2761690020561218,0.22841128706932068
protesters,0.23175148665905,0.26689815521240234,0.3967430591583252,0.14127367734909058,0.16313575208187103,0.143607035279274,0.2199576050043106,0.32047852873802185,0.4898046851158142,0.16273485124111176
choose,0.3770454227924347,0.38412243127822876,0.16384008526802063,0.1978401094675064,0.37237128615379333,0.2171657532453537,0.33839884400367737,0.1378699243068695,0.22345413267612457,0.2863835394382477
to,0.5117058157920837,1.0,0.22650986909866333,0.2549437880516052,0.455847829580307,0.37094977498054504,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
go,0.5969638228416443,0.384844571352005,0.2595185935497284,0.12083431333303452,0.35329025983810425,0.2081826627254486,0.21881330013275146,0.10541101545095444,0.18234911561012268,0.25942572951316833
to,0.5117058157920837,1.0,0.22650986909866333,0.2549437880516052,0.455847829580307,0.37094977498054504,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
jail,0.25897204875946045,0.22650986909866333,0.9999999403953552,0.15608301758766174,0.18833428621292114,0.14691658318042755,0.1333254873752594,0.2882981300354004,0.37023699283599854,0.16329234838485718
",",0.2957560122013092,0.44245919585227966,0.2607647180557251,0.28560152649879456,0.3087472915649414,0.2145523726940155,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
as,0.28290167450904846,0.42092081904411316,0.16920879483222961,0.322011262178421,0.31749409437179565,0.17705819010734558,0.3886612355709076,0.18100082874298096,0.25773370265960693,0.27043893933296204
a,0.3356470763683319,0.45503583550453186,0.20816455781459808,0.2519665062427521,0.3320399522781372,0.20853768289089203,0.5052502155303955,0.21693918108940125,0.25352153182029724,0.23916715383529663
way,0.4243236780166626,0.4772548973560333,0.19468265771865845,0.28122594952583313,0.4835909903049469,0.3393428921699524,0.266871839761734,0.19996517896652222,0.31525278091430664,0.31575819849967957
of,0.2849585711956024,0.41548454761505127,0.1333254873752594,0.25853025913238525,0.33290785551071167,0.1838325709104538,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
continuing,0.41561800241470337,0.35663074254989624,0.17000265419483185,0.3420194089412689,0.28147760033607483,0.18999886512756348,0.267429918050766,0.23849377036094666,0.3230172097682953,0.16484299302101135
their,0.3068021833896637,0.44619059562683105,0.16749262809753418,0.22740785777568817,0.35142919421195984,0.2400694042444229,0.4329940676689148,0.18000862002372742,0.31147265434265137,0.1898253709077835
protest,0.1972249448299408,0.22359536588191986,0.37792471051216125,0.2043953239917755,0.20248152315616608,0.19678783416748047,0.24564224481582642,0.29364001750946045,0.5334797501564026,0.1878921240568161
",",0.2957560122013092,0.44245919585227966,0.2607647180557251,0.28560152649879456,0.3087472915649414,0.2145523726940155,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
as,0.28290167450904846,0.42092081904411316,0.16920879483222961,0.322011262178421,0.31749409437179565,0.17705819010734558,0.3886612355709076,0.18100082874298096,0.25773370265960693,0.27043893933296204
a,0.3356470763683319,0.45503583550453186,0.20816455781459808,0.2519665062427521,0.3320399522781372,0.20853768289089203,0.5052502155303955,0.21693918108940125,0.25352153182029724,0.23916715383529663
way,0.4243236780166626,0.4772548973560333,0.19468265771865845,0.28122594952583313,0.4835909903049469,0.3393428921699524,0.266871839761734,0.19996517896652222,0.31525278091430664,0.31575819849967957
of,0.2849585711956024,0.41548454761505127,0.1333254873752594,0.25853025913238525,0.33290785551071167,0.1838325709104538,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
reminding,0.41256433725357056,0.3657016456127167,0.19157308340072632,0.3326481580734253,0.4562476575374603,0.2035580575466156,0.2772737741470337,0.188723623752594,0.33320924639701843,0.3254169821739197
their,0.3068021833896637,0.44619059562683105,0.16749262809753418,0.22740785777568817,0.35142919421195984,0.2400694042444229,0.4329940676689148,0.18000862002372742,0.31147265434265137,0.1898253709077835
