,what,type,of,ideals,generalize,prime,elements,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2416277676820755,0.22855235636234283,0.18097394704818726,0.18130259215831757,0.20430970191955566
ring,0.19784773886203766,0.12507514655590057,0.20323021709918976,0.16379612684249878,0.19059956073760986,0.1277114599943161,0.17715971171855927,0.054174330085515976
theory,0.297923743724823,0.22037149965763092,0.23506702482700348,0.3738692104816437,0.36378031969070435,0.15658484399318695,0.26775962114334106,0.1387292891740799
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19077056646347046,0.21585451066493988,0.2565026581287384,0.2555456757545471,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3200533390045166,0.22620953619480133,0.19960100948810577,0.22297804057598114,0.22068053483963013
notion,0.3655226528644562,0.1421927809715271,0.23985852301120758,0.48413529992103577,0.3998124897480011,0.1148795485496521,0.30238693952560425,0.20487375557422638
of,0.33290785551071167,0.18112817406654358,1.0,0.3695777654647827,0.2644408345222473,0.23935265839099884,0.23613712191581726,0.1826142966747284
number,0.23046229779720306,0.2370503842830658,0.2778518795967102,0.2073623090982437,0.2917324900627136,0.2556258738040924,0.23878861963748932,0.19256845116615295
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2155078649520874,0.2528080940246582,0.16680827736854553,0.25405067205429077,0.22961433231830597
generally,0.40614598989486694,0.30597037076950073,0.3127037584781647,0.32007357478141785,0.4936303496360779,0.10912496596574783,0.28620561957359314,0.23411904275417328
replaced,0.12975038588047028,0.14176277816295624,0.20067165791988373,0.10845015943050385,0.12930941581726074,0.22547508776187897,0.15791267156600952,0.14945141971111298
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.2559386193752289,0.30167636275291443,0.09384632855653763,0.20816650986671448,0.2433311939239502
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.29820695519447327,0.36846017837524414,0.18163643777370453,0.30113428831100464,0.32716336846351624
of,0.33290785551071167,0.18112817406654358,1.0,0.3695777654647827,0.2644408345222473,0.23935265839099884,0.23613712191581726,0.1826142966747284
ideal,0.31059911847114563,0.13582223653793335,0.2763390839099884,0.6696335077285767,0.3189365267753601,0.09945301711559296,0.21480126678943634,0.13358637690544128
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19083291292190552,0.2582898437976837,0.17658381164073944,0.2422238141298294,0.4130953550338745
