,for,what,reason,would,someone,avoid,crimes,while,protesting,?
likewise,0.3012573719024658,0.3193172216415405,0.27425336837768555,0.44508126378059387,0.29945796728134155,0.339116632938385,0.165061354637146,0.2970969080924988,0.22567333281040192,0.2001093626022339
",",0.4464869201183319,0.3087472915649414,0.24553878605365753,0.32586824893951416,0.23755213618278503,0.22226782143115997,0.25634410977363586,0.38232675194740295,0.3004133105278015,0.31091248989105225
a,0.44038116931915283,0.3320399522781372,0.29122111201286316,0.398599237203598,0.4145890474319458,0.2583659291267395,0.17391081154346466,0.3733035624027252,0.2591511309146881,0.23916715383529663
protestor,0.16387668251991272,0.14283908903598785,0.15902495384216309,0.20162343978881836,0.19132182002067566,0.09256191551685333,0.3232124149799347,0.2133227437734604,0.7776390314102173,0.17670513689517975
who,0.37110671401023865,0.40942975878715515,0.2741321325302124,0.3632977604866028,0.47259387373924255,0.14522388577461243,0.3034810721874237,0.4068111777305603,0.24106939136981964,0.26220351457595825
attempts,0.17444108426570892,0.192328080534935,0.1942470371723175,0.27631208300590515,0.18953843414783478,0.2672314941883087,0.2284049242734909,0.28929126262664795,0.19178993999958038,0.09428907185792923
to,0.4451248347759247,0.455847829580307,0.3437597155570984,0.5965728163719177,0.38986673951148987,0.33193957805633545,0.22908863425254822,0.43899232149124146,0.2454739362001419,0.29463258385658264
escape,0.18293485045433044,0.21352531015872955,0.10919413715600967,0.20258553326129913,0.15627361834049225,0.36093881726264954,0.25409406423568726,0.2732771933078766,0.2199370265007019,0.11586874723434448
punishment,0.25197941064834595,0.31300443410873413,0.25018009543418884,0.30346667766571045,0.28967660665512085,0.2643055319786072,0.53475421667099,0.2459508180618286,0.29483357071876526,0.23842233419418335
by,0.3248702883720398,0.2455483376979828,0.18194518983364105,0.28394925594329834,0.21211211383342743,0.2726847231388092,0.21490468084812164,0.3083919286727905,0.21867947280406952,0.17966607213020325
committing,0.32693278789520264,0.3401558995246887,0.2979724109172821,0.31387409567832947,0.40711501240730286,0.3375912606716156,0.637768030166626,0.3849085867404938,0.38500526547431946,0.23165062069892883
the,0.4739971458911896,0.42745697498321533,0.29647648334503174,0.4133751392364502,0.2575405538082123,0.24833035469055176,0.2557377517223358,0.39804592728614807,0.30172768235206604,0.22068053483963013
crime,0.226662740111351,0.24425745010375977,0.18368542194366455,0.19322024285793304,0.292934387922287,0.14800633490085602,0.770179271697998,0.13640600442886353,0.22847290337085724,0.2067868858575821
