,the,loss,of,biodiversity,may,be,the,result,of,what,",",according,to,environmentalists,?
environmentalists,0.21014922857284546,0.18697437644004822,0.19656090438365936,0.496060311794281,0.2594869136810303,0.22962819039821625,0.21014922857284546,0.19360557198524475,0.19656090438365936,0.19048456847667694,0.290305495262146,0.23690521717071533,0.23313525319099426,1.0,0.1933346390724182
are,0.40399202704429626,0.16403886675834656,0.39081433415412903,0.25296828150749207,0.3162533640861511,0.5556803941726685,0.40399202704429626,0.18835392594337463,0.39081433415412903,0.29724663496017456,0.4062570035457611,0.22847512364387512,0.3504326641559601,0.30557140707969666,0.24591213464736938
concerned,0.2822320759296417,0.2654512822628021,0.3373318910598755,0.3109091520309448,0.21350133419036865,0.31778281927108765,0.2822320759296417,0.2922791838645935,0.3373318910598755,0.41510701179504395,0.3247314691543579,0.24932512640953064,0.3205902576446533,0.31629782915115356,0.27800148725509644
about,0.37995871901512146,0.15215207636356354,0.40939709544181824,0.23264551162719727,0.2019033581018448,0.26362910866737366,0.37995871901512146,0.1532125622034073,0.40939709544181824,0.47976887226104736,0.3877100944519043,0.31907105445861816,0.391953706741333,0.21960940957069397,0.302409827709198
loss,0.27898719906806946,0.9999999403953552,0.26357072591781616,0.31837961077690125,0.20131517946720123,0.18728984892368317,0.27898719906806946,0.32832640409469604,0.26357072591781616,0.21803489327430725,0.23328691720962524,0.08424648642539978,0.2457711398601532,0.18697437644004822,0.1312553584575653
of,0.733189046382904,0.26357072591781616,1.0,0.3051343262195587,0.26447007060050964,0.33904364705085754,0.733189046382904,0.231380432844162,1.0,0.33290785551071167,0.4946078956127167,0.3307822346687317,0.41548454761505127,0.19656090438365936,0.1826142966747284
biodiversity,0.2809895873069763,0.31837961077690125,0.3051343262195587,1.0,0.13732506334781647,0.2265138477087021,0.2809895873069763,0.1762409508228302,0.3051343262195587,0.24376149475574493,0.1877853274345398,0.19573506712913513,0.2645370662212372,0.496060311794281,0.12075836956501007
that,0.5473989248275757,0.26437413692474365,0.41498205065727234,0.2815541923046112,0.4234136641025543,0.6036020517349243,0.5473989248275757,0.3031747341156006,0.41498205065727234,0.6297725439071655,0.4137537479400635,0.29146862030029297,0.5436353087425232,0.2557125389575958,0.32716336846351624
will,0.3635469079017639,0.187751904129982,0.2473582625389099,0.17809756100177765,0.4277452528476715,0.4925616979598999,0.3635469079017639,0.2994154691696167,0.2473582625389099,0.3510494530200958,0.29706671833992004,0.1628442406654358,0.5091033577919006,0.24990232288837433,0.35046905279159546
result,0.27778977155685425,0.32832640409469604,0.231380432844162,0.1762409508228302,0.2497289925813675,0.3516577184200287,0.27778977155685425,1.0000001192092896,0.231380432844162,0.19945499300956726,0.23341737687587738,0.20988747477531433,0.23653174936771393,0.19360557198524475,0.17218433320522308
from,0.40150508284568787,0.14446182548999786,0.4249346852302551,0.19138310849666595,0.23997589945793152,0.3107333183288574,0.40150508284568787,0.2199978530406952,0.4249346852302551,0.2737620174884796,0.39760664105415344,0.24556046724319458,0.4069952368736267,0.1935180425643921,0.19969791173934937
destruction,0.3148382306098938,0.37946903705596924,0.30908554792404175,0.32286667823791504,0.10790888965129852,0.18019293248653412,0.3148382306098938,0.28273341059684753,0.30908554792404175,0.22247105836868286,0.2109706848859787,0.20087340474128723,0.22507941722869873,0.27406227588653564,0.12016301602125168
of,0.733189046382904,0.26357072591781616,1.0,0.3051343262195587,0.26447007060050964,0.33904364705085754,0.733189046382904,0.231380432844162,1.0,0.33290785551071167,0.4946078956127167,0.3307822346687317,0.41548454761505127,0.19656090438365936,0.1826142966747284
the,1.0,0.27898719906806946,0.733189046382904,0.2809895873069763,0.2694292366504669,0.4248143136501312,1.0,0.27778977155685425,0.733189046382904,0.42745697498321533,0.4933079481124878,0.3202974498271942,0.535392165184021,0.21014922857284546,0.22068053483963013
forest,0.24134553968906403,0.18736384809017181,0.2309139519929886,0.33806565403938293,0.15010444819927216,0.1282939463853836,0.24134553968906403,0.09188102185726166,0.2309139519929886,0.15328429639339447,0.2901519536972046,0.16532346606254578,0.1971547156572342,0.2526702880859375,0.1214437186717987
",",0.4933079481124878,0.23328691720962524,0.4946078956127167,0.1877853274345398,0.5007920861244202,0.39254459738731384,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.3087472915649414,1.0000001192092896,0.3107093870639801,0.44245919585227966,0.290305495262146,0.31091248989105225
and,0.5171257257461548,0.20191490650177002,0.5116966962814331,0.28693342208862305,0.34598252177238464,0.41766801476478577,0.5171257257461548,0.27436327934265137,0.5116966962814331,0.31309178471565247,0.6633074283599854,0.30645591020584106,0.48971283435821533,0.28289034962654114,0.20544172823429108
also,0.6021018624305725,0.2555767595767975,0.4924938678741455,0.29976412653923035,0.3555105924606323,0.48342031240463257,0.6021018624305725,0.23892827332019806,0.4924938678741455,0.42747777700424194,0.4717654287815094,0.27162909507751465,0.5348826050758362,0.27284476161003113,0.21848613023757935
about,0.37995871901512146,0.15215207636356354,0.40939709544181824,0.23264551162719727,0.2019033581018448,0.26362910866737366,0.37995871901512146,0.1532125622034073,0.40939709544181824,0.47976887226104736,0.3877100944519043,0.31907105445861816,0.391953706741333,0.21960940957069397,0.302409827709198
the,1.0,0.27898719906806946,0.733189046382904,0.2809895873069763,0.2694292366504669,0.4248143136501312,1.0,0.27778977155685425,0.733189046382904,0.42745697498321533,0.4933079481124878,0.3202974498271942,0.535392165184021,0.21014922857284546,0.22068053483963013
release,0.2814774513244629,0.15902872383594513,0.1866096556186676,0.22556094825267792,0.19647768139839172,0.25474002957344055,0.2814774513244629,0.11178626120090485,0.1866096556186676,0.19122223556041718,0.228392094373703,0.11170852929353714,0.2868979573249817,0.17861558496952057,0.14489315450191498
of,0.733189046382904,0.26357072591781616,1.0,0.3051343262195587,0.26447007060050964,0.33904364705085754,0.733189046382904,0.231380432844162,1.0,0.33290785551071167,0.4946078956127167,0.3307822346687317,0.41548454761505127,0.19656090438365936,0.1826142966747284
the,1.0,0.27898719906806946,0.733189046382904,0.2809895873069763,0.2694292366504669,0.4248143136501312,1.0,0.27778977155685425,0.733189046382904,0.42745697498321533,0.4933079481124878,0.3202974498271942,0.535392165184021,0.21014922857284546,0.22068053483963013
carbon,0.23183570802211761,0.19843964278697968,0.22596238553524017,0.3443957269191742,0.18165461719036102,0.2683018147945404,0.23183570802211761,0.1544419229030609,0.22596238553524017,0.22238978743553162,0.21631208062171936,0.14263707399368286,0.2865152955055237,0.2697942554950714,0.19040444493293762
contained,0.31440216302871704,0.1328442394733429,0.37918418645858765,0.20166315138339996,0.1501915454864502,0.34009167551994324,0.31440216302871704,0.1706724911928177,0.37918418645858765,0.18997789919376373,0.2537172734737396,0.25199493765830994,0.21074968576431274,0.15793955326080322,0.171995609998703
within,0.39827480912208557,0.11874246597290039,0.39594778418540955,0.2697544991970062,0.21352408826351166,0.29054832458496094,0.39827480912208557,0.22260376811027527,0.39594778418540955,0.2498195916414261,0.2513136863708496,0.2378522753715515,0.34980177879333496,0.25927039980888367,0.1870293766260147
the,1.0,0.27898719906806946,0.733189046382904,0.2809895873069763,0.2694292366504669,0.4248143136501312,1.0,0.27778977155685425,0.733189046382904,0.42745697498321533,0.4933079481124878,0.3202974498271942,0.535392165184021,0.21014922857284546,0.22068053483963013
vegetation,0.27478766441345215,0.23180359601974487,0.2547335922718048,0.49261489510536194,0.1781288981437683,0.2245146781206131,0.27478766441345215,0.1771833896636963,0.2547335922718048,0.2184489667415619,0.25971779227256775,0.12644144892692566,0.2658894658088684,0.3687821626663208,0.10736152529716492
",",0.4933079481124878,0.23328691720962524,0.4946078956127167,0.1877853274345398,0.5007920861244202,0.39254459738731384,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.3087472915649414,1.0000001192092896,0.3107093870639801,0.44245919585227966,0.290305495262146,0.31091248989105225
which,0.6521818041801453,0.29022935032844543,0.5011631846427917,0.348020076751709,0.23536433279514313,0.476310670375824,0.6521818041801453,0.31989866495132446,0.5011631846427917,0.5261979103088379,0.3658004403114319,0.28790292143821716,0.5345056653022766,0.2320893257856369,0.25814583897590637
could,0.35393214225769043,0.2578759789466858,0.29043012857437134,0.15264008939266205,0.41583991050720215,0.4791525900363922,0.35393214225769043,0.2621804475784302,0.29043012857437134,0.4188697934150696,0.27399855852127075,0.18885309994220734,0.5461788773536682,0.20132595300674438,0.3411986827850342
accelerate,0.23939219117164612,0.19076964259147644,0.22214916348457336,0.28142720460891724,0.13896344602108002,0.29946038126945496,0.23939219117164612,0.27063578367233276,0.22214916348457336,0.26969650387763977,0.19132904708385468,0.22324544191360474,0.2899765968322754,0.20780150592327118,0.143491730093956
global,0.17898012697696686,0.14987435936927795,0.19114547967910767,0.4021555185317993,0.14656244218349457,0.1929779201745987,0.17898012697696686,0.2292349934577942,0.19114547967910767,0.21706031262874603,0.1937657743692398,0.2713129222393036,0.21649709343910217,0.386680543422699,0.22985349595546722
warming,0.28771063685417175,0.27740368247032166,0.279348224401474,0.49114248156547546,0.1927744746208191,0.2076020985841751,0.28771063685417175,0.27692264318466187,0.279348224401474,0.28293129801750183,0.24254320561885834,0.2542117238044739,0.3203888237476349,0.43628889322280884,0.24314598739147186
.,0.5934505462646484,0.21266451478004456,0.5352458953857422,0.23720817267894745,0.35826805233955383,0.4383580684661865,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.3567904531955719,0.6812511086463928,0.29052162170410156,0.4645031690597534,0.26770803332328796,0.4130953550338745
