,what,does,factorization,of,prime,ideals,approximate,?
for,0.3017193675041199,0.35159170627593994,0.34491053223609924,0.4185989499092102,0.17833133041858673,0.26136305928230286,0.1537155658006668,0.264628142118454
example,0.3456268310546875,0.3593006134033203,0.433638334274292,0.3570667505264282,0.16545042395591736,0.2907806634902954,0.2676169276237488,0.30374911427497864
",",0.3087472915649414,0.28617382049560547,0.2755889594554901,0.4946078956127167,0.2565026581287384,0.19077056646347046,0.295393705368042,0.31091248989105225
factorization,0.27966898679733276,0.2855025827884674,0.9999999403953552,0.3057559132575989,0.3163364827632904,0.28942787647247314,0.21661458909511566,0.27631670236587524
or,0.33867141604423523,0.4248845875263214,0.3383924663066864,0.3792596757411957,0.12635108828544617,0.25060632824897766,0.16325752437114716,0.32389625906944275
ramification,0.3450964689254761,0.29787713289260864,0.41017577052116394,0.3135083317756653,0.15251781046390533,0.2884998619556427,0.2729310691356659,0.2974570095539093
of,0.33290785551071167,0.3119818866252899,0.3057559132575989,1.0,0.23935265839099884,0.3695777654647827,0.3613054156303406,0.1826142966747284
prime,0.15586113929748535,0.19604897499084473,0.3163364827632904,0.23935265839099884,1.0,0.11902778595685959,0.21108534932136536,0.11276303976774216
ideals,0.28476682305336,0.21892738342285156,0.28942787647247314,0.3695777654647827,0.11902778595685959,1.0,0.31084853410720825,0.05933374539017677
when,0.4700249433517456,0.3380102217197418,0.32339149713516235,0.3757161796092987,0.1445009857416153,0.21436791121959686,0.17110572755336761,0.22841128706932068
lifted,0.2437431961297989,0.25176310539245605,0.15258550643920898,0.22540242969989777,0.15515072643756866,0.15909084677696228,0.11319873481988907,0.17788587510585785
to,0.455847829580307,0.4391997456550598,0.29614752531051636,0.41548454761505127,0.2015804797410965,0.2979855537414551,0.23067569732666016,0.29463258385658264
an,0.2821882665157318,0.29477936029434204,0.20126646757125854,0.32280945777893066,0.08209051191806793,0.20246995985507965,0.1602228730916977,0.19793890416622162
extension,0.24965603649616241,0.21968643367290497,0.25068017840385437,0.20317310094833374,0.04840638116002083,0.15037964284420013,0.15983635187149048,0.24237069487571716
field,0.1825202852487564,0.1662576049566269,0.1866939514875412,0.20410659909248352,0.08071085810661316,0.24093496799468994,0.1985369324684143,0.11279727518558502
",",0.3087472915649414,0.28617382049560547,0.2755889594554901,0.4946078956127167,0.2565026581287384,0.19077056646347046,0.295393705368042,0.31091248989105225
a,0.3320399522781372,0.38201746344566345,0.31564444303512573,0.5052502155303955,0.17998681962490082,0.27434077858924866,0.24857638776302338,0.23916715383529663
basic,0.3564627468585968,0.30405670404434204,0.2790661156177521,0.2817785441875458,0.11374537646770477,0.271602064371109,0.25214123725891113,0.26534420251846313
problem,0.42183366417884827,0.27746546268463135,0.4367295503616333,0.20464475452899933,0.19579747319221497,0.2346014529466629,0.2392386645078659,0.3762950301170349
of,0.33290785551071167,0.3119818866252899,0.3057559132575989,1.0,0.23935265839099884,0.3695777654647827,0.3613054156303406,0.1826142966747284
algebraic,0.20285184681415558,0.24990472197532654,0.4135825037956238,0.26053673028945923,0.19524182379245758,0.3017883598804474,0.3531111180782318,0.2315273880958557
number,0.23046229779720306,0.1831183135509491,0.3615756332874298,0.2778518795967102,0.2556258738040924,0.2073623090982437,0.2885492742061615,0.19256845116615295
theory,0.297923743724823,0.18013693392276764,0.3900076150894165,0.23506702482700348,0.15658484399318695,0.3738692104816437,0.23623159527778625,0.1387292891740799
",",0.3087472915649414,0.28617382049560547,0.2755889594554901,0.4946078956127167,0.2565026581287384,0.19077056646347046,0.295393705368042,0.31091248989105225
bears,0.19530993700027466,0.2131611853837967,0.041393015533685684,0.24048352241516113,0.07051000744104385,0.12346860766410828,0.09131447225809097,0.13283714652061462
some,0.4491020441055298,0.39611563086509705,0.30622410774230957,0.4300730526447296,0.12270823866128922,0.2952209413051605,0.22226503491401672,0.2562315762042999
resemblance,0.26617148518562317,0.18775826692581177,0.1799793243408203,0.2490781843662262,0.08990447223186493,0.27725768089294434,0.20336447656154633,0.1501987725496292
with,0.2464839518070221,0.26186925172805786,0.1747703105211258,0.41827285289764404,0.09384632855653763,0.2559386193752289,0.16317197680473328,0.2433311939239502
ramification,0.3450964689254761,0.29787713289260864,0.41017577052116394,0.3135083317756653,0.15251781046390533,0.2884998619556427,0.2729310691356659,0.2974570095539093
in,0.30808621644973755,0.214483380317688,0.24751658737659454,0.5696388483047485,0.18097394704818726,0.2416277676820755,0.23006528615951538,0.20430970191955566
geometry,0.25101879239082336,0.15838807821273804,0.40418726205825806,0.25824105739593506,0.2223961055278778,0.3216474950313568,0.35494551062583923,0.15790875256061554
.,0.3567904531955719,0.3022993505001068,0.27803143858909607,0.5352458953857422,0.17658381164073944,0.19083291292190552,0.23228071630001068,0.4130953550338745
