,what,is,the,principle,that,states,that,with,sedimentary,rocks,",",inclusions,must,be,older,than,the,formation,that,contains,them,?
the,0.42745697498321533,0.5823672413825989,1.0,0.24017377197742462,0.5473989248275757,0.3463578522205353,0.5473989248275757,0.4223487675189972,0.2576860189437866,0.24413059651851654,0.4933079481124878,0.24164175987243652,0.2713140547275543,0.4248143136501312,0.21663418412208557,0.3227543234825134,1.0,0.33687281608581543,0.5473989248275757,0.2846323549747467,0.4788833558559418,0.22068053483963013
principle,0.3569014072418213,0.20634804666042328,0.24017377197742462,1.0,0.3780646324157715,0.21008890867233276,0.3780646324157715,0.21926715970039368,0.285780668258667,0.22027553617954254,0.22548964619636536,0.35612988471984863,0.293574720621109,0.26358863711357117,0.10696261376142502,0.1512874811887741,0.24017377197742462,0.3123243451118469,0.3780646324157715,0.12233775854110718,0.2692437767982483,0.2002675086259842
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2430231273174286,0.41498205065727234,0.30884552001953125,0.41498205065727234,0.41827285289764404,0.30878832936286926,0.2664484679698944,0.4946078956127167,0.3065246045589447,0.24322323501110077,0.33904364705085754,0.23717735707759857,0.33036211133003235,0.733189046382904,0.2957320809364319,0.41498205065727234,0.34575599431991577,0.34503093361854553,0.1826142966747284
inclusions,0.34958744049072266,0.2591908276081085,0.24164175987243652,0.35612988471984863,0.3471214175224304,0.1993328183889389,0.3471214175224304,0.22900378704071045,0.31268346309661865,0.26138752698898315,0.30702945590019226,1.0,0.33228549361228943,0.33553463220596313,0.1877148598432541,0.22386880218982697,0.24164175987243652,0.22696112096309662,0.3471214175224304,0.34103506803512573,0.32596540451049805,0.3281819224357605
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.18017759919166565,0.4731321930885315,0.2974761426448822,0.4731321930885315,0.5477725267410278,0.30291467905044556,0.29739323258399963,0.6633074283599854,0.3139456808567047,0.33253467082977295,0.41766801476478577,0.3224782347679138,0.39361441135406494,0.5171257257461548,0.22940734028816223,0.4731321930885315,0.27121078968048096,0.48717668652534485,0.20544172823429108
components,0.20314843952655792,0.2754068970680237,0.30344057083129883,0.32626110315322876,0.2997816801071167,0.18015803396701813,0.2997816801071167,0.23757219314575195,0.335700124502182,0.2980457842350006,0.20591874420642853,0.36407536268234253,0.3314388394355774,0.3568338453769684,0.18379847705364227,0.24287836253643036,0.30344057083129883,0.26092156767845154,0.2997816801071167,0.3271438181400299,0.2884095013141632,0.12744711339473724
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.21008890867233276,0.291576623916626,1.0,0.291576623916626,0.21424104273319244,0.15813200175762177,0.187149778008461,0.3315127193927765,0.1993328183889389,0.1928483098745346,0.24637973308563232,0.13816726207733154,0.24014748632907867,0.3463578522205353,0.210055872797966,0.291576623916626,0.19341330230236053,0.24521122872829437,0.16272737085819244
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3780646324157715,1.0,0.291576623916626,1.0,0.4154358208179474,0.27547886967658997,0.2636556923389435,0.4137537479400635,0.3471214175224304,0.42000943422317505,0.6036020517349243,0.30689194798469543,0.4891277849674225,0.5473989248275757,0.27378779649734497,1.0,0.2712160646915436,0.5601773262023926,0.32716336846351624
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22548964619636536,0.4137537479400635,0.3315127193927765,0.4137537479400635,0.4120737314224243,0.23855918645858765,0.30537211894989014,1.0000001192092896,0.30702945590019226,0.2231246829032898,0.39254459738731384,0.2598324418067932,0.3371901512145996,0.4933079481124878,0.24612528085708618,0.4137537479400635,0.2243606001138687,0.3985835015773773,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.21926715970039368,0.4154358208179474,0.21424104273319244,0.4154358208179474,0.9999999403953552,0.170785054564476,0.14274846017360687,0.4120737314224243,0.22900378704071045,0.28391414880752563,0.36101722717285156,0.2654585838317871,0.3028803765773773,0.4223487675189972,0.18870343267917633,0.4154358208179474,0.2956719696521759,0.4064640402793884,0.2433311939239502
sedimentary,0.2219204604625702,0.2035568505525589,0.2576860189437866,0.285780668258667,0.27547886967658997,0.15813200175762177,0.27547886967658997,0.170785054564476,1.0,0.6644880771636963,0.23855918645858765,0.31268346309661865,0.1848248541355133,0.27282798290252686,0.2613281011581421,0.199297234416008,0.2576860189437866,0.4871309995651245,0.27547886967658997,0.20960970222949982,0.19618618488311768,0.1575118452310562
rocks,0.24802041053771973,0.23288390040397644,0.24413059651851654,0.22027553617954254,0.2636556923389435,0.187149778008461,0.2636556923389435,0.14274846017360687,0.6644880771636963,0.9999999403953552,0.30537211894989014,0.26138752698898315,0.18584714829921722,0.2445140779018402,0.27690139412879944,0.2361476570367813,0.24413059651851654,0.42864593863487244,0.2636556923389435,0.24987177550792694,0.34165334701538086,0.17394492030143738
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22548964619636536,0.4137537479400635,0.3315127193927765,0.4137537479400635,0.4120737314224243,0.23855918645858765,0.30537211894989014,1.0000001192092896,0.30702945590019226,0.2231246829032898,0.39254459738731384,0.2598324418067932,0.3371901512145996,0.4933079481124878,0.24612528085708618,0.4137537479400635,0.2243606001138687,0.3985835015773773,0.31091248989105225
if,0.5277165174484253,0.30927813053131104,0.33724796772003174,0.19978657364845276,0.5634250640869141,0.2322414666414261,0.5634250640869141,0.34021785855293274,0.14603078365325928,0.12306330353021622,0.257730096578598,0.3581986725330353,0.5808357000350952,0.5628611445426941,0.1552969515323639,0.387159138917923,0.33724796772003174,0.15024374425411224,0.5634250640869141,0.20877483487129211,0.45413675904273987,0.4441644251346588
inclusions,0.34958744049072266,0.2591908276081085,0.24164175987243652,0.35612988471984863,0.3471214175224304,0.1993328183889389,0.3471214175224304,0.22900378704071045,0.31268346309661865,0.26138752698898315,0.30702945590019226,1.0,0.33228549361228943,0.33553463220596313,0.1877148598432541,0.22386880218982697,0.24164175987243652,0.22696112096309662,0.3471214175224304,0.34103506803512573,0.32596540451049805,0.3281819224357605
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.16021208465099335,0.2264307141304016,0.21393048763275146,0.2264307141304016,0.29503780603408813,0.1484195441007614,0.15845486521720886,0.6363511681556702,0.2301061749458313,0.20299430191516876,0.2349044382572174,0.1299084722995758,0.19419437646865845,0.33289089798927307,0.22467678785324097,0.2264307141304016,0.222114697098732,0.2401011437177658,0.40561532974243164
