,what,form,of,oxygen,is,composed,of,three,oxygen,atoms,?
another,0.4190070629119873,0.27289214730262756,0.38147079944610596,0.22447322309017181,0.41278526186943054,0.159132719039917,0.38147079944610596,0.32033106684684753,0.22447322309017181,0.25494787096977234,0.295511931180954
form,0.15868011116981506,0.9999999403953552,0.29600051045417786,0.22106200456619263,0.3218395411968231,0.32105302810668945,0.29600051045417786,0.15855777263641357,0.22106200456619263,0.3353632688522339,0.1463010311126709
(,0.2411840260028839,0.1860738843679428,0.35032153129577637,0.189798504114151,0.35393038392066956,0.1718960851430893,0.35032153129577637,0.2272176295518875,0.189798504114151,0.1862066090106964,0.40561532974243164
allotrope,0.15761715173721313,0.34502482414245605,0.2864323854446411,0.4825264811515808,0.3405674993991852,0.26384609937667847,0.2864323854446411,0.20692241191864014,0.4825264811515808,0.5295698046684265,0.22829397022724152
),0.26259949803352356,0.20926380157470703,0.3680361211299896,0.19541971385478973,0.37732169032096863,0.1960248202085495,0.3680361211299896,0.2493964433670044,0.19541971385478973,0.18134063482284546,0.42300865054130554
of,0.33290785551071167,0.29600051045417786,1.0,0.16848602890968323,0.4854315221309662,0.29509663581848145,1.0,0.3844621181488037,0.16848602890968323,0.20656298100948334,0.1826142966747284
oxygen,0.16781960427761078,0.22106200456619263,0.16848602890968323,0.9999999403953552,0.21825239062309265,0.20973333716392517,0.16848602890968323,0.20057295262813568,0.9999999403953552,0.5021464228630066,0.16786395013332367
",",0.3087472915649414,0.21805599331855774,0.4946078956127167,0.21812842786312103,0.4691906273365021,0.21667295694351196,0.4946078956127167,0.3347506821155548,0.21812842786312103,0.19749411940574646,0.31091248989105225
ozone,0.17115569114685059,0.14967508614063263,0.22780866920948029,0.5093002915382385,0.21112559735774994,0.14099551737308502,0.22780866920948029,0.12133639305830002,0.5093002915382385,0.4476763606071472,0.159791961312294
(,0.2411840260028839,0.1860738843679428,0.35032153129577637,0.189798504114151,0.35393038392066956,0.1718960851430893,0.35032153129577637,0.2272176295518875,0.189798504114151,0.1862066090106964,0.40561532974243164
o,0.1489914506673813,0.1058930829167366,0.16054381430149078,0.2476140707731247,0.18684464693069458,0.17341598868370056,0.16054381430149078,0.14816129207611084,0.2476140707731247,0.21805140376091003,0.23868927359580994
3,0.04473085701465607,0.07430553436279297,0.046857766807079315,0.08124106377363205,0.1504552811384201,0.11195937544107437,0.046857766807079315,-0.09938150644302368,0.08124106377363205,0.00668666185811162,0.005975271109491587
),0.26259949803352356,0.20926380157470703,0.3680361211299896,0.19541971385478973,0.37732169032096863,0.1960248202085495,0.3680361211299896,0.2493964433670044,0.19541971385478973,0.18134063482284546,0.42300865054130554
",",0.3087472915649414,0.21805599331855774,0.4946078956127167,0.21812842786312103,0.4691906273365021,0.21667295694351196,0.4946078956127167,0.3347506821155548,0.21812842786312103,0.19749411940574646,0.31091248989105225
strongly,0.33651110529899597,0.1891191601753235,0.2203129082918167,0.2205529361963272,0.26355767250061035,0.13638480007648468,0.2203129082918167,0.1638103574514389,0.2205529361963272,0.2901996076107025,0.1874239444732666
absorbs,0.25239095091819763,0.30193960666656494,0.2537328600883484,0.5060590505599976,0.28106433153152466,0.23858624696731567,0.2537328600883484,0.15185900032520294,0.5060590505599976,0.47830691933631897,0.17056214809417725
uvb,0.17099913954734802,0.16504442691802979,0.23042841255664825,0.31970131397247314,0.24813200533390045,0.24180124700069427,0.23042841255664825,0.19141508638858795,0.31970131397247314,0.3323734998703003,0.18847984075546265
radiation,0.2664667069911957,0.1795041561126709,0.2597386837005615,0.449581116437912,0.17039641737937927,0.16569970548152924,0.2597386837005615,0.1243521049618721,0.449581116437912,0.42965567111968994,0.1720895618200302
and,0.31309178471565247,0.30469027161598206,0.5116966962814331,0.22261030972003937,0.3859752118587494,0.25432297587394714,0.5116966962814331,0.3826501965522766,0.22261030972003937,0.21866731345653534,0.20544172823429108
consequently,0.2402803599834442,0.19181029498577118,0.26282447576522827,0.1219341829419136,0.2400990128517151,0.10188979655504227,0.26282447576522827,0.17214536666870117,0.1219341829419136,0.0917741060256958,0.15715579688549042
the,0.42745697498321533,0.29286009073257446,0.733189046382904,0.20428593456745148,0.5823672413825989,0.21816956996917725,0.733189046382904,0.43452659249305725,0.20428593456745148,0.1997222602367401,0.22068053483963013
high-altitude,0.31056299805641174,0.09579689800739288,0.28337040543556213,0.28214600682258606,0.28534814715385437,0.15763837099075317,0.28337040543556213,0.17891450226306915,0.28214600682258606,0.1895914524793625,0.17679187655448914
ozone,0.17115569114685059,0.14967508614063263,0.22780866920948029,0.5093002915382385,0.21112559735774994,0.14099551737308502,0.22780866920948029,0.12133639305830002,0.5093002915382385,0.4476763606071472,0.159791961312294
layer,0.20606225728988647,0.24533770978450775,0.19074802100658417,0.36603859066963196,0.27099713683128357,0.19929316639900208,0.19074802100658417,0.13295996189117432,0.36603859066963196,0.30164453387260437,0.11266916990280151
helps,0.2570236623287201,0.1851116567850113,0.22412827610969543,0.268240362405777,0.27021104097366333,0.10921695828437805,0.22412827610969543,0.11856485903263092,0.268240362405777,0.17740021646022797,0.20885655283927917
protect,0.25314101576805115,0.13015815615653992,0.19880573451519012,0.14572790265083313,0.17850741744041443,0.1268930286169052,0.19880573451519012,0.21049411594867706,0.14572790265083313,0.09341934323310852,0.20180222392082214
the,0.42745697498321533,0.29286009073257446,0.733189046382904,0.20428593456745148,0.5823672413825989,0.21816956996917725,0.733189046382904,0.43452659249305725,0.20428593456745148,0.1997222602367401,0.22068053483963013
biosphere,0.20470768213272095,0.1074492409825325,0.2579638361930847,0.3454684019088745,0.270405650138855,0.24086883664131165,0.2579638361930847,0.1447400450706482,0.3454684019088745,0.33613142371177673,0.15510359406471252
from,0.2737620174884796,0.2607075572013855,0.4249346852302551,0.23457925021648407,0.27355384826660156,0.15794773399829865,0.4249346852302551,0.22603893280029297,0.23457925021648407,0.18694515526294708,0.19969791173934937
ultraviolet,0.28599607944488525,0.1857203096151352,0.2068740725517273,0.43220996856689453,0.2105351835489273,0.13778065145015717,0.2068740725517273,0.17260728776454926,0.43220996856689453,0.4390530288219452,0.21418103575706482
radiation,0.2664667069911957,0.1795041561126709,0.2597386837005615,0.449581116437912,0.17039641737937927,0.16569970548152924,0.2597386837005615,0.1243521049618721,0.449581116437912,0.42965567111968994,0.1720895618200302
",",0.3087472915649414,0.21805599331855774,0.4946078956127167,0.21812842786312103,0.4691906273365021,0.21667295694351196,0.4946078956127167,0.3347506821155548,0.21812842786312103,0.19749411940574646,0.31091248989105225
but,0.5029441118240356,0.3349745571613312,0.39942997694015503,0.262522429227829,0.4106791317462921,0.18659240007400513,0.39942997694015503,0.3208388388156891,0.262522429227829,0.2316189408302307,0.27921953797340393
is,0.28837618231773376,0.3218395411968231,0.4854315221309662,0.21825239062309265,1.0,0.18838012218475342,0.4854315221309662,0.23072560131549835,0.21825239062309265,0.21835871040821075,0.22961433231830597
a,0.3320399522781372,0.3088195323944092,0.5052502155303955,0.21662019193172455,0.658733606338501,0.20229825377464294,0.5052502155303955,0.3025658130645752,0.21662019193172455,0.23782315850257874,0.23916715383529663
