,how,great,were,the,losses,suffered,in,the,the,financial,crisis,of,2008-09,to,harvard,endowment,?
it,0.36714982986450195,0.21287621557712555,0.25487732887268066,0.6251175999641418,0.1621912568807602,0.15823760628700256,0.5130809545516968,0.6251175999641418,0.6251175999641418,0.22442270815372467,0.17909592390060425,0.38761502504348755,0.005467534996569157,0.513711154460907,0.1871805340051651,0.19382479786872864,0.25732165575027466
suffered,0.10068628937005997,0.18577277660369873,0.33701619505882263,0.2558774948120117,0.40421900153160095,1.0000001192092896,0.277639776468277,0.2558774948120117,0.2558774948120117,0.3238568902015686,0.33941951394081116,0.2524636387825012,-0.00365218473598361,0.15722067654132843,0.18317869305610657,0.21400590240955353,0.08963493257761002
about,0.44264400005340576,0.2101561576128006,0.29814305901527405,0.37995871901512146,0.12384694814682007,0.14963121712207794,0.39797019958496094,0.37995871901512146,0.37995871901512146,0.19825664162635803,0.19629031419754028,0.40939709544181824,0.029526911675930023,0.391953706741333,0.12953422963619232,0.236829936504364,0.302409827709198
30,-0.0035910264123231173,0.011268422938883305,0.10440058261156082,0.0730796679854393,-5.1211100071668625e-05,-0.08951538801193237,-0.005278158001601696,0.0730796679854393,0.0730796679854393,-0.028013799339532852,-0.05994761735200882,0.003304550424218178,0.06714700907468796,0.06848903745412827,0.03750615939497948,0.013388168066740036,-0.08261742442846298
%,0.1237400695681572,0.08688680082559586,0.21132414042949677,0.21490740776062012,0.2407556176185608,0.1760384738445282,0.19465309381484985,0.21490740776062012,0.21490740776062012,0.13037382066249847,0.12082050740718842,0.19953428208827972,0.00795495044440031,0.18513022363185883,0.15436998009681702,0.2204270213842392,0.21441808342933655
loss,0.2624443769454956,0.15357984602451324,0.14084996283054352,0.27898719906806946,0.6186527013778687,0.4280531406402588,0.21028298139572144,0.27898719906806946,0.27898719906806946,0.2802342474460602,0.19002975523471832,0.26357072591781616,0.04987947270274162,0.2457711398601532,0.07777358591556549,0.21998658776283264,0.1312553584575653
in,0.2601168751716614,0.23348836600780487,0.3815755248069763,0.6662389636039734,0.19000959396362305,0.277639776468277,1.0,0.6662389636039734,0.6662389636039734,0.23881284892559052,0.19426369667053223,0.5696388483047485,0.0353601910173893,0.45010748505592346,0.26072487235069275,0.23720911145210266,0.20430970191955566
2008-09,-0.016311777755618095,0.004174845293164253,-0.01992877759039402,0.07118005305528641,0.08113587647676468,-0.00365218473598361,0.0353601910173893,0.07118005305528641,0.07118005305528641,0.07569214701652527,0.11009516566991806,0.005116566084325314,1.0000001192092896,-0.011997789144515991,0.13918007910251617,0.169441819190979,0.09691541641950607
.,0.3287222981452942,0.2178412526845932,0.3378238379955292,0.5934505462646484,0.25381195545196533,0.14637410640716553,0.5591574311256409,0.5934505462646484,0.5934505462646484,0.22828321158885956,0.15965543687343597,0.5352458953857422,0.07656655460596085,0.4645031690597534,0.254516065120697,0.29407718777656555,0.4130953550338745
,how,great,were,the,losses,suffered,in,the,the,financial,crisis,of,2008-09,to,harvard,endowment,?
