,what,is,st.,john,'s,cathedral,an,example,of,",",stylistically,?
the,0.42745697498321533,0.5823672413825989,0.18141359090805054,0.2230520099401474,-0.01540423184633255,0.23437000811100006,0.4207492768764496,0.3755223751068115,0.733189046382904,0.4933079481124878,0.29102998971939087,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.0866384357213974,0.11307311803102493,0.024445664137601852,0.16067984700202942,0.2748267352581024,0.3754276633262634,0.4178851246833801,0.3636029064655304,0.371038556098938,0.2107497900724411
significant,0.24268144369125366,0.2283884435892105,-0.00981609895825386,0.09174392372369766,-0.022819485515356064,0.14106345176696777,0.26824912428855896,0.21382661163806915,0.318554162979126,0.27671438455581665,0.3325318992137909,0.18679562211036682
buildings,0.17147983610630035,0.2076430320739746,0.11007696390151978,0.11317797005176544,0.036561012268066406,0.3924332857131958,0.10868383944034576,0.23922045528888702,0.2829168736934662,0.272444486618042,0.20223215222358704,0.11192528158426285
are,0.29724663496017456,0.5330929756164551,0.12703074514865875,0.12806348502635956,-0.008927806280553341,0.15341980755329132,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.4062570035457611,0.3315037786960602,0.24591213464736938
st.,0.10219959169626236,0.16120703518390656,1.0000001192092896,0.27566561102867126,0.045316148549318314,0.22715185582637787,0.10032729804515839,0.1422497183084488,0.19887582957744598,0.26603782176971436,0.08206778764724731,0.13592876493930817
john,0.18237407505512238,0.16449548304080963,0.27566561102867126,1.0000001192092896,-0.1023898646235466,0.1853109747171402,0.16678237915039062,0.1447114795446396,0.2407056987285614,0.23961079120635986,0.12093578279018402,0.13162356615066528
's,0.02692362666130066,0.02396530658006668,0.045316148549318314,-0.1023898646235466,0.9999999403953552,-0.05534784123301506,0.025255560874938965,-0.045060764998197556,-0.03817026689648628,-0.0016132977325469255,-0.02571464143693447,-0.023395681753754616
cathedral,0.13176603615283966,0.2034183293581009,0.22715185582637787,0.1853109747171402,-0.05534784123301506,1.0,0.12382593005895615,0.21582621335983276,0.2966258227825165,0.21877600252628326,0.18613266944885254,0.1257525086402893
(,0.2411840260028839,0.35393038392066956,0.2008000910282135,0.21336311101913452,0.0012731997994706035,0.14070674777030945,0.286407470703125,0.23614145815372467,0.35032153129577637,0.6363511681556702,0.05290118232369423,0.40561532974243164
14th,0.08055545389652252,0.22197483479976654,0.2516067624092102,0.2586739659309387,0.12125825881958008,0.04517201706767082,0.21930108964443207,0.08122804760932922,0.13562877476215363,0.167655810713768,0.09591652452945709,0.028729064390063286
century,0.20422613620758057,0.20648397505283356,0.14819175004959106,0.2019389271736145,-0.0005286295781843364,0.2524319887161255,0.185816690325737,0.2011866271495819,0.2826060354709625,0.24487493932247162,0.2385704517364502,0.1026201918721199
),0.26259949803352356,0.37732169032096863,0.1906544417142868,0.22096103429794312,0.021107977256178856,0.14334158599376678,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.63033527135849,0.07453349232673645,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.26603782176971436,0.23961079120635986,-0.0016132977325469255,0.21877600252628326,0.3581022024154663,0.3094974756240845,0.4946078956127167,1.0000001192092896,0.206401064991951,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.18141359090805054,0.2230520099401474,-0.01540423184633255,0.23437000811100006,0.4207492768764496,0.3755223751068115,0.733189046382904,0.4933079481124878,0.29102998971939087,0.22068053483963013
temple,0.12890467047691345,0.18980705738067627,0.17325596511363983,0.0990581065416336,0.0398978516459465,0.24096429347991943,0.11709105223417282,0.1489103138446808,0.17421963810920715,0.21281559765338898,0.03842463716864586,0.0926557183265686
is,0.28837618231773376,1.0,0.16120703518390656,0.16449548304080963,0.02396530658006668,0.2034183293581009,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.4691906273365021,0.2645256817340851,0.22961433231830597
